SOA Code,SOA Name,2015 Default Urban/Rural,Urban,mixed urban/rural,Rural,20 minutes   (Yes / No),30 minutes  (Yes / No),BELFAST,DERRY,ANTRIM,ARMAGH,BALLYMENA,BALLYMONEY,BANBRIDGE,BANGOR,CARRICKFERGUS,COLERAINE,COOKSTOWN,CRAIGAVON,DOWNPATRICK,DUNGANNON,ENNISKILLEN,HOLYWOOD,LARNE,LIMAVADY,LISBURN,LURGAN,NEWRY,NEWTOWNARDS,OMAGH,PORTADOWN,STRABANE
95WW08S1,Burnthill_1,Urban,4,-,-,Y,Y,0-20min,>60min,0-20min,>30min,20-30min,>30min,>30min,20-30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,20-30min,>30min,>30min,>30min
95WW08S2,Burnthill_2,Urban,5,-,-,Y,Y,0-20min,>60min,0-20min,>30min,20-30min,>30min,>30min,20-30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,20-30min,>30min,>30min,>30min
95WW09S1,Carnmoney_1,Urban,4,-,-,Y,Y,0-20min,>60min,0-20min,>30min,20-30min,>30min,>30min,20-30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,20-30min,>30min,>30min,>30min
95WW09S2,Carnmoney_2,Urban,3,-,-,Y,Y,0-20min,>60min,20-30min,>30min,20-30min,>30min,>30min,20-30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,20-30min,>30min,>30min,>30min
95WW10S1,Cloughfern_1,Urban,5,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,20-30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,20-30min,>30min,>30min,>30min
95WW10S2,Cloughfern_2,Urban,4,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,20-30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,20-30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min
95WW11S1,Collinbridge_1,Urban,4,-,-,Y,Y,0-20min,>60min,20-30min,>30min,20-30min,>30min,>30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,20-30min,>30min,>30min,>30min
95WW11S2,Collinbridge_2,Urban,4,-,-,Y,Y,0-20min,>60min,20-30min,>30min,20-30min,>30min,>30min,20-30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,20-30min,>30min,>30min,>30min
95WW12W1,Coole,Urban,9,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,20-30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,20-30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min
95WW13S1,Doagh_1,Rural,-,-,5,Y,Y,0-20min,>60min,0-20min,>30min,20-30min,>30min,>30min,>30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,20-30min,20-30min,>30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min
95WW13S2,Doagh_2,Rural,-,1,4,N,Y,20-30min,>60min,20-30min,>30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min
