WD20CD,Proportion,Extent,Score,Income_Proportion,Income_Extent,Income_Score,Employment_Proportion,Employment_Extent,Employment_Score,Education_Proportion,Education_Extent,Education_Score,Health_Proportion,Health_Extent,Health_Score,Crime_Proportion,Crime_Extent,Crime_Score,Housing_and_Access_Proportion,Housing_and_Access_Extent,Housing_and_Access_Score,Environment_Proportion,Environment_Extent,Environment_Score
E05000053,0.09090909090909091,0.12021865615615615,19.395838541666667,0.09090909090909091,0.12021865615615615,0.12423357732732733,0,0.12021865615615615,0.09077984234234235,0,0.12021865615615615,10.866866178678679,0,0.12021865615615615,-0.6728149399399399,0.09090909090909091,0.12021865615615615,0.1073703078078078,0.2727272727272727,0.12021865615615615,32.907637152777774,0,0.12021865615615615,26.772929851726726
E05000054,0,0.041179313813927726,15.573242618399274,0,0.041179313813927726,0.11053788242831973,0,0.041179313813927726,0.0715792087137594,0,0.041179313813927726,8.851828821613541,0,0.041179313813927726,-1.055568049548828,0,0.041179313813927726,-0.032266057984943135,0.3,0.041179313813927726,31.77328442522292,0,0.041179313813927726,20.819751401569757
E05000055,0,0,15.9348893129771,0,0,0.10127501272264632,0,0,0.0667559796437659,0,0,5.095136743002544,0,0,-1.1339928753180661,0,0,0.05399114503816794,0.3,0,34.63795765903308,0.1,0,29.935295470737913
E05000056,0,0,11.09899518116384,0,0,0.07493320727095279,0,0,0.058762169086251065,0,0,3.0105178723923385,0,0,-1.2484634012443578,0,0,0.10189410760034158,0,0,27.205641820178116,0,0,18.929114493107235
E05000057,0,0,13.792472069198803,0,0,0.09424461196482072,0,0,0.06070010631100802,0,0,6.282403015366773,0,0,-1.3616669566057795,0,0,-0.0165959215231468,0.2,0,33.292394317193384,0,0,21.097766599014207
E05000058,0,0,11.958978663375065,0,0,0.093572914829836,0,0,0.05984852759654383,0,0,4.680954387821078,0,0,-1.242469934755775,0,0,-0.11428219596778935,0,0,26.695366837124553,0,0,21.314223299829543
E05000059,0,0,9.917814526509348,0,0,0.07186349984676678,0,0,0.049559607722954334,0,0,2.64908844621514,0,0,-1.531341281029727,0,0,-0.5455634692001227,0.1,0,29.63310940851977,0,0,17.005696046582898
E05000060,0,0.12403985548190456,19.675613766026622,0,0.12403985548190456,0.1355442610882768,0,0.12403985548190456,0.1010756395313171,0,0.12403985548190456,12.0121198086007,0,0.12403985548190456,-0.6922472240966812,0,0.12403985548190456,0.23124820563155635,0.3,0.12403985548190456,30.98772780810993,0,0.12403985548190456,18.127291209128273
E05000061,0,0,12.100116848418757,0,0,0.08644901853871319,0,0,0.05508936750272628,0,0,3.3710739912758996,0,0,-1.0975576335877864,0,0,-0.06419978189749181,0,0,27.767362595419847,0,0,25.483728462377318
E05000062,0,0.05998322510237818,19.623547012933688,0,0.05998322510237818,0.11493841100390063,0,0.05998322510237818,0.07293897556969822,0,0.05998322510237818,11.641489837815644,0,0.05998322510237818,-0.9577869020734963,0.1,0.05998322510237818,0.3871354957914186,0.5,0.05998322510237818,38.448064822418395,0,0.05998322510237818,29.25356667008828
