MSOA11CD,Proportion,Extent,Score
E02000368,0.8333333333333334,0,0
E02000369,0.6666666666666666,0.0059120010897697785,0
E02000370,0.5,0.06561944124725332,0
E02000371,0.42857142857142855,0,0
E02000372,0.8,0,0
E02000373,1,0,0
E02000374,0.25,0.05251880254796884,0
E02000375,0.25,0.04696444090915785,0
E02000376,0.25,0,0
E02000377,0,0,0
E02000378,0.25,0.06461047420531525,0
E02000379,0,0.012171219018715209,0
E02000380,0,0,0
E02000381,0,0,0
E02000382,0,0,0
E02000383,0.16666666666666666,0.03215843476093548,0
E02000384,0.6,0.03778697380779198,0
E02000385,0,0,0
E02000386,0.6,0.1369835211239942,0
E02000387,0,0,0
E02000388,0,0,0
E02000389,0,0,0
E02000390,0,0,0
E02000391,0,0.017152861092274783,0
E02000392,0.16666666666666666,0.09814654478651548,0
E02000393,0,0,0
E02000394,0,0,0
E02000395,0,0,0
E02000396,0,0,0
E02000397,0.25,0,0
E02000398,1,0,0
E02000400,0,0,0
E02000401,1,0,0
E02000402,1,0,0
E02000403,0,0,0
E02000404,0.5,0,0
E02000405,0,0,0
E02000406,0.5,0,0
E02000407,1,0,0
E02000408,0.75,0.011549846080985067,0
E02000409,0.5,0.27653209534557643,0
E02000410,0,0,0
E02000411,0.75,0,0
E02000412,0.5,0.09957805335627058,0
E02000413,0,0,0
E02000414,0,0,0
E02000415,0.25,0,0
E02000416,0.2,0.015430033776351373,0
E02000417,0,0,0
E02000418,0,0,0
E02000419,0.25,0,0
E02000420,0.75,0,0
E02000421,0.75,0.07730462326802716,0
E02000422,0,0,0
E02000423,0,0,0
E02000424,0,0,0
E02000425,0.25,0,0
E02000426,0,0,0
E02000427,0.25,0.013356511661596389,0
E02000428,0.5,0,0
E02000429,0,0,0
E02000430,0,0,0
E02000431,0,0,0
E02000432,0,0,0
E02000433,0,0,0
E02000434,0,0,0
E02000435,0.25,0.1244364771442307,0
E02000436,0,0,0
E02000437,0,0,0
E02000438,0.2,0.13412740273873824,0
E02000439,0,0,0
E02000440,0,0,0
E02000441,0,0.05814534572888201,0
E02000442,0,0,0
E02000443,0,0,0
E02000444,0,0,0
E02000445,0,0,0
E02000447,0,0,0
E02000448,0,0,0
E02000449,0,0,0
E02000451,0,0,0
E02000452,0,0,0
E02000453,0,0,0
E02000454,0,0,0
E02000455,0,0,0
E02000456,0,0,0
E02000457,0,0,0
E02000459,0,0,0
E02000460,0,0,0
E02000461,0,0,0
E02000462,0,0,0
E02000463,0,0,0
E02000464,0,0,0
E02000465,0.4,0,0
E02000466,0,0,0
E02000467,0.8333333333333334,0.03157222942920681,0
E02000468,0,0,0
E02000469,0.25,0,0
E02000470,0,0,0
E02000471,0,0,0
E02000472,0,0,0
E02000473,0,0,0
E02000474,0,0,0
E02000475,0,0,0
E02000476,0.2,0,0
E02000477,0,0,0
E02000478,0,0,0
E02000479,0,0,0
E02000480,0,0,0
E02000481,0,0,0
E02000482,0,0,0
E02000483,0,0,0
E02000484,0,0,0
E02000485,0,0,0
E02000486,0,0,0
E02000487,0,0,0
E02000488,0,0,0
E02000489,0,0.04629476342676228,0
E02000490,0,0,0
E02000491,0.2,0.04928482155256214,0
E02000492,0,0,0
E02000493,0,0,0
E02000494,0,0,0
E02000495,0,0,0
