MSOA11CD,Proportion,Extent,Score
S02001393,0.3333333333333333,0.31552724787174546,0
S02001394,0.5,0.30402909447531873,0
S02001395,0,0,0
S02001396,0,0.028012099474478705,0
S02001397,0.3333333333333333,0,0
S02001398,0.125,0.21698374480014465,0
S02001399,0,0,0
S02001400,0.16666666666666666,0.12061775861173166,0
S02001401,0.42857142857142855,0.2556260639978796,0
S02001402,0.8333333333333334,0.6262772727811423,0
S02001403,0.2222222222222222,0.13090590335920657,0
S02001404,0,0,0
S02001405,0.6666666666666666,0.4526708981632309,0
S02001406,0.3333333333333333,0.07469055241746364,0
S02001407,0,0,0
S02001408,0,0,0
S02001409,0,0,0
S02001410,0,0,0
S02001411,0.14285714285714285,0,0
S02001412,0,0.00882947445791987,0
S02001413,0,0,0
S02001414,0,0,0
S02001415,0,0,0
S02001416,0,0,0
S02001417,0,0,0
S02001418,0,0,0
S02001419,0.42857142857142855,0.09956587801172127,0
S02001420,0,0,0
S02001421,0,0,0
S02001422,0,0,0
S02001423,0.75,0.28373227033407655,0
S02001424,0.3333333333333333,0.23428155717984553,0
S02001425,0,0.037613107790789836,0
S02001426,0,0,0
S02001427,0,0,0
S02001428,0,0,0
S02001429,0,0,0
S02001430,0.25,0.13259754789986478,0
S02001431,0,0.04592645998558038,0
S02001432,0,0,0
S02001433,0,0,0
S02001434,0,0,0
S02001435,0,0,0
S02001436,0,0,0
S02001437,0,0,0
S02001438,0,0,0
S02001439,0,0,0
S02001440,0,0,0
S02001441,0,0,0
S02001442,0.25,0.1117724779711605,0
S02001443,0,0,0
S02001444,0.16666666666666666,0.08663573236420272,0
S02001445,0,0,0
S02001446,0,0,0
S02001447,0.16666666666666666,0.01389742775187569,0
S02001448,0.3333333333333333,0.3318882301320605,0
S02001449,0.5714285714285714,0.26242396914634375,0
S02001450,0.8333333333333334,0.2636609988782887,0
S02001451,0.6666666666666666,0.4863574983392684,0
S02001452,0.5714285714285714,0.1525921528463832,0
S02001453,0,0,0
S02001454,0.16666666666666666,0.0413767814799423,0
S02001455,1,0.15403671582759523,0
S02001456,0,0,0
S02001457,1,0.08253328761643519,0
S02001458,0,0,0
S02001459,0.2,0.07442434210526315,0
S02001460,0,0.06114725681788498,0
S02001461,0,0,0
S02001462,0.6666666666666666,0.4712351763304621,0
S02001463,0.2222222222222222,0.24323987538940808,0
S02001464,0.7142857142857143,0.7693295561850803,0
S02001465,0.5,0.46131538892894336,0
S02001466,0.6,0.49911700206398346,0
S02001467,0,0,0
