MSOA11CD,Proportion,Extent,Score
W02000243,0.3333333333333333,0.5934379738599814,0
W02000244,0,0,0
W02000245,0,0.2889105233202528,0
W02000246,0,0,0
W02000247,0,0,0
W02000248,0,0.3792082103204495,0
W02000249,0.16666666666666666,0.2207340495255464,0
W02000250,0,0,0
W02000251,0,0.21649394623435253,0
W02000252,0.5,0.47366720516962846,0
W02000253,0,0.09926501647376866,0
W02000254,0,0.24762457448752392,0
W02000255,0,0.3358962568877066,0
W02000256,0,0.5365173053792874,0
W02000257,0.2,0.4339303217558065,0
W02000258,0.25,0.7011811129666541,0
W02000259,0.25,0.684532065457762,0
W02000260,0.5,0.6060305105281515,0
W02000261,0,0.10636321332521263,0
W02000262,0.25,0.2849746934879234,0
W02000263,0.25,0.3130091286441612,0
W02000264,0.5,0.7502532928064843,0
W02000265,0.42857142857142855,0.5038019922655899,0
W02000266,0.2,0.42990575517133844,0
W02000267,0.25,0.28981738913199395,0
W02000268,0.16666666666666666,0.24674927675433803,0
W02000269,0.16666666666666666,0.3909186961316436,0
W02000270,0,0.028639279205358602,0
W02000271,0.5,0.5163704183348685,0
W02000272,0,0.12864871579370238,0
W02000273,0.16666666666666666,0.39991484235450503,0
W02000274,0.3333333333333333,0.36245864954271256,0
W02000275,0.25,0.26675558519506504,0
W02000276,0,0.09135533347672858,0
W02000277,0.25,0.1874483897605285,0
W02000278,0,0,0
W02000279,0.16666666666666666,0.13321799307958476,0
W02000280,0,0,0
W02000281,0,0.07554701360141926,0
W02000282,0,0.0959594316563209,0
W02000284,0.16666666666666666,0.27011420937655695,0
W02000285,0,0,0
W02000286,0.5,0.6566906388678935,0
W02000287,0,0.06428340463635458,0
W02000288,0.16666666666666666,0.3233391762183718,0
W02000289,0,0.01798908328513591,0
W02000290,0.3333333333333333,0.7338237908961592,0
W02000291,0.4,0.5719878089104213,0
W02000292,0.3333333333333333,0.6446692323694612,0
W02000293,0.25,0.3685028766247603,0
W02000294,0,0.25169222633527233,0
W02000295,0,0.13249438531393418,0
W02000296,0,0.3878754424463119,0
W02000297,0,0.2793591473753417,0
W02000298,0,0.12131471535982813,0
W02000299,0,0.23089686098654705,0
W02000300,0,0.08377488711315603,0
W02000301,0.25,0.23339916070106145,0
W02000302,0,0.014134431232781308,0
W02000303,0,0,0
W02000304,0,0,0
W02000305,0,0.09079240603897515,0
W02000306,0,0,0
W02000307,0,0.30904692286271235,0
W02000308,0.16666666666666666,0.28509098023870083,0
W02000309,0,0.19878530660032195,0
W02000310,0.25,0.2712979890310786,0
W02000311,0.3333333333333333,0.46301889818502573,0
W02000312,0,0.21164088745800672,0
W02000313,0,0,0
W02000314,0,0.40566887832870074,0
W02000315,0,0.2629933617828354,0
W02000316,0.2,0.4984238790872036,0
W02000317,0.2,0.3262026429943191,0
W02000318,0.16666666666666666,0.5496655054584183,0
W02000319,0.2,0.3773733987788818,0
W02000320,0.16666666666666666,0.3507621156852527,0
W02000321,0.16666666666666666,0.45153077629094396,0
W02000322,0,0.713142912790088,0
W02000323,0,0.30143815055307205,0
W02000324,0,0.469852549108825,0
W02000325,0.25,0.6995689328155928,0
W02000326,0,0.3122058500109962,0
W02000327,0,0,0
W02000328,0,0.03502207353245498,0
W02000329,0.2,0.17772542860882085,0
W02000330,0,0,0
W02000331,0.2,0.7418471501982776,0
W02000332,0,0.5127909261221311,0
W02000333,0,0.14286911250305048,0
W02000334,0,0,0
W02000335,0,0,0
W02000336,0,0,0
W02000337,0,0.1090268719019045,0
W02000338,0,0,0
W02000339,0,0.051126752674520624,0
W02000340,0,0,0
W02000341,0,0,0
W02000342,0,0,0
