MSOA11CD,Proportion,Extent,Score
S02001682,0,0,0
S02001683,0,0,0
S02001684,0,0.04354052916341665,0
S02001685,0,0,0
S02001686,0,0.040641493299127474,0
S02001687,0,0,0
S02001688,0,0,0
S02001689,0,0,0
S02001690,0,0,0
S02001691,0,0,0
S02001692,0,0,0
S02001693,0,0.0577817863043258,0
S02001694,0,0,0
S02001695,0,0,0
S02001696,0.2,0.17494532958450484,0
S02001697,0,0.13207691561486143,0
S02001698,0,0.1960726558664703,0
S02001699,0,0,0
S02001700,0,0,0
S02001701,0,0.11146184292303163,0
S02001702,0,0.04288808763247006,0
S02001703,0,0.01021308572533964,0
S02001704,0,0,0
S02001705,0,0.3557950103182725,0
S02001706,0,0,0
S02001707,0,0,0
S02001708,0,0,0
S02001709,0,0.11070117474302493,0
S02001710,0,0,0
S02001711,0.6666666666666666,0.7657971806513089,0
S02001712,0,0.15792942176870747,0
S02001713,0,0.5107177033492822,0
S02001714,0.16666666666666666,0.28044777620127587,0
S02001715,0.2,0.278172174622603,0
S02001716,0,0,0
S02001717,0.2,0.6506102084069233,0
S02001718,0,0.5188112357396222,0
S02001719,0,0.3691151278870577,0
S02001720,0,0,0
S02001721,0,0.6008375522408345,0
S02001722,0,0,0
S02001723,0,0.19083687958900178,0
S02001724,0,0,0
S02001725,0,0,0
S02001726,0.16666666666666666,0.13989637305699482,0
S02001727,0,0,0
S02001728,0,0.07175427892488999,0
S02001729,0,0.16182072015364998,0
S02001730,0,0.16054604699409186,0
S02001731,0.2,0.18491564670856764,0
S02001732,0.3333333333333333,0.41976374724542614,0
S02001733,0.4,0.43963865316178485,0
S02001734,0,0,0
S02001735,0,0.10604889402330875,0
S02001736,0,0.15935098059490568,0
S02001737,0,0.10377347781217747,0
S02001738,0,0,0
S02001739,0,0.3306770881509573,0
S02001740,0,0.04283764727289267,0
S02001741,0,0.4060585641671672,0
S02001742,0,0,0
S02001743,0,0,0
S02001744,0,0.039167195096174154,0
S02001745,0,0.38882656285911277,0
S02001746,0.2,0.17988394584139264,0
S02001747,0,0,0
S02001748,0,0.19485329066193477,0
S02001749,0,0,0
S02001750,0,0,0
S02001751,0,0,0
S02001752,0.25,0.6223903661168207,0
S02001753,0.2,0.6876451564482895,0
S02001754,0,0,0
S02001755,0,0,0
S02001756,0,0,0
S02001757,0,0,0
S02001758,0,0,0
S02001759,0,0,0
S02001760,0,0,0
S02001761,0,0.026375819788993435,0
S02001762,0,0,0
S02001763,0,0,0
S02001764,0,0.2130634467943257,0
S02001765,0,0,0
S02001766,0,0,0
S02001767,0,0,0
S02001768,0,0.19168816279736312,0
S02001769,0,0.39796922737724016,0
S02001770,0.25,0.5197208267305033,0
S02001771,0,0.05537339758732556,0
S02001772,0.25,0.6092061224090348,0
S02001773,0,0.29432129413510705,0
S02001774,0.25,0.835769016180026,0
S02001775,0.5,0.8696212629403339,0
S02001776,0,0.23588217656024849,0
S02001777,0.16666666666666666,0.2847431006053895,0
S02001778,0.5,0.6170266468056934,0
S02001779,0,0.04620924722743062,0
S02001780,0.2,0.22464988669060168,0
S02001781,0,0,0
S02001782,0,0.012662807525325597,0
