WD20CD,Proportion,Extent,Score,Income_Proportion,Income_Extent,Income_Score,Employment_Proportion,Employment_Extent,Employment_Score,Education_Proportion,Education_Extent,Education_Score,Health_Proportion,Health_Extent,Health_Score,Crime_Proportion,Crime_Extent,Crime_Score,Housing_and_Access_Proportion,Housing_and_Access_Extent,Housing_and_Access_Score,Environment_Proportion,Environment_Extent,Environment_Score
E05008618,0,0.20303860819828407,18.431415951700032,0,0.20650285150435668,0.11555600571973307,0.125,0.2575525145083873,0.09810343183984747,0.125,0.2655465522720051,22.073576819192883,0.125,0.24247215393106214,0.09135382904353347,0,0.26079286036827054,-0.21409818875119163,0,0.042195574732828256,16.30266626946298,0,0,9.832429297743882
E05008619,0,0.03773659483275386,13.511330580865604,0,0.019391035247572228,0.08260150911161732,0,0.07369451354753624,0.0826699174259681,0,0.005046981776765369,11.4902840261959,0,0.16406474793190262,-0.06667447323462415,0,0.15190643358110537,-0.19943251708428245,0,0,14.04080958143508,0,0.07295344533029612,12.60551964692483
E05008620,0.5,0.8039943422618426,41.08785858786196,0,0.5137069667425207,0.20742800476001583,0,0.4549426919142362,0.14754105513685045,0.5,0.8317746717050458,47.19447957159857,0.5,0.6373123656026222,0.9284385164617215,1,1,1.360094605315351,0,0,11.93773720745736,1,1,51.30091293137643
E05008621,0.1,0.30240527818768104,25.880083073727935,0.1,0.21687298464229107,0.14067172897196262,0.1,0.23811007268951193,0.10725733385254414,0.2,0.43067357353664537,35.9412479231568,0.1,0.35445513608788326,0.5871379153686396,0.3,0.3110631182707547,0.2027351375908619,0,0,13.091457749221185,0.3,0.3310617860851506,24.374417120976116
E05008622,0,0.3266504994237418,27.791224635036496,0,0.27661976565501334,0.15090036496350365,0,0.36422541298501726,0.12516970802919708,0.25,0.5568810026892047,43.888094343065696,0,0.2414468882059162,0.525068795620438,0,0.21405541682673837,0.38677773722627734,0,0,12.683047445255475,0,0.1634100076834422,25.37331916058394
E05008623,0.3333333333333333,0.8209165499299579,41.383130646387826,0.3333333333333333,0.7330814488693216,0.2362635741444867,0,0.6286511907144287,0.1621035741444867,1,1,66.74839285171103,0.3333333333333333,0.7851378827296377,1.0810342205323193,0.3333333333333333,0.5301340804482689,0.6833806844106464,0,0,14.59473216730038,0,0.19999559735841504,21.439904030418248
E05008624,0,0.33567942070056633,29.86207787596003,0,0.1965486741049502,0.15012255347262365,0,0.21394265248553707,0.1096037657940375,0,0.5524746708624728,35.78578297134363,0.14285714285714285,0.2907621994949385,0.43916425798992487,0.2857142857142857,0.6968118537321087,0.9247345775869187,0,0.024037145055222066,17.69715955074738,0.5714285714285714,0.6423971295817378,39.72295680898505
E05008625,0,0.18476344182432228,24.756619628998674,0,0.1145568705978461,0.12698391065682377,0,0.13913969335604767,0.11069704713231118,0.14285714285714285,0.5108508423244369,35.43897539276926,0.14285714285714285,0.2611781085308387,0.4706719666855953,0,0.10821253872899168,0.16629812606473593,0,0.06909102682885522,15.560316108271817,0.14285714285714285,0.22577184016258703,25.880184081014576
E05008626,0,0,6.207017429630372,0,0,0.04269588300110187,0,0,0.040292096564159066,0,0,2.743808474406491,0,0,-0.8577314434538716,0,0,-0.927272363017129,0,0.27726398034553473,21.10191755985175,0,0,12.101349994991486
E05008627,0,0,8.481312512969495,0,0,0.0511581240921353,0,0,0.05195538493463374,0,0,4.837803486200457,0,0,-0.6339981323926126,0,0,-0.06449553849346339,0,0,19.987540983606557,0,0.019257107283668785,17.13282921768002
E05008628,0,0,11.715454339311481,0,0,0.032639661925376214,0,0,0.033527932385075246,0,0,4.345801690373119,0,0,-1.0341814058956917,0,0,-0.35713110698824985,0.5,0.9093133266065596,39.10484662956091,0,0.713157894736842,37.59250030921459
E05008629,0,0.1829697966507177,20.174090113636364,0,0.23023863636363634,0.13651056818181817,0,0.2676381578947368,0.10962170454545454,0,0.25031638755980856,20.319522727272727,0,0.2690161483253588,0.18632852272727277,0,0,-0.09857045454545456,0,0.20442553827751195,16.74950329545455,0,0,11.803581590909092
E05008630,0,0,8.816731842999898,0,0,0.04343329555990522,0,0,0.04598774080560421,0,0,4.9327889152158235,0,0,-0.6272350880807666,0,0,-0.9745677346244979,0.2,0.47800529189461755,24.86717544040383,0,0.254494586109861,21.207317296796127
E05008631,0,0,14.393349867319863,0,0,0.04363461931006328,0,0,0.04237579097775056,0,0,4.751145335782813,0,0,-0.6943321085935905,0,0,-0.37371177791385995,0.6666666666666666,0.93284182593655,40.44905062257604,0.6666666666666666,0.7658705858338436,38.508820167381096
