MSOA11CD,Proportion,Extent,Score,Income_Proportion,Income_Extent,Income_Score,Employment_Proportion,Employment_Extent,Employment_Score,Education_Proportion,Education_Extent,Education_Score,Health_Proportion,Health_Extent,Health_Score,Crime_Proportion,Crime_Extent,Crime_Score,Housing_and_Access_Proportion,Housing_and_Access_Extent,Housing_and_Access_Score,Environment_Proportion,Environment_Extent,Environment_Score
E02000012,0,0,20.677539987600742,0,0,0.12260278097599858,0,0,0.07327747763705605,0,0,15.804482508192367,0,0,-0.31947081746523787,0,0.1383239562017256,0.15148977061376315,0.6,0.915619799654126,40.621944114781684,0,0.008582056505181106,23.310084492073333
E02000013,0,0.6535821000870525,36.11189427805096,0,0.5693056960685127,0.20834253464461333,0,0.20471525539373683,0.13029850245865,0,0.439095475613486,34.512487930263745,0,0.0570236218619862,0.26606660706303087,0.4,0.4842269957414771,0.6710094993294591,1,1,46.028490724184174,0,0.20298831847163729,28.788439763075548
E02000014,0,0.6704839417873257,36.600098904412505,0,0.4916656527236272,0.20333872751030255,0,0.29822119123318386,0.13567504271786107,0,0.26667848130729876,30.771751733842596,0,0.18527754706899924,0.3426534325057795,0.5,0.7510069776914897,0.9423948135491005,1,1,44.93675143230475,0,0.17867942295179093,29.420793145039706
E02000015,0.25,0.7733471499260972,39.33451196581197,0.25,0.7302763318552792,0.23426056166056167,0,0.4481617505301715,0.1472034188034188,0,0.2307817620975515,30.603353846153844,0,0.31561307113938686,0.587636507936508,0.25,0.5180570014780541,0.65378547008547,1,1,49.813530402930404,0,0,22.785043101343103
E02000016,0,0.5125570512450169,33.57657808601935,0,0.5227341004942252,0.21015337790639657,0,0.08345710849321687,0.09929707614010579,0,0,15.731467119049995,0,0,0.01929248577986229,0.25,0.6030260137920892,0.8277861490869175,1,1,51.1023971659515,0.25,0.5434324760109034,37.05043428799521
E02000017,0,0.20251581784650302,27.350145336927223,0,0.10629450985955452,0.14529175202156336,0,0,0.08043460916442048,0,0,18.258106415094336,0,0.010398921832884083,-0.07255892183288408,0.2,0.5599974464463043,0.6386049595687331,1,1,46.080521509433964,0.2,0.4229533267130089,34.10403568733153
E02000018,0,0.6375274776224423,36.442907140636336,0,0.5204687150563734,0.2086830759664214,0,0.23880822119554243,0.1294297854699969,0,0.25407787008198274,30.489331329671465,0,0.06131232579323735,0.3760752409576122,0.4,0.4072960928593637,0.6215237848481708,1,1,48.578468960514044,0,0.2676612247792244,30.549240543061455
E02000019,0,0.4243416749853705,32.03698746457379,0,0.4440914254242538,0.1962217135382603,0,0.07831772859224581,0.11246664486592545,0,0.009303466317854794,25.456497928929586,0,0.009129060388053181,0.15811794201002835,0,0.22112118917306342,0.47473097885328097,1,1,49.29559003706125,0,0.08793271602813439,26.247970459995642
E02000020,0,0.4939437230290251,33.289194459004115,0,0.4522987645076749,0.19736727817296892,0,0.013072375810360791,0.10791845750655185,0,0.06341583085380989,23.65066342193935,0,0.04919939309148948,0.08625481093223512,0,0.34847090583065665,0.5986292025458629,1,1,53.45700044926994,0,0.38388795838341633,32.75638464994384
E02000021,0,0.38966081348272286,31.776587880143108,0,0.29420517135862906,0.1821654740608229,0,0.069331983805668,0.10685096153846153,0,0.026518218623481762,24.251447786225402,0,0.08542157047359004,0.12755780411449016,0.2,0.3369344929855946,0.5477953935599285,1,1,46.781916368515205,0,0.38353262404669985,32.89005623881932
E02000022,0.2,0.7449722466988685,37.97126872785042,0.4,0.728062028467233,0.24693535378223147,0,0.276590106575249,0.1327018208480997,0,0.03431632974652198,24.467629842356104,0,0.04754400972491104,0.2590960527923744,0,0.24148201984859494,0.4976903336184773,1,1,54.17734852743493,0,0.3031223267750214,29.851007087865085
E02000023,0.25,0.6969699454268772,38.95517011465603,0,0.6965635986776512,0.23213484546360919,0,0.4245762711864406,0.14138634097706881,0,0.2072033898305084,25.725067921236292,0,0.1491056435955292,0.26509646061814557,0.5,0.7559121976176733,0.9433897058823529,1,1,53.36210979561316,0.25,0.2677178989347746,28.685188060817545
E02000024,0,0,9.257982273672786,0,0,0.06484579904133128,0,0,0.05199782942932079,0,0,2.372479696120105,0,0,-1.451846793886226,0,0.031273353864901,0.1361887492086461,0,0.007375418287057963,22.229734647734468,0,0.014362656664270784,20.950356064031833
E02000025,0,0.030448695717969886,15.921343596501739,0,0.07549608116373356,0.11202803402420031,0,0.022940798143675934,0.08405307296034503,0,0,6.666890379777166,0,0,-0.8575449862225949,0,0.05694419047498941,0.11927938181382532,0,0.43611887031583985,29.957978195758955,0,0,18.02562166047682
E02000026,0,0,10.820454421355983,0,0,0.07895131199757317,0,0,0.05438707720309419,0,0,4.479699529804338,0,0,-1.3150119824055817,0,0.02408734942163538,-0.04061292279690579,0,0.08095468080180732,25.269548308812375,0,0,21.8179977248597
E02000027,0,0.2097918327672262,22.451826520024902,0,0.2730428348314239,0.1550603859721934,0,0.23221786568517164,0.1126772151898734,0,0.01698239425082731,15.662907034654493,0,0,-0.5173199833990455,0,0.16789353545723615,0.14904399252957048,0.3333333333333333,0.4756711372746038,33.604041294874456,0,0,17.37806993152106
E02000028,0,0,12.942865325304744,0,0,0.10317550301072109,0,0,0.06158510794536643,0,0,5.403281098546042,0,0,-1.2693335291525922,0,0,-0.13021677191951828,0,0.23803479914354833,27.85592054633573,0,0.05563920816875497,24.147903656924658
E02000029,0,0,16.45714178393821,0,0.11899075007378776,0.12775092582795472,0,0,0.0797017246852185,0,0,8.196126653264205,0,0,-0.7459914294783621,0,0.037502297167105667,0.1386079779917469,0,0.11142290707193331,24.512811448523962,0,0.15889156814372188,26.526828483758333
