WD17CD,Proportion,Extent,Score
W05000561,0,0,0
W05000562,0,0,0
W05000563,0,0.4006197824437136,0
W05000564,0,0,0
W05000565,0,0,0
W05000566,0,0,0
W05000567,0,0,0
W05000568,0.5,0.7720127896787664,0
W05000569,0,0.2241586869661063,0
W05000570,0,0.6184210526315789,0
W05000571,0,0.31259627727856226,0
W05000572,0,0,0
W05000573,0,0.18767365177750947,0
W05000574,0,0.95,0
W05000575,0,0,0
W05000577,0.5,0.8992304812280436,0
W05000578,0.3333333333333333,0.593609412535488,0
W05000579,0,0.5883312893551679,0
W05000581,0,0,0
W05000582,0,0,0
W05000584,0,0.02769716088328072,0
W05000585,0,0,0
W05000587,0.75,0.933035254315482,0
W05000590,0,0,0
W05000591,0,0,0
W05000592,0,0.37782006545046914,0
W05000593,0,0,0
W05000594,1,1,0
W05000595,0,0.5393991176287826,0
W05000596,0,0.14473684210526305,0
W05000598,0,0,0
W05000599,0,0,0
W05000601,0.4,0.7753897740537246,0
W05000602,0,0,0
W05000603,0,0,0
W05000604,0,0,0
W05000605,0,0.3177713869928277,0
W05000607,0,0.03852953699761185,0
W05000608,0,0,0
W05000609,0,0,0
W05000610,0,0,0
W05000611,0,0.11554121151936443,0
W05000612,0,0,0
W05000613,0,0.39029577713127034,0
W05000614,0,0.4481260804001618,0
W05000615,0.3333333333333333,0.7207164830247775,0
W05000616,0,0.29415241504264433,0
W05000617,0,0.07102907223295479,0
W05000618,0,0,0
W05000619,0,0,0
W05000620,0,0.21680376220751127,0
W05000622,0,0,0
W05000623,0,0,0
W05000624,0,0,0
W05000625,0,0.3029313378369572,0
W05000626,0,0.0991658450318481,0
W05000627,0,0.07500960430272757,0
W05000628,0,0.24830459358657037,0
W05000629,0,0,0
W05000630,0.5,0.5026937422295897,0
W05000631,0,0.17691110269678992,0
W05000632,0,0,0
W05000633,0.25,0.23270440251572327,0
W05000634,0,0.36378054282403843,0
W05000635,0,0.6914899236939933,0
W05000636,0,0,0
W05000637,0.3333333333333333,0.6476367244927962,0
W05000638,0,0,0
W05000640,0,0.09333791791093984,0
W05000641,0.25,0.6821313764187773,0
W05000642,0,0,0
W05000644,0,0,0
W05000645,0,0,0
W05000646,0,0,0
W05000648,0,0,0
W05000649,0,0,0
W05000650,0,0,0
W05000651,0,0,0
W05000652,0,0,0
W05000654,0,0,0
W05000655,0,0.37918361989762434,0
W05000657,0.25,0.3130091286441612,0
W05000658,0,0.21053867243310034,0
W05000659,0,0.12301422340643119,0
W05000661,0,0,0
W05000663,0,0,0
W05000664,0.5,0.520332743839145,0
W05000666,0.5,0.49374329638898823,0
W05000667,0,0.08739720394736838,0
W05000668,0.5,0.513271783035199,0
W05000669,0.5,0.6801383019592777,0
W05000671,0,0.23410759040458284,0
W05000672,0.3333333333333333,0.2756395482830145,0
W05000677,0.5,0.6244998461064942,0
W05000678,1,1,0
W05000680,0.3333333333333333,0.6228915448999858,0
W05000681,0.25,0.684532065457762,0
W05000682,0.25,0.2849746934879234,0
W05000683,0.25,0.40453730375231306,0
W05000684,1,1,0
W05000686,0,0,0
W05000687,0,0.14489233457086695,0
W05000688,0,0,0
W05000689,0,0.10199773149332232,0
W05000690,0.6666666666666666,0.9836389748121962,0
W05000691,0,0,0
W05000693,0,0,0
W05000694,0,0.12341848557592236,0
W05000695,0.25,0.26675558519506504,0
W05000696,0.25,0.28572372284204345,0
W05000697,0,0.050529656593215344,0
W05000698,0.3333333333333333,0.5459108640652068,0
W05000699,0,0,0
W05000700,0.25,0.7011811129666541,0
W05000701,0,0.10636321332521263,0
W05000702,0.6666666666666666,1,0
W05000704,0.5,0.4853163790493491,0
W05000705,0,0.26526901733705577,0
W05000706,0.25,0.3555620365346356,0
W05000707,0,0.10471159136114203,0
W05000708,0.25,0.2582550601931472,0
W05000709,0.25,0.38343294370006525,0
W05000710,1,1,0
W05000711,0.3333333333333333,0.44638673713168753,0
W05000712,0.3333333333333333,0.3661112414926074,0
W05000713,0.25,0.4375035742198669,0
W05000714,0,0.11150126527649723,0
W05000715,0,0.20716078825153758,0
W05000716,0,0.02468236713977498,0
W05000718,0.5,0.8312485988210315,0
W05000719,0,0,0
W05000720,0,0.30904692286271235,0
W05000721,0,0.5158417630057803,0
W05000722,0.25,0.3685028766247603,0
W05000723,0.14285714285714285,0.2645476545048399,0
W05000724,0,0.10569738713783033,0
W05000726,0,0,0
W05000728,0.5,0.4663782933543059,0
W05000729,0,0.2868421052631578,0
W05000730,0.3333333333333333,0.32474669414391205,0
W05000734,0.3333333333333333,0.7987082604109922,0
W05000735,0,0.03143771569152268,0
W05000736,0,0.23089686098654705,0
W05000737,0.3333333333333333,0.6281847116221186,0
W05000742,0,0.6657894736842105,0
W05000745,0,0.2793591473753417,0
W05000748,0.5,0.6660232211053071,0
W05000749,0,0,0
W05000750,0,0,0
W05000751,0,0.3396144202168195,0
W05000760,0,0,0
W05000761,0,0.8861001123200327,0
W05000764,0.25,0.36251100724784935,0
W05000765,0,0.3770103411020219,0
W05000766,0.25,0.7512527928503031,0
W05000768,0,0.30143815055307205,0
W05000769,0,0.5236842105263158,0
W05000770,0,0,0
W05000772,0,0,0
W05000773,0,0.95,0
W05000774,0,0.17765964979718177,0
W05000776,0,0.2355469356089992,0
W05000780,0,0.03502207353245498,0
W05000782,0,0,0
W05000783,0,0.19210526315789467,0
W05000784,0,0.6184210526315788,0
W05000787,0.5,0.842451410388717,0
W05000788,0,0.21934147424125053,0
W05000790,0,0.06954964286484965,0
W05000791,0,0,0
W05000792,0,0,0
W05000793,0,0,0
W05000794,0,0,0
W05000795,0,0,0
W05000796,0,0,0
W05000797,0,0,0
W05000798,0,0,0
W05000799,0,0,0
W05000800,0,0,0
W05000801,0,0,0
W05000802,0,0,0
W05000803,0,0,0
W05000804,0,0.26341002206114084,0
W05000805,0,0,0
W05000806,0,0,0
W05000807,0,0,0
W05000808,0,0,0
W05000809,0,0,0
W05000810,0,0,0
W05000811,0,0,0
W05000812,0,0,0
W05000813,0,0,0
W05000814,0,0,0
W05000815,0,0,0
W05000816,0,0.2359825064092896,0
W05000817,0,0,0
W05000818,0,0,0
W05000819,0,0,0
W05000820,0,0,0
W05000821,0,0,0
W05000822,0,0,0
W05000823,0,0,0
W05000824,0,0,0
W05000825,0,0,0
W05000826,0,0,0
W05000827,0,0,0
W05000828,0,0.1661176433992783,0
W05000829,0,0,0
W05000830,0,0,0
W05000831,0,0,0
W05000832,0,0,0
W05000833,0.16666666666666666,0.21164020407462905,0
W05000834,0.3333333333333333,0.4639234886120911,0
W05000835,0,0.17706849074092867,0
W05000836,0.5,0.7903618911774714,0
W05000837,0,0.013189347871671206,0
W05000838,0.16666666666666666,0.3004450891922692,0
W05000839,0,0,0
W05000840,0,0,0
W05000841,0.2857142857142857,0.32604536389142413,0
W05000842,0,0,0
W05000843,0.2,0.24505676744482716,0
W05000844,0,0,0
W05000845,0.75,0.9610947106542791,0
W05000846,0.6666666666666666,0.751384045954109,0
W05000847,0,0,0
W05000848,0,0.21155435204032177,0
W05000849,0.25,0.27654917566799314,0
W05000850,0.3333333333333333,0.6239249591181636,0
W05000851,0.5,0.3696537678207739,0
W05000852,0.75,0.9022402457043676,0
W05000853,0.6,0.8166794543718694,0
W05000854,0.125,0.28570743056022346,0
W05000855,0.5714285714285714,0.7252072014300961,0
W05000856,0,0.08227286864567854,0
W05000857,0,0,0
W05000858,0,0,0
W05000860,0.8,0.8200154162384378,0
W05000861,0.25,0.3765565243995716,0
W05000862,0,0,0
W05000863,0.08333333333333333,0.4626447344674626,0
W05000864,0,0,0
W05000865,0,0,0
W05000866,0,0,0
W05000867,0.16666666666666666,0.3695166351652612,0
W05000871,0,0,0
W05000872,0,0,0
W05000873,0.09090909090909091,0.19430009335978524,0
W05000875,0,0,0
W05000876,0,0,0
W05000877,0.375,0.48668753710195894,0
W05000879,0.5,0.6590144633752499,0
W05000881,0,0.06314875895070769,0
W05000889,0,0,0
W05000890,0,0.24484789339076593,0
W05000891,0,0,0
W05000893,0,0,0
W05000894,0,0,0
W05000895,0,0.09871637426900583,0
W05000896,0.14285714285714285,0.11241131484382198,0
W05000897,0,0.07822928061529438,0
W05000898,0,0,0
W05000899,0,0.24480029063520165,0
W05000900,0,0,0
W05000903,0,0.047120514285019836,0
W05000904,0,0,0
W05000905,0.5,0.6621155742849457,0
W05000906,0,0.1275113628878203,0
W05000907,0,0,0
W05000908,0,0,0
W05000909,0,0,0
W05000910,0,0,0
W05000911,0,0,0
W05000912,0,0,0
W05000913,0,0,0
W05000914,0,0,0
W05000915,0,0,0
W05000916,0,0,0
W05000917,0,0,0
W05000918,0.3333333333333333,0.5169094162565933,0
W05000919,0,0.5083506846816723,0
W05000920,0,0.2131068511796733,0
W05000921,0,0.10721166756176152,0
W05000922,0,0,0
W05000923,0,0.20553280735044438,0
W05000924,0,0.2904884760921912,0
W05000925,0,0,0
W05000926,0.125,0.2848618268879601,0
W05000927,0,0.08377488711315603,0
W05000928,0,0.09079240603897515,0
W05000929,0,0,0
W05000930,0.5,0.5176991150442478,0
W05000931,0,0,0
W05000932,0,0,0
W05000933,0,0,0
W05000934,0,0,0
W05000935,0,0,0
W05000936,0,0,0
W05000937,0,0.3014245267534741,0
W05000938,0,0.3034619980486521,0
W05000939,0,0.2629933617828354,0
W05000940,0,0.24216211037301988,0
W05000941,0.3333333333333333,0.5530401676718804,0
W05000942,0.3333333333333333,0.5479589189433076,0
W05000943,0.3333333333333333,0.45329007670413424,0
W05000944,0.3333333333333333,0.8018573209212492,0
W05000945,0,0.5311795994993742,0
W05000946,0,0,0
W05000947,0,0,0
W05000948,0,0,0
W05000949,0,0,0
W05000950,0,0,0
W05000951,0,0,0
W05000952,0,0,0
W05000953,0,0,0
W05000954,0,0,0
W05000955,0,0,0
W05000956,0,0,0
W05000957,0,0,0
W05000958,0,0,0
W05000959,0,0,0
W05000960,0.25,0.47966093991455316,0
W05000961,0.2,0.4175015073307745,0
W05000962,0,0.19933225012511735,0
W05000963,0,0.2229595094916259,0
W05000964,0,0.08758840907408527,0
W05000965,0,0,0
W05000966,0,0,0
W05000967,0,0,0
W05000968,0,0,0
W05000969,0,0.6143005438234974,0
W05000970,0,0,0
W05000971,0.125,0.1835997112447166,0
W05000972,0.18181818181818182,0.3290985847050963,0
W05000973,0.16666666666666666,0.25898430489379315,0
W05000974,0,0,0
W05000975,0.7142857142857143,0.946574335509701,0
W05000976,0,0.15856031128404666,0
W05000977,0,0,0
W05000978,0,0.18526235937111826,0
W05000979,0.8333333333333334,0.9357380453772374,0
W05000980,0,0,0
W05000981,0,0,0
W05000982,0,0,0
W05000983,0,0,0
W05000984,0.16666666666666666,0.5456301303718011,0
W05000985,0,0.11333821977843606,0
W05000986,0,0,0
W05000987,0,0,0
W05000988,0,0,0
W05000989,0,0,0
W05000990,0,0.034351161596806956,0
W05000991,0,0.28474340593854175,0
W05000992,0,0.469852549108825,0
W05000993,0,0,0
W05000994,0,0.4243793259845004,0
W05000995,0,0,0
W05000996,0,0,0
W05000997,0,0,0
W05000998,0.25,0.21060794044665013,0
