dz11_code,IMD_rank,Income_rank,Employment_rank,Health_rank,Education_rank,Housing_rank,Access_rank,Crime_rank,IMD_decile,Income_decile,Employment_decile,Health_decile,Education_decile,Access_decile,Housing_decile,Crime_decile
S01003018,5011,3668,4589,4029,4952,4944,5946,5305,8,6,8,7,8,10,8,9
S01003019,2114,2046,2507,2022,1439,2462,2454,3411,4,4,4,4,3,4,4,6
S01003020,3103,2665,2694,3990,2949,2309,3625,2885,5,5,5,7,5,6,4,5
S01003021,5196,5027,4455,4310,5322,5345,3686,3382,8,8,7,7,9,6,9,6
S01003022,4832,4415,4158,3336,4075,5271,5695,4952,8,7,7,6,7,9,9,8
S01003023,5128,5229,4353,5416,4143,5554,2197,6061,8,9,7,9,7,4,9,10
S01003024,3590,3003,3069,2916,3442,4446,5867,3987,6,5,5,5,6,10,7,7
S01003025,4963,4776,4834,5194,5828,4157,1176,4491,8,8,8,8,9,2,7,7
S01003026,920,435,1869,583,2389,1713,1461,1378,2,1,3,1,4,3,3,3
S01003027,5378,4746,4954,5264,5429,2284,3021,5408,9,8,8,9,9,5,4,9
S01003028,122,172,196,81,133,1029,5241,508,1,1,1,1,1,9,2,1
S01003029,392,459,405,292,693,547,2700,1126,1,1,1,1,2,5,1,2
S01003030,533,315,346,1051,1096,1242,5359,2512,1,1,1,2,2,9,2,4
S01003031,3870,6502,6503,3061,762,146,1245,6487,6,10,10,5,2,2,1,10
S01003032,523,469,956,625,253,299,2427,2027,1,1,2,1,1,4,1,4
S01003033,345,290,300,1501,155,518,5899,1230,1,1,1,3,1,10,1,2
S01003034,3175,2846,2528,3617,3893,1349,3647,3201,5,5,4,6,6,6,3,5
S01003035,295,335,323,347,295,839,4207,1606,1,1,1,1,1,7,2,3
S01003036,56,57,30,67,362,605,6238,1150,1,1,1,1,1,10,1,2
S01003037,3997,4211,5113,2730,3848,1118,1363,3759,7,7,8,5,6,3,2,6
S01003038,4057,2928,3867,5078,4182,3602,2726,4828,7,5,6,8,7,5,6,8
S01003039,614,358,548,1055,803,724,5478,2049,1,1,1,2,2,9,2,4
S01003040,609,415,453,448,1660,725,5719,2877,1,1,1,1,3,9,2,5
S01003041,3930,3346,3706,4539,3995,3036,2183,3979,7,6,6,7,7,4,5,7
S01003042,62,53,66,171,278,1336,2731,527,1,1,1,1,1,5,3,1
S01003043,22,35,80,62,26,541,2601,134,1,1,1,1,1,4,1,1
S01003044,64,74,87,20,460,545,5410,259,1,1,1,1,1,9,1,1
S01003045,334,408,327,178,429,1764,6033,1193,1,1,1,1,1,10,3,2
S01003046,1266,1231,1542,1542,866,1785,2487,1423,2,2,3,3,2,4,3,3
S01003047,132,48,308,199,160,392,5368,1355,1,1,1,1,1,9,1,3
S01003048,280,239,155,605,598,289,5781,3310,1,1,1,1,1,9,1,6
S01003049,74,23,51,125,711,741,5732,1661,1,1,1,1,2,9,2,3
S01003050,5407,5527,4482,5116,4752,2743,3130,6161,9,9,7,8,8,5,5,10
S01003051,1287,1345,1445,1030,826,1498,3961,2680,2,3,3,2,2,7,3,5
S01003052,264,145,286,231,1104,943,5601,1253,1,1,1,1,2,9,2,2
S01003053,2624,2184,3016,1971,2535,2123,3354,3863,5,4,5,4,4,6,4,6
S01003054,1414,1836,1554,453,1730,938,6210,936,3,3,3,1,3,10,2,2
S01003055,222,343,185,87,545,618,6328,1231,1,1,1,1,1,10,1,2
S01003056,260,258,348,1276,36,529,4991,737,1,1,1,2,1,8,1,2
S01003057,2369,1637,2698,3045,2428,868,4732,2141,4,3,5,5,4,8,2,4
S01003058,1364,2017,1582,1120,897,90,2325,1989,3,4,3,2,2,4,1,4
S01003059,5659,4757,5563,3767,5727,4205,4859,5700,9,8,9,6,9,8,7,9
S01003060,1205,1214,1475,789,1085,1204,3352,1966,2,2,3,2,2,6,2,4
S01003061,5046,5055,3818,5353,4489,1499,4183,5178,8,8,6,9,7,7,3,8
S01003062,2132,2148,2959,960,3556,617,2090,1701,4,4,5,2,6,4,1,3
S01003063,2258,1968,2806,2300,1981,735,4512,1102,4,4,5,4,4,7,2,2
S01003064,174,325,136,121,435,494,5279,404,1,1,1,1,1,9,1,1
S01003065,3180,2814,2724,2853,3892,601,6260,2285,5,5,5,5,6,10,1,4
S01003066,6050,5702,5121,5300,5733,4825,4502,5371,10,9,8,9,9,7,8,9
S01003067,4163,3974,3725,3708,4201,3367,5280,1239,7,7,6,6,7,9,6,2
S01003068,6054,5456,5603,5068,6427,3196,3676,5868,10,9,9,8,10,6,5,10
S01003069,2166,1795,2227,2555,2045,500,4261,2822,4,3,4,4,4,7,1,5
S01003070,2092,1519,2199,2328,2344,311,4749,3362,4,3,4,4,4,8,1,6
S01003071,5694,4985,5466,4263,6150,5982,3733,4492,9,8,9,7,10,6,10,7
S01003072,551,572,490,754,395,757,4222,2329,1,1,1,2,1,7,2,4
S01003073,3194,2488,3327,3495,3032,1641,3864,2999,5,4,6,6,5,6,3,5
S01003074,5886,4814,5515,5567,6319,5935,3769,4179,10,8,9,9,10,6,10,7
S01003075,1999,1550,2723,2585,1715,682,5038,520,4,3,5,4,3,8,2,1
S01003076,14,34,38,148,56,371,1090,111,1,1,1,1,1,2,1,1
S01003077,1027,717,1130,1376,1813,86,2501,2384,2,2,2,3,3,4,1,4
S01003078,3596,2642,3001,3518,4400,2913,4992,4460,6,5,5,6,7,8,5,7
S01003079,4728,3916,4252,4210,5506,1933,5430,2039,8,7,7,7,9,9,3,4
S01003080,2930,2899,3071,2686,2511,1030,2895,3349,5,5,5,5,4,5,2,6
S01003081,4851,3807,4722,5780,3912,5136,2577,6024,8,6,8,9,7,4,8,10
S01003082,230,401,567,196,57,913,1957,547,1,1,1,1,1,4,2,1
S01003083,405,571,539,230,529,504,2310,608,1,1,1,1,1,4,1,1
S01003084,368,370,381,300,533,1124,4208,1272,1,1,1,1,1,7,2,2
S01003085,5485,5336,4871,4677,6010,1937,3645,3670,9,9,8,8,10,6,3,6
S01003086,3864,3113,3244,3957,4405,5334,4378,2369,6,5,5,7,7,7,9,4
S01003087,3275,2838,3031,4462,2346,862,4579,3738,6,5,5,7,4,8,2,6
S01003088,92,75,298,98,78,844,3710,345,1,1,1,1,1,6,2,1
S01003089,5047,4459,4205,4855,5259,5078,4697,2575,8,7,7,8,9,8,8,4
S01003090,2260,1644,2021,2222,4139,1154,3213,4125,4,3,4,4,7,5,2,7
S01003091,3211,2844,3404,4329,1665,835,4864,3474,5,5,6,7,3,8,2,6
S01003092,1857,1654,1961,2172,1692,452,3258,3305,3,3,4,4,3,6,1,6
S01003093,635,734,349,698,1324,302,2741,3633,1,2,1,2,3,5,1,6
S01003094,2488,2182,2351,1530,4379,1369,4273,2519,4,4,4,3,7,7,3,4
S01003095,6380,6026,6318,5814,6330,6062,3491,4316,10,10,10,9,10,6,10,7
S01003096,3883,4129,2947,3679,3778,4596,4627,1690,6,7,5,6,6,8,8,3
S01003097,2297,3406,3321,5612,139,1684,3126,2116,4,6,6,9,1,5,3,4
S01003098,1545,1833,1796,2458,444,48,5913,1761,3,3,3,4,1,10,1,3
S01003099,335,171,292,1220,681,1026,4035,695,1,1,1,2,2,7,2,2
S01003100,2287,2158,2484,1943,2008,287,3936,4826,4,4,4,3,4,7,1,8
S01003101,953,981,953,1187,588,1130,5058,1286,2,2,2,2,1,8,2,2
S01003102,4294,3875,3767,4043,3810,2542,4641,3252,7,6,6,7,6,8,4,5
S01003103,5410,5162,4826,3517,5470,4813,5575,3299,9,8,8,6,9,9,8,6
S01003104,705,529,796,373,1609,711,4577,1638,2,1,2,1,3,8,2,3
S01003105,2873,1872,2970,2956,3195,1188,5742,3407,5,3,5,5,5,9,2,6
S01003106,5613,4872,5565,3836,6119,4346,5496,2523,9,8,9,6,10,9,7,4
