soa_code,IMD_rank,Income_rank,Employment_rank,Health_rank,Education_rank,Access_rank,Environment_rank,Crime_rank,IMD_decile,Income_decile,Employment_decile,Health_decile,Education_decile,Access_decile,Environment_decile,Crime_decile
95DD05W1,146,116,179,264,84,498,254,134,2,2,3,3,1,6,3,2
95DD06W1,860,825,808,842,836,404,798,714,10,10,10,10,10,5,9,9
95DD07S1,717,617,671,742,701,343,509,864,9,7,8,9,8,4,6,10
95DD07S2,749,655,800,672,733,314,756,773,9,8,9,8,9,4,9,9
95DD08W1,196,243,301,160,192,778,9,88,3,3,4,2,3,9,1,1
95DD09W1,697,729,691,804,781,166,280,740,8,9,8,10,9,2,4,9
95DD10W1,440,391,413,528,334,327,467,565,5,5,5,6,4,4,6,7
95DD11W1,160,138,414,208,73,559,84,16,2,2,5,3,1,7,1,1
95DD12W1,569,726,580,736,677,56,151,869,7,9,7,9,8,1,2,10
95DD13W1,214,203,220,318,174,757,104,109,3,3,3,4,2,9,2,2
95DD14S1,739,723,690,776,656,313,581,813,9,9,8,9,8,4,7,10
95DD14S2,871,879,844,879,860,324,841,871,10,10,10,10,10,4,10,10
95DD15W1,537,606,598,642,641,32,621,836,7,7,7,8,8,1,7,10
95DD16W1,630,752,717,711,712,53,298,737,8,9,9,8,8,1,4,9
95DD17W1,647,691,715,825,752,44,634,889,8,8,9,10,9,1,8,10
95DD18W1,266,294,244,373,260,662,38,189,3,4,3,5,3,8,1,3
95DD19S1,455,518,499,441,298,257,412,457,6,6,6,5,4,3,5,6
95DD19S2,734,750,738,747,757,200,478,870,9,9,9,9,9,3,6,10
95DD20W1,131,157,161,222,91,729,17,135,2,2,2,3,2,9,1,2
95DD21W1,650,610,835,698,425,639,160,178,8,7,10,8,5,8,2,2
95DD22S1,575,597,459,728,653,165,323,673,7,7,6,9,8,2,4,8
95DD22S2,448,401,369,536,486,215,609,630,6,5,5,7,6,3,7,8
95DD23W1,631,734,740,755,693,69,152,843,8,9,9,9,8,1,2,10
95DD24W1,710,619,719,616,606,524,586,513,8,7,9,7,7,6,7,6
95EE01W1,387,449,549,556,402,10,645,881,5,6,7,7,5,1,8,10
95EE02W1,319,295,307,379,307,125,601,721,4,4,4,5,4,2,7,9
95EE03W1,327,261,247,345,308,603,480,398,4,3,3,4,4,7,6,5
95EE04W1,535,498,595,591,405,160,565,653,7,6,7,7,5,2,7,8
95EE05W1,497,501,377,605,554,219,431,581,6,6,5,7,7,3,5,7
95EE06W1,483,474,504,500,465,128,597,883,6,6,6,6,6,2,7,10
95EE07W1,373,309,338,340,295,517,396,655,5,4,4,4,4,6,5,8
95EE08W1,562,541,325,579,681,755,320,399,7,7,4,7,8,9,4,5
95EE09W1,381,375,359,463,398,123,332,771,5,5,5,6,5,2,4,9
95EE10W1,466,461,621,627,318,91,527,684,6,6,7,8,4,2,6,8
95EE11W1,404,545,374,677,459,62,140,810,5,7,5,8,6,1,2,10
95EE12W1,205,186,185,164,177,702,302,593,3,3,3,2,2,8,4,7
95EE13W1,315,283,164,395,532,670,262,248,4,4,2,5,6,8,3,3
95EE14W1,496,451,479,472,454,255,573,629,6,6,6,6,6,3,7,8
95EE15W1,388,455,478,535,391,47,196,876,5,6,6,7,5,1,3,10
95EE16W1,533,532,491,566,522,144,518,854,6,6,6,7,6,2,6,10
95FF01S1,764,762,664,707,668,515,705,730,9,9,8,8,8,6,8,9
95FF01S2,804,748,768,786,756,490,815,420,10,9,9,9,9,6,10,5
95FF02W1,456,570,546,638,434,38,334,828,6,7,7,8,5,1,4,10
95FF03W1,412,388,373,336,365,539,460,543,5,5,5,4,5,7,6,7
95FF04W1,596,675,553,640,655,96,496,781,7,8,7,8,8,2,6,9
95FF05W1,492,420,567,451,390,366,356,527,6,5,7,6,5,5,4,6
95FF06S1,627,588,593,471,621,319,610,538,8,7,7,6,7,4,7,7
95FF06S2,790,794,783,768,796,243,740,863,9,9,9,9,9,3,9,10
95FF07W1,203,260,200,158,153,619,342,143,3,3,3,2,2,7,4,2
95FF08W1,454,428,412,281,549,585,417,365,6,5,5,4,7,7,5,5
95FF09W1,265,313,206,282,245,299,623,264,3,4,3,4,3,4,7,3
95FF10W1,540,668,585,567,688,25,744,835,7,8,7,7,8,1,9,10
95FF11W1,474,665,625,704,579,12,201,827,6,8,8,8,7,1,3,10
95FF12W1,398,548,236,369,506,233,598,431,5,7,3,5,6,3,7,5
95FF13W1,574,614,487,525,530,221,739,530,7,7,6,6,6,3,9,6
95FF14W1,671,703,601,598,758,184,536,812,8,8,7,7,9,3,7,10
95FF15W1,341,314,416,305,265,211,515,490,4,4,5,4,3,3,6,6
95FF16W1,662,602,507,543,729,556,499,641,8,7,6,7,9,7,6,8
95FF17W1,155,210,153,106,215,752,117,37,2,3,2,2,3,9,2,1
95GG01S1,276,269,177,187,416,802,414,311,4,4,2,3,5,10,5,4
95GG01S2,165,181,112,126,225,888,214,176,2,3,2,2,3,10,3,2
95GG01S3,209,214,137,136,349,859,213,345,3,3,2,2,4,10,3,4
95GG02S1,43,38,46,40,70,842,22,223,1,1,1,1,1,10,1,3
95GG02S2,42,39,52,43,68,801,12,142,1,1,1,1,1,9,1,2
95GG02S3,9,3,21,6,45,862,70,67,1,1,1,1,1,10,1,1
95GG03S1,785,701,845,693,844,865,238,288,9,8,10,8,10,10,3,4
95GG03S2,768,709,810,625,793,843,310,297,9,8,10,8,9,10,4,4
95GG03S3,563,458,675,447,545,872,163,145,7,6,8,6,7,10,2,2
95GG04S1,75,60,102,90,25,744,149,227,1,1,2,2,1,9,2,3
95GG04S2,50,35,59,58,34,814,110,330,1,1,1,1,1,10,2,4
95GG04S3,23,53,48,23,4,856,25,82,1,1,1,1,1,10,1,1
95GG05S1,446,464,650,479,360,795,50,38,6,6,8,6,5,9,1,1
95GG05S2,589,526,747,667,409,646,114,177,7,6,9,8,5,8,2,2
95GG05S3,217,228,408,193,137,719,19,128,3,3,5,3,2,9,1,2
95GG06S1,114,152,93,250,48,554,131,307,2,2,2,3,1,7,2,4
95GG06S2,273,337,242,404,132,630,101,369,4,4,3,5,2,8,2,5
95GG06S3,468,489,562,426,246,542,338,289,6,6,7,5,3,7,4,4
95GG07S1,105,129,104,75,190,877,60,59,2,2,2,1,3,10,1,1
95GG07S2,56,48,51,48,92,884,88,52,1,1,1,1,2,10,1,1
95GG07S3,109,122,84,96,131,816,158,317,2,2,1,2,2,10,2,4
95GG08S1,556,512,462,503,654,400,442,304,7,6,6,6,8,5,5,4
95GG08S2,158,149,160,218,126,742,137,113,2,2,2,3,2,9,2,2
95GG08S3,232,185,261,277,219,656,278,106,3,3,3,4,3,8,4,2
95GG09S1,872,850,867,844,876,611,519,463,10,10,10,10,10,7,6,6
95GG09S2,623,623,544,478,480,525,476,542,7,7,7,6,6,6,6,7
95GG09S3,316,268,448,319,157,618,245,205,4,4,6,4,2,7,3,3
95GG10S1,142,223,215,104,77,804,7,235,2,3,3,2,1,10,1,3
95GG10S2,69,112,90,72,49,839,4,32,1,2,2,1,1,10,1,1
95GG11S1,143,146,273,162,66,869,28,100,2,2,4,2,1,10,1,2
95GG11S2,691,637,748,615,709,807,111,251,8,8,9,7,8,10,2,3
95GG11S3,271,270,406,252,198,838,44,117,4,4,5,3,3,10,1,2
95GG12S1,532,842,872,884,139,847,23,21,6,10,10,10,2,10,1,1
95GG12S2,471,786,877,775,159,788,15,3,6,9,10,9,2,9,1,1
95GG12S3,472,736,873,748,156,818,37,1,6,9,10,9,2,10,1,1
95GG12S4,453,678,802,606,162,873,39,11,6,8,10,7,2,10,1,1
95GG12S5,79,59,152,56,105,806,16,57,1,1,2,1,2,10,1,1
95GG13S1,176,211,190,166,103,689,106,266,2,3,3,2,2,8,2,3
95GG13S2,725,626,709,690,829,714,252,295,9,8,8,8,10,9,3,4
95GG13S3,235,233,171,228,325,645,294,184,3,3,2,3,4,8,4,3
95GG14S1,762,815,674,750,795,632,505,218,9,10,8,9,9,8,6,3
95GG14S2,835,809,838,841,867,723,390,204,10,10,10,10,10,9,5,3
95GG14S3,720,778,669,726,787,437,567,138,9,9,8,9,9,5,7,2
95GG15S1,878,845,870,811,880,664,569,672,10,10,10,10,10,8,7,8
95GG15S2,873,823,862,779,850,794,492,512,10,10,10,9,10,9,6,6
95GG15S3,458,382,383,449,358,771,381,605,6,5,5,6,5,9,5,7
95GG16S1,96,111,109,83,290,861,20,4,2,2,2,1,4,10,1,1
95GG16S2,289,291,312,134,598,812,91,73,4,4,4,2,7,10,2,1
95GG16S3,378,317,444,453,380,767,97,56,5,4,5,6,5,9,2,1
95GG17S1,81,64,87,105,208,826,27,13,1,1,1,2,3,10,1,1
95GG17S2,371,363,356,315,438,798,136,96,5,5,4,4,5,9,2,2
95GG17S3,89,102,82,115,101,685,161,51,1,2,1,2,2,8,2,1
95GG18S1,13,11,15,5,88,851,67,31,1,1,1,1,1,10,1,1
95GG18S2,30,33,26,25,113,889,99,63,1,1,1,1,2,10,2,1
95GG19S1,22,31,33,49,3,885,93,213,1,1,1,1,1,10,2,3
95GG19S2,7,18,5,17,6,857,102,44,1,1,1,1,1,10,2,1
95GG20S1,19,49,29,26,7,799,32,69,1,1,1,1,1,9,1,1
95GG20S2,53,51,45,79,44,827,133,62,1,1,1,1,1,10,2,1
95GG21S1,8,12,12,3,24,880,81,111,1,1,1,1,1,10,1,2
95GG21S2,3,6,4,2,11,858,124,23,1,1,1,1,1,10,2,1
95GG21S3,4,13,10,8,12,868,49,2,1,1,1,1,1,10,1,1
95GG22S1,183,193,192,87,397,837,171,49,3,3,3,1,5,10,2,1
95GG22S2,272,276,174,177,447,849,330,267,4,4,2,2,6,10,4,3
95GG22S3,148,162,103,94,251,845,343,98,2,2,2,2,3,10,4,2
95GG23S1,821,820,791,795,742,512,529,509,10,10,9,9,9,6,6,6
95GG23S2,826,774,759,739,882,712,456,436,10,9,9,9,10,8,6,5
95GG23S3,793,735,798,686,809,623,595,316,9,9,9,8,10,7,7,4
95GG24S1,582,584,531,386,597,808,344,153,7,7,6,5,7,10,4,2
95GG24S2,251,347,231,274,287,783,36,60,3,4,3,4,4,9,1,1
95GG24S3,555,542,563,448,604,746,211,86,7,7,7,6,7,9,3,1
95GG25S1,103,117,60,86,261,768,275,65,2,2,1,1,3,9,4,1
95GG25S2,87,84,31,71,319,811,209,358,1,1,1,1,4,10,3,5
95GG25S3,127,128,122,57,203,775,166,439,2,2,2,1,3,9,2,5
95GG26S1,68,88,65,119,17,447,217,221,1,1,1,2,1,6,3,3
95GG26S2,102,143,80,85,94,680,150,306,2,2,1,1,2,8,2,4
95GG27S1,275,374,319,251,112,301,641,296,4,5,4,3,2,4,8,4
95GG27S2,62,78,39,32,130,424,183,247,1,1,1,1,2,5,3,3
95GG27S3,74,80,35,80,133,659,156,130,1,1,1,1,2,8,2,2
95GG27S4,47,54,38,30,64,682,134,175,1,1,1,1,1,8,2,2
95GG28S1,393,565,323,382,228,353,432,393,5,7,4,5,3,4,5,5
95GG28S2,162,253,101,200,124,651,129,198,2,3,2,3,2,8,2,3
95GG28S3,36,74,32,55,14,593,123,194,1,1,1,1,1,7,2,3
95GG29S1,90,108,182,202,2,774,195,124,2,2,3,3,1,9,3,2
95GG29S2,274,275,443,209,196,860,51,116,4,4,5,3,3,10,1,2
95GG30S1,263,235,211,297,259,627,191,409,3,3,3,4,3,8,3,5
95GG30S2,864,812,831,759,848,758,475,507,10,10,10,9,10,9,6,6
95GG30S3,744,730,684,681,478,749,555,720,9,9,8,8,6,9,7,9
95GG31S1,467,426,364,280,575,736,525,486,6,5,5,4,7,9,6,6
95GG31S2,172,163,111,124,276,721,399,309,2,2,2,2,4,9,5,4
95GG31S3,76,47,53,98,141,763,207,137,1,1,1,2,2,9,3,2
95GG32S1,70,82,68,84,81,352,167,48,1,1,1,1,1,4,2,1
95GG32S2,124,148,129,163,115,644,132,71,2,2,2,2,2,8,2,1
95GG32S3,290,292,193,421,268,678,240,187,4,4,3,5,4,8,3,3
95GG33S1,876,883,861,880,890,641,589,386,10,10,10,10,10,8,7,5
95GG33S2,865,869,849,830,883,663,339,426,10,10,10,10,10,8,4,5
95GG33S3,828,826,846,839,884,830,187,225,10,10,10,10,10,10,3,3
95GG34S1,268,281,210,237,294,735,126,418,4,4,3,3,4,9,2,5
95GG34S2,663,633,498,505,813,756,608,224,8,8,6,6,10,9,7,3
95GG34S3,781,728,742,791,815,781,383,241,9,9,9,9,10,9,5,3
95GG35S1,5,5,8,11,23,886,64,15,1,1,1,1,1,10,1,1
95GG35S2,14,16,17,7,46,887,14,119,1,1,1,1,1,10,1,2
95GG35S3,15,19,20,21,26,890,10,68,1,1,1,1,1,10,1,1
95GG36S1,515,450,609,322,418,796,224,323,6,6,7,4,5,9,3,4
95GG36S2,761,727,733,673,767,692,277,597,9,9,9,8,9,8,4,7
95GG36S3,745,690,772,720,691,655,378,286,9,8,9,9,8,8,5,4
95GG37S1,763,722,832,816,832,676,249,165,9,9,10,10,10,8,3,2
95GG37S2,611,585,735,577,565,776,66,133,7,7,9,7,7,9,1,2
95GG37S3,660,533,712,622,570,741,226,325,8,6,8,7,7,9,3,4
95GG38S1,754,672,823,655,856,642,391,242,9,8,10,8,10,8,5,3
95GG38S2,462,358,522,341,659,732,162,180,6,5,6,4,8,9,2,3
95GG38S3,787,724,851,695,864,667,287,319,9,9,10,8,10,8,4,4
95GG39S1,78,85,172,66,20,834,63,72,1,1,2,1,1,10,1,1
95GG39S2,54,66,99,37,22,871,109,20,1,1,2,1,1,10,2,1
95GG39S3,52,71,67,47,19,874,24,229,1,1,1,1,1,10,1,3
95GG40S1,18,29,37,12,8,875,62,136,1,1,1,1,1,10,1,2
95GG40S2,6,7,13,20,1,878,74,24,1,1,1,1,1,10,1,1
95GG41S1,881,885,863,868,881,428,842,837,10,10,10,10,10,5,10,10
95GG41S2,889,878,881,876,886,541,701,729,10,10,10,10,10,7,8,9
95GG41S3,769,689,756,713,824,727,251,487,9,8,9,9,10,9,3,6
95GG42S1,869,881,883,885,889,312,779,608,10,10,10,10,10,4,9,7
95GG42S2,887,889,889,889,888,738,386,573,10,10,10,10,10,9,5,7
95GG42S3,817,873,888,888,885,634,185,144,10,10,10,10,10,8,3,2
95GG42S4,854,829,865,874,887,427,465,488,10,10,10,10,10,5,6,6
95GG43S1,190,230,142,153,172,610,172,768,3,3,2,2,2,7,2,9
95GG43S2,507,508,520,534,282,773,115,427,6,6,6,6,4,9,2,5
95GG43S3,330,387,481,248,171,803,56,199,4,5,6,3,2,10,1,3
