lad_code,Proportion,Extent,Income_Proportion,Income_Extent,Employment_Proportion,Employment_Extent,Education_Proportion,Education_Extent,Health_Proportion,Health_Extent,Crime_Proportion,Crime_Extent,Housing_Proportion,Housing_Extent,Access_Proportion,Access_Extent
S12000020,0.007936507936507936,0.03137362818442474,0.007936507936507936,0.03314984785068494,0.015873015873015872,0.042630068439728,0.015873015873015872,0.05704368937371606,0.007936507936507936,0.014936448824001141,0.05555555555555555,0.11430582561601248,0,0.018821831504245896,0.1984126984126984,0.329360533456371
S12000021,0.16129032258064516,0.37767966375788065,0.21505376344086022,0.4082052178464567,0.1881720430107527,0.3830474871682695,0.07526881720430108,0.2759556416646485,0.1774193548387097,0.3775982984773794,0.0913978494623656,0.1825967555447919,0.010752688172043012,0.08809391186144074,0.06451612903225806,0.17956219776098994
S12000023,0,0.0029746177297757174,0,0,0,0.0018363150804717222,0,0.013000614468366693,0,0.003926216529199063,0.034482758620689655,0.04646137120979368,0.034482758620689655,0.06923865006026517,0.4827586206896552,0.6062392172618344
S12000026,0.02097902097902098,0.06025233632084713,0.013986013986013986,0.05653985300885318,0.013986013986013986,0.07401828959898663,0.03496503496503497,0.061179095908761597,0.02097902097902098,0.062157935744911574,0.04195804195804196,0.12384847062683112,0,0.00942843864053693,0.25874125874125875,0.3488085333236129
S12000027,0,0.007439147607237989,0,0,0,0.017739505832644435,0,0.005600257187471295,0,0.00883094516395701,0.06666666666666667,0.10352702764765316,0,0.036936139432350495,0.5666666666666667,0.6759143933131257
S12000028,0.09803921568627451,0.16478932879663857,0.08496732026143791,0.16720381007576218,0.1111111111111111,0.18525037507185957,0.08496732026143791,0.11778714613547453,0.11764705882352941,0.2087704887384966,0.09803921568627451,0.14107268214938376,0.006535947712418301,0.06005162203973658,0.06535947712418301,0.2489243032543618
S12000029,0.09976798143851508,0.19840024827300834,0.0951276102088167,0.20566364590226383,0.0951276102088167,0.1955074490112593,0.09744779582366589,0.18332736733732122,0.12064965197215777,0.23984303136088747,0.08352668213457076,0.1714105010287238,0.027842227378190254,0.11962222109105476,0.06496519721577726,0.1872190960038226
S12000030,0.05785123966942149,0.11387236800205587,0.049586776859504134,0.10241316990597711,0.05785123966942149,0.10701291627327526,0.09917355371900827,0.14579184799915082,0.024793388429752067,0.10500589388767534,0.08264462809917356,0.1545934893491025,0.049586776859504134,0.0955862602584372,0.18181818181818182,0.2661659562343924
S12000033,0.0176678445229682,0.10504621691106236,0.01060070671378092,0.08003177412635537,0.024734982332155476,0.09466118723142748,0.0812720848056537,0.18711585069728154,0.014134275618374558,0.09010292929595164,0.14840989399293286,0.24220973455197445,0.19081272084805653,0.3454768650756203,0.014134275618374558,0.0882159535805447
S12000034,0.0058823529411764705,0.026190764035389953,0,0.02487550851402078,0.0058823529411764705,0.02790447895321167,0.03235294117647059,0.061579743259607606,0,0.005731534820743139,0.03823529411764706,0.08200596817644203,0.008823529411764706,0.024785834748810694,0.3264705882352941,0.460561012615379
