soa11_name,soa11_code,lgd14_name,lgd14_code,Civic Assets score,Civic Assets rank,Connectedness score,Connectedness rank,Engaged Community score,Engaged Community rank,Community Needs Index score,Community Needs Index rank,Left Behind Area?
Gilnahirk,95II12W1,Belfast,N09000003,-0.0150881111621857,473,27.3532638549805,546,63.0439300537109,194,59.524227142334,460,FALSE
Graham's_Bridge,95II13W1,Lisburn and Castlereagh,N09000007,0.161358654499054,404,40.3701705932617,412,9.71150207519531,853,36.282470703125,732,FALSE
Hillfoot,95II14W1,Belfast,N09000003,-0.325472593307495,598,14.6250762939453,710,69.9145584106445,151,53.722770690918,523,FALSE
Knockbracken_1,95II15S1,Lisburn and Castlereagh,N09000007,0.650123119354248,203,44.7337989807129,371,47.7370643615723,326,75.5481567382813,291,FALSE
Knockbracken_2,95II15S2,Lisburn and Castlereagh,N09000007,-0.322932600975037,597,27.5034008026123,544,28.5047340393066,580,29.9804039001465,809,FALSE
Lisnasharragh,95II16W1,Belfast,N09000003,-0.661527216434479,686,34.1600074768066,472,60.6762657165527,214,52.267520904541,534,FALSE
Lower_Braniel,95II17W1,Belfast,N09000003,-0.116291418671608,515,67.0334167480469,185,82.6450347900391,88,98.4390640258789,125,FALSE
Minnowburn,95II18W1,Belfast,N09000003,-0.193620711565018,545,67.0769271850586,184,54.7363433837891,257,74.3259429931641,304,FALSE
Moneyreagh_1,95II19S1,Lisburn and Castlereagh,N09000007,-0.229028359055519,559,2.6854932308197,879,21.1501789093018,720,15.7062978744507,885,FALSE
Moneyreagh_2,95II19S2,Lisburn and Castlereagh,N09000007,0.365776240825653,327,21.0094223022461,620,21.2443752288818,714,35.838508605957,742,FALSE
Newtownbreda,95II20W1,Lisburn and Castlereagh,N09000007,-0.784391582012177,741,20.6523666381836,628,15.7376575469971,795,14.7060165405273,886,FALSE
Tullycarnet,95II21W1,Belfast,N09000003,0.286463618278503,346,69.7168502807617,172,73.2711868286133,124,101.786811828613,106,FALSE
Upper_Braniel,95II22W1,Belfast,N09000003,0.0572670176625252,437,39.9607810974121,415,145.780517578125,2,131.476165771484,29,FALSE
Wynchurch,95II23W1,Belfast,N09000003,-0.342031925916672,602,42.1343460083008,400,70.7618637084961,144,67.525390625,367,FALSE
Agivey,95JJ01W1,Causeway Coast and Glens,N09000004,0.220397472381592,380,20.7924575805664,624,27.3587036132813,602,36.2012710571289,733,FALSE
Atlantic,95JJ02W1,Causeway Coast and Glens,N09000004,-0.300432503223419,584,54.6962890625,280,45.5260887145996,344,57.0720977783203,485,FALSE
Ballysally_1,95JJ03S1,Causeway Coast and Glens,N09000004,-0.56055760383606,655,129.862289428711,16,12.8386545181274,829,89.6002807617188,172,FALSE
Ballysally_2,95JJ03S2,Causeway Coast and Glens,N09000004,-0.714043974876404,705,108.330596923828,43,14.528491973877,810,72.3735961914063,317,FALSE
Castlerock_1,95JJ04S1,Causeway Coast and Glens,N09000004,0.152053833007813,407,42.2991485595703,394,25.1774559020996,642,43.5604438781738,648,FALSE
Castlerock_2,95JJ04S2,Causeway Coast and Glens,N09000004,0.243582531809807,370,87.8870162963867,97,46.2374496459961,336,90.699348449707,163,FALSE
Central_(Coleraine_LGD),95JJ05W1,Causeway Coast and Glens,N09000004,-0.830446422100067,755,126.550399780273,19,10.7367687225342,842,83.5755386352539,220,FALSE
Churchland,95JJ06W1,Causeway Coast and Glens,N09000004,-0.500525057315826,637,109.969528198242,40,32.6078414916992,512,86.3700866699219,196,FALSE
Cross_Glebe,95JJ07W1,Causeway Coast and Glens,N09000004,-0.358140408992767,604,72.3074722290039,157,25.0269889831543,645,54.8330497741699,508,FALSE
Dundooan_1,95JJ08S1,Causeway Coast and Glens,N09000004,-0.738450765609741,716,28.9960670471191,522,12.9685764312744,826,18.7898387908936,879,FALSE
Dundooan_2,95JJ08S2,Causeway Coast and Glens,N09000004,-0.0540390685200691,490,27.3779411315918,545,41.4359703063965,392,43.2061309814453,655,FALSE
Dunluce,95JJ09W1,Causeway Coast and Glens,N09000004,0.228768512606621,376,28.3612976074219,533,15.6952781677246,798,33.6135177612305,763,FALSE
