lsoa_code,IMD_decile,Income_decile,Employment_decile,Health_decile,Education_decile,Housing_decile,Access_decile,Environment_decile,Crime_decile,IMD_rank,Income_rank,Employment_rank,Health_rank,Education_rank,Housing_rank,Access_rank,Environment_rank,Crime_rank,IMD_score,Income_score,Employment_score,Education_score,Health_score,Crime_score,Housing_score,Access_score,Environment_score
W01000041,2,1,2,3,2,7,2,10,2,308,188,367,454,325,1307,282,1818,323,36.4843923,50.84589076,36.76791123,39.38141544,32.14731288,39.51359352,8.59408885,42.405461270000004,1.120974874
W01000042,8,7,7,7,7,8,6,10,5,1442,1161,1198,1223,1270,1344,1139,1854,792,10.36292517,11.26637272,10.55922232,9.242504688,10.09343694,19.84715463,7.963453038,11.69738445,0.67580359
W01000043,5,4,5,5,4,10,7,4,5,915,590,894,833,730,1781,1178,621,949,18.67469842,26.38865021,17.13819589,21.66462253,18.71963466,15.79992508,1.587671658,10.93876378,25.25580563
W01000044,9,9,8,8,9,9,5,8,10,1716,1658,1511,1518,1592,1668,862,1506,1876,5.535943196,3.210928156,5.314329949,4.13159988,5.209683494,0.407936279,3.074592382,17.95423125,5.38937
W01000047,7,8,7,8,8,3,2,8,9,1234,1338,1274,1403,1399,403,228,1374,1591,13.52829384,8.064550894,9.17151787,7.056861139,6.992300432,4.145836815,34.74223369,46.87078692,7.464523956
W01000048,5,5,6,6,4,7,2,7,6,907,883,1044,1037,627,1291,234,1194,1076,18.84795295,17.41545457,13.65730382,25.04284651,13.80854676,12.97829793,8.872244518,46.32962009,10.63463122
W01000049,6,6,5,9,4,2,7,10,3,1037,963,923,1643,592,281,1329,1882,552,16.41824012,15.47135354,16.42286925,26.31385538,3.416959178,27.85801705,42.48074373,8.217035808,0.335419762
W01000050,5,5,5,8,8,2,2,5,4,855,927,845,1428,1499,197,205,897,707,19.76935283,16.32592662,18.39982095,5.494839087,6.592850666,22.37712177,49.889705,49.07190035,17.06315637
W01000051,7,5,6,6,5,7,7,5,5,1167,934,969,1094,890,1278,1295,922,845,14.49142455,16.15725404,15.33196147,17.23863094,12.60498594,18.39982095,9.100749472,8.802389596,16.44716888
W01000052,9,9,10,7,8,5,4,10,10,1606,1636,1725,1237,1473,811,632,1908,1840,7.46451947,3.513742261,2.312542106,5.890871084,9.8366593,0.847903374,19.31776559,24.86687452,0.023797008
W01000053,7,9,10,9,9,1,2,8,8,1320,1650,1788,1664,1575,86,209,1520,1346,12.28034112,3.320581648,1.498648297,4.374834516,3.129029752,7.929852263,65.93468603,48.67365012,5.179871751
W01000054,8,8,8,8,8,6,2,8,4,1394,1455,1389,1348,1522,1105,308,1446,755,11.13162501,6.169097234,7.219060227,5.150098598,7.896300505,20.91440891,12.37979827,40.52991033,6.309482689
W01000056,3,4,4,4,4,1,3,8,2,558,616,648,709,761,177,399,1524,327,26.55426581,25.43479032,24.31264445,20.73794113,22.3142816,39.24999264,52.07126536,34.95869757,5.120363936
W01000057,5,8,8,9,7,1,1,7,9,889,1448,1407,1567,1148,22,62,1219,1577,19.09559702,6.278211786,6.927920439,11.52008412,4.49019408,4.346084805,85.98223871,71.59479507,10.16733162
W01000059,2,2,2,3,3,4,3,9,1,357,298,319,525,557,674,539,1664,60,34.2819223,41.23329398,39.78025057,27.65923145,28.96219706,72.13589267,23.43956772,28.38304676,3.129029752
W01000060,5,7,8,8,8,1,1,5,9,768,1187,1380,1502,1508,34,13,845,1685,21.36373818,10.76719464,7.366023882,5.359324594,5.449578816,2.8446603,80.65248832,90.98789595,18.39982095
W01000061,9,6,8,8,8,7,9,10,9,1615,1140,1356,1527,1386,1269,1565,1861,1626,7.368010563,11.67761679,7.762580783,7.267943847,5.075833898,3.652714124,9.260285678,4.519124604,0.590234209
W01000062,5,8,9,5,5,1,2,7,1,875,1457,1676,888,771,164,339,1238,49,19.31821758,6.138016491,2.966102658,20.44680402,17.28901342,75.3634391,53.60898405,38.47684592,9.818427272
W01000063,4,4,5,5,7,1,1,8,4,663,743,868,899,1269,93,170,1366,675,23.79885234,21.271459,17.79900292,9.260285678,17.0132657,23.40664078,64.51593795,52.88647325,7.596517035
W01000064,6,5,5,6,7,4,5,7,3,1016,862,953,1023,1297,622,805,1159,397,16.78214016,17.95423125,15.70556756,8.767541535,14.11404937,35.067698300000004,25.22017523,19.48362844,11.30522354
W01000065,4,4,4,5,3,2,7,5,3,679,692,599,847,513,322,1323,919,519,23.52694121,22.85397675,26.05397245,29.47048978,18.34694836,29.21493931,39.57996851,8.319256963,16.52022221
W01000066,5,7,7,7,9,1,1,6,10,904,1152,1168,1302,1541,73,92,1141,1785,18.89870829,11.44172057,11.13090931,4.869159446,8.680651683,1.536758981,68.82692496,64.71333642,11.6578661
W01000067,7,8,6,8,7,5,3,5,3,1222,1385,1078,1347,1176,855,546,871,466,13.71671447,7.284261502,12.93651834,10.97706468,7.913070266,31.57705495,18.1366651,28.09885009,17.72177985
W01000068,7,6,5,6,5,6,7,9,6,1224,1105,883,1120,904,1015,1189,1649,1034,13.66450853,12.37979827,17.41545457,16.88901043,12.07623465,13.87367086,14.29046167,10.72924135,3.334325165
W01000069,8,7,7,8,6,8,2,7,9,1339,1319,1334,1497,976,1424,277,1287,1612,11.97091063,8.387657671,8.13219719,15.17039797,5.525062158,3.848696322,6.656298268,42.78436216,8.942312247
