Data Zone,Local Authority Code,Local Authority Name,Intermediate Geography name,Nearest settlement*,Total Population (SAPE 2010),"Best-fit Working Age Population** (men 16-64, women 16-60 SAPE 2010)",Overall SIMD 2012 Score,Overall SIMD 2012 Rank,Income domain 2012 rate (%),Number of Income Deprived People 2012,Income domain 2012 rank,Employment domain 2012 rate (%),Number of Employment Deprived People 2012 ,Employment domain 2012 rank,Health domain 2012 score,Health domain 2012 rank,"Education, Skills and Training domain 2012 score","Education, Skills and Training domain 2012 rank","Housing domain score 2004, 2006, 2009 & 2012","Housing domain rank 2004, 2006, 2009 & 2012",Geographic Access domain 2012 score,Geographic Access domain 2012 rank,SIMD Crime 2012 score,SIMD Crime 2012 rank,Decile,Quintile,Vigintile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003090,260,Glasgow City,Glasgow City - Merrylee and Millbrae,Glasgow,719,483,23.50,"2,260",19,140,"1,644",16,75,"2,021",0.37,"2,222",-0.35,"4,139",29.56,"1,154",16.22,"3,213",201,"4,125",4,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003091,260,Glasgow City,Glasgow City - Kingspark South,Glasgow,551,404,17.09,"3,211",13,75,"2,844",10,45,"3,404",-0.41,"4,329",0.63,"1,665",34.38,835,7.39,"4,864",262,"3,474",5,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003092,260,Glasgow City,Glasgow City - Carnwadric East,Glasgow,840,569,27.12,"1,857",19,165,"1,654",17,95,"1,961",0.39,"2,172",0.62,"1,692",45.11,452,15.97,"3,258",283,"3,305",3,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003093,260,Glasgow City,Glasgow City - Newlands,Glasgow,932,547,46.51,635,27,255,734,31,170,349,1.08,698,0.78,"1,324",52.06,302,19.51,"2,741",246,"3,633",1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003094,260,Glasgow City,Glasgow City - Merrylee and Millbrae,Glasgow,973,557,21.69,"2,488",16,160,"2,182",15,80,"2,351",0.65,"1,530",-0.44,"4,379",26.96,"1,369",10.20,"4,273",380,"2,519",4,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003095,260,Glasgow City,Glasgow City - Newlands,Glasgow,771,539,2.88,"6,380",3,20,"6,026",2,15,"6,318",-1.08,"5,814",-1.65,"6,330",4.18,"6,062",14.57,"3,491",186,"4,316",10,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003096,260,Glasgow City,Glasgow City - Kingspark South,Glasgow,690,430,13.77,"3,883",8,55,"4,129",12,50,"2,947",-0.17,"3,679",-0.22,"3,778",11.06,"4,596",8.45,"4,627",529,"1,690",6,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003097,260,Glasgow City,Glasgow City - Crookston South,Glasgow,697,431,23.07,"2,297",11,75,"3,406",11,45,"3,321",-0.95,"5,612",1.68,139,24.01,"1,684",16.78,"3,126",443,"2,116",4,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003098,260,Glasgow City,Glasgow City - Cathcart,Glasgow,"1,144",919,30.68,"1,545",18,210,"1,833",18,165,"1,796",0.28,"2,458",1.31,444,75.99,48,2.64,"5,913",513,"1,761",3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003099,260,Glasgow City,Glasgow City - Nitshill,Glasgow,481,284,55.77,335,37,175,171,32,95,292,0.79,"1,220",1.12,681,31.19,"1,026",11.51,"4,035",852,695,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003100,260,Glasgow City,Glasgow City - Newlands,Glasgow,857,544,23.19,"2,287",16,140,"2,158",14,75,"2,484",0.48,"1,943",0.50,"2,008",52.67,287,12.06,"3,936",145,"4,826",4,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003101,260,Glasgow City,Glasgow City - Crookston South,Glasgow,562,363,39.39,953,25,140,981,23,85,953,0.80,"1,187",1.19,588,29.85,"1,130",6.59,"5,058",624,"1,286",2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003102,260,Glasgow City,Glasgow City - Kingspark North,Glasgow,710,471,11.84,"4,294",9,65,"3,875",9,45,"3,767",-0.30,"4,043",-0.23,"3,810",18.77,"2,542",8.41,"4,641",289,"3,252",7,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003103,260,Glasgow City,Glasgow City - Kingspark North,Glasgow,696,453,7.08,"5,410",5,35,"5,162",6,30,"4,826",-0.11,"3,517",-0.88,"5,470",10.27,"4,813",4.06,"5,575",283,"3,299",9,5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003104,260,Glasgow City,Glasgow City - Pollokshaws,Glasgow,980,591,44.46,705,30,290,529,25,150,796,1.35,373,0.65,"1,609",37.04,711,8.74,"4,577",542,"1,638",2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003105,260,Glasgow City,Glasgow City - Kingspark North,Glasgow,758,493,19.26,"2,873",18,135,"1,872",12,60,"2,970",0.09,"2,956",-0.01,"3,195",29.07,"1,188",3.31,"5,742",270,"3,407",5,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003106,260,Glasgow City,Glasgow City - Newlands,Glasgow,732,484,6.29,"5,613",6,45,"4,872",5,25,"5,565",-0.23,"3,836",-1.37,"6,119",11.94,"4,346",4.39,"5,496",379,"2,523",9,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003107,260,Glasgow City,Glasgow City - Crookston South,Glasgow,802,480,57.45,286,33,260,337,33,160,263,0.92,969,1.64,172,32.90,910,21.28,"2,522",574,"1,511",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003108,260,Glasgow City,Glasgow City - Cathcart,Glasgow,744,593,32.43,"1,399",22,165,"1,253",22,130,"1,096",0.57,"1,699",0.48,"2,053",75.92,49,4.54,"5,464",390,"2,449",3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003109,260,Glasgow City,Glasgow City - Merrylee and Millbrae,Glasgow,933,642,5.79,"5,729",4,35,"5,711",5,30,"5,281",-1.02,"5,722",-0.89,"5,486",12.11,"4,311",23.08,"2,297",164,"4,600",9,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003110,260,Glasgow City,Glasgow City - Merrylee and Millbrae,Glasgow,727,496,4.73,"5,996",4,30,"5,551",4,20,"5,878",-0.83,"5,365",-1.51,"6,249",4.11,"6,074",21.39,"2,508",158,"4,668",10,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003111,260,Glasgow City,Glasgow City - Nitshill,Glasgow,836,514,62.80,188,32,270,361,32,165,311,1.94,75,1.60,196,37.08,710,4.88,"5,399",1544,154,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003112,260,Glasgow City,Glasgow City - Cathcart,Glasgow,820,541,10.50,"4,613",8,65,"4,115",9,50,"3,740",-0.07,"3,421",-0.99,"5,668",22.48,"1,864",2.41,"5,961",323,"2,962",8,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003113,260,Glasgow City,Glasgow City - Kingspark North,Glasgow,731,489,9.76,"4,792",6,45,"4,662",7,35,"4,458",-0.54,"4,694",-0.26,"3,888",16.93,"2,975",12.63,"3,832",408,"2,335",8,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003114,260,Glasgow City,Glasgow City - Mount Florida,Glasgow,799,520,14.91,"3,639",12,90,"3,210",10,55,"3,408",0.03,"3,149",-0.11,"3,454",21.33,"2,048",4.67,"5,439",412,"2,299",6,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003115,260,Glasgow City,Glasgow City - Pollokshaws,Glasgow,"1,047",704,11.95,"4,267",11,115,"3,374",6,45,"4,793",-0.27,"3,946",-0.23,"3,795",27.47,"1,316",6.97,"4,964",456,"2,040",7,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003116,260,Glasgow City,Glasgow City - Cathcart,Glasgow,800,577,28.29,"1,738",19,155,"1,676",17,95,"1,969",0.77,"1,250",0.40,"2,218",73.39,53,2.31,"5,992",620,"1,299",3,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003117,260,Glasgow City,Glasgow City - Battlefield,Glasgow,723,543,25.22,"2,067",18,130,"1,911",18,100,"1,751",0.27,"2,460",0.16,"2,801",67.51,103,9.54,"4,406",401,"2,376",4,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003118,260,Glasgow City,Glasgow City - Pollokshaws,Glasgow,876,618,32.17,"1,420",20,175,"1,561",15,90,"2,311",0.87,"1,048",1.16,627,46.78,422,4.10,"5,564",822,752,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003119,260,Glasgow City,Glasgow City - Kingspark North,Glasgow,638,472,17.00,"3,223",11,70,"3,289",10,50,"3,409",-0.28,"3,981",0.46,"2,105",32.69,924,19.91,"2,688",306,"3,094",5,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003120,260,Glasgow City,Glasgow City - Pollok South and West,Glasgow,"1,375",917,8.95,"4,965",6,75,"4,961",7,65,"4,443",-0.25,"3,894",-0.69,"5,032",12.12,"4,309",13.78,"3,632",358,"2,671",8,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003121,260,Glasgow City,Glasgow City - Crookston South,Glasgow,896,562,56.79,304,30,270,492,30,165,421,1.74,136,1.64,170,47.41,403,7.72,"4,791",460,"2,016",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003122,260,Glasgow City,Glasgow City - Toryglen and Oatlands,Glasgow,775,464,25.07,"2,091",19,145,"1,734",16,75,"2,015",0.43,"2,059",0.41,"2,203",28.44,"1,230",11.81,"3,977",240,"3,702",4,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003123,260,Glasgow City,Glasgow City - Pollok South and West,Glasgow,861,557,14.52,"3,730",11,95,"3,369",11,60,"3,343",-0.04,"3,333",-0.36,"4,175",17.97,"2,726",20.22,"2,648",168,"4,538",6,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003124,260,Glasgow City,Glasgow City - Battlefield,Glasgow,774,625,12.19,"4,208",9,65,"3,994",10,60,"3,493",-0.30,"4,040",-0.31,"4,039",48.84,364,2.17,"6,034",279,"3,324",7,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003125,260,Glasgow City,Glasgow City - Langside,Glasgow,783,602,14.99,"3,618",11,90,"3,266",11,70,"3,160",0.00,"3,206",-0.39,"4,245",60.18,179,6.79,"5,005",186,"4,317",6,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003126,260,Glasgow City,Glasgow City - Pollokshaws,Glasgow,398,242,27.39,"1,834",18,70,"1,957",13,35,"2,702",0.73,"1,340",1.10,718,43.14,513,2.73,"5,887",446,"2,090",3,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003127,260,Glasgow City,Glasgow City - Kingspark North,Glasgow,737,485,19.32,"2,865",15,115,"2,395",13,65,"2,809",-0.08,"3,454",0.04,"3,077",27.29,"1,338",14.04,"3,591",505,"1,796",5,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003128,260,Glasgow City,Glasgow City - Mount Florida,Glasgow,662,414,32.61,"1,387",26,170,874,20,85,"1,507",0.53,"1,795",0.72,"1,479",50.28,331,0.44,"6,426",380,"2,520",3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003129,260,Glasgow City,Glasgow City - Langside,Glasgow,"1,092",792,15.85,"3,436",14,150,"2,777",12,90,"3,068",0.00,"3,240",-0.21,"3,746",33.33,890,3.57,"5,691",237,"3,741",6,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003130,260,Glasgow City,Glasgow City - Mount Florida,Glasgow,669,468,19.08,"2,904",15,100,"2,542",12,55,"2,884",0.41,"2,113",-0.68,"5,013",52.67,288,1.58,"6,164",763,870,5,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003131,260,Glasgow City,Glasgow City - Battlefield,Glasgow,853,649,13.04,"4,037",12,105,"3,101",7,45,"4,374",-0.19,"3,717",-0.35,"4,150",38.89,644,0.69,"6,366",562,"1,568",7,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003132,260,Glasgow City,Glasgow City - Pollokshaws,Glasgow,890,697,41.44,834,29,255,609,24,170,883,0.73,"1,323",1.20,569,58.42,196,1.48,"6,180",232,"3,798",2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003133,260,Glasgow City,Glasgow City - Langside,Glasgow,"1,187",848,8.38,"5,099",7,85,"4,431",6,50,"4,890",0.04,"3,109",-1.17,"5,906",16.70,"3,045",8.52,"4,616",181,"4,364",8,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003134,260,Glasgow City,Glasgow City - Toryglen and Oatlands,Glasgow,761,510,38.28,"1,010",24,185,"1,042",23,115,986,0.78,"1,236",0.98,933,53.05,279,5.87,"5,191",761,877,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003135,260,Glasgow City,Glasgow City - Toryglen and Oatlands,Glasgow,754,469,30.22,"1,582",21,160,"1,387",17,80,"1,932",1.16,587,0.47,"2,070",35.57,765,7.49,"4,845",178,"4,411",3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003136,260,Glasgow City,Glasgow City - Mount Florida,Glasgow,905,728,15.41,"3,519",11,105,"3,220",10,70,"3,588",0.02,"3,168",0.05,"3,057",47.20,407,0.11,"6,492",467,"1,976",6,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003137,260,Glasgow City,Glasgow City - Shawlands East,Glasgow,798,571,15.89,"3,427",16,125,"2,305",9,50,"3,777",-0.52,"4,634",0.01,"3,153",45.81,441,0.14,"6,488",483,"1,897",6,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003138,260,Glasgow City,Glasgow City - Pollokshaws,Glasgow,"1,258",899,35.76,"1,173",24,300,"1,096",22,200,"1,150",0.99,830,0.74,"1,430",59.42,186,2.37,"5,978",411,"2,313",2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003139,260,Glasgow City,Glasgow City - Shawlands West,Glasgow,"1,089",920,8.46,"5,077",7,80,"4,370",6,55,"4,861",-0.49,"4,566",-0.66,"4,969",35.44,771,0.26,"6,469",410,"2,321",8,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003140,260,Glasgow City,Glasgow City - Crookston South,Glasgow,987,600,71.17,88,40,395,88,36,215,154,1.80,108,1.58,211,79.38,36,6.78,"5,009",891,627,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003141,260,Glasgow City,Glasgow City - Langside,Glasgow,694,583,7.51,"5,305",8,55,"4,143",6,30,"5,044",-0.33,"4,132",-1.75,"6,386",29.10,"1,183",3.21,"5,775",207,"4,051",9,5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003142,260,Glasgow City,Glasgow City - Toryglen and Oatlands,Glasgow,827,487,49.83,503,29,240,575,28,140,511,1.66,165,0.95,980,65.34,129,4.13,"5,560",424,"2,226",1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003143,260,Glasgow City,Glasgow City - Mount Florida,Glasgow,858,614,21.09,"2,586",14,120,"2,687",18,110,"1,807",0.65,"1,519",-0.48,"4,484",46.52,432,1.29,"6,228",191,"4,257",4,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003144,260,Glasgow City,Glasgow City - Crookston North,Glasgow,882,509,36.12,"1,157",23,205,"1,184",25,125,808,0.72,"1,347",0.79,"1,311",46.59,429,2.28,"6,003",482,"1,901",2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003145,260,Glasgow City,Glasgow City - Carmyle and Mount Vernon South,Glasgow,649,368,30.81,"1,528",22,145,"1,303",20,75,"1,387",0.42,"2,099",0.50,"1,998",40.62,592,26.22,"1,951",157,"4,683",3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003146,260,Glasgow City,Glasgow City - Shawlands East,Glasgow,651,555,15.52,"3,495",12,75,"3,180",10,55,"3,541",-0.41,"4,334",0.15,"2,831",55.51,230,0.78,"6,348",616,"1,318",6,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003147,260,Glasgow City,Glasgow City - Crookston North,Glasgow,803,464,30.23,"1,580",20,160,"1,589",20,90,"1,499",0.99,832,0.51,"1,987",40.52,594,5.66,"5,230",243,"3,668",3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003148,260,Glasgow City,Glasgow City - Carmyle and Mount Vernon South,Glasgow,711,478,26.38,"1,942",16,115,"2,214",18,85,"1,767",0.74,"1,315",0.61,"1,719",34.58,822,9.17,"4,499",224,"3,864",3,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003149,260,Glasgow City,Glasgow City - Shawlands East,Glasgow,848,640,16.41,"3,328",13,115,"2,833",12,80,"2,927",-0.17,"3,655",-0.18,"3,662",56.01,221,4.75,"5,426",255,"3,542",6,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003150,260,Glasgow City,Glasgow City - Toryglen and Oatlands,Glasgow,799,514,51.26,459,31,245,466,32,165,312,0.82,"1,139",1.38,366,37.13,706,6.94,"4,975",553,"1,590",1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003151,260,Glasgow City,Glasgow City - Shettleston South,Glasgow,783,505,23.78,"2,231",17,135,"2,018",14,70,"2,458",0.82,"1,129",-0.16,"3,600",22.28,"1,900",8.29,"4,669",602,"1,376",4,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003152,260,Glasgow City,Glasgow City - Battlefield,Glasgow,962,585,32.23,"1,415",25,235,"1,009",19,105,"1,663",1.02,776,0.34,"2,365",42.77,525,5.34,"5,300",312,"3,058",3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003153,260,Glasgow City,Glasgow City - Maxwell Park,Glasgow,746,490,5.43,"5,827",5,40,"5,143",4,20,"5,852",-0.14,"3,605",-1.14,"5,865",13.19,"4,010",5.19,"5,329",179,"4,397",9,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003154,260,Glasgow City,Glasgow City - Shawlands East,Glasgow,918,737,21.90,"2,451",16,150,"2,229",13,100,"2,681",0.24,"2,547",0.20,"2,689",52.75,285,0.95,"6,303",844,713,4,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003155,260,Glasgow City,Glasgow City - Pollok South and West,Glasgow,"1,289",964,6.19,"5,630",4,55,"5,465",5,45,"5,357",-0.50,"4,587",-0.83,"5,336",3.52,"6,173",15.70,"3,302",263,"3,466",9,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003156,260,Glasgow City,Glasgow City - Battlefield,Glasgow,778,567,19.80,"2,774",15,120,"2,375",7,35,"4,640",0.64,"1,550",-0.39,"4,261",41.10,578,0.99,"6,296",2115,65,5,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003157,260,Glasgow City,Glasgow City - Shawlands West,Glasgow,"1,282",942,23.04,"2,301",14,180,"2,666",11,100,"3,248",0.53,"1,793",0.70,"1,501",50.31,330,0.80,"6,342",1095,374,4,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003158,260,Glasgow City,Glasgow City - Toryglen and Oatlands,Glasgow,747,481,55.18,346,33,245,304,27,135,570,0.69,"1,439",1.70,124,31.52,"1,007",27.91,"1,773",972,502,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003159,260,Glasgow City,Glasgow City - Toryglen and Oatlands,Glasgow,445,281,43.21,761,23,105,"1,138",21,60,"1,286",0.79,"1,207",1.59,202,47.03,410,16.94,"3,101",1900,87,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003160,260,Glasgow City,Glasgow City - Crookston North,Glasgow,597,359,57.17,290,35,205,241,31,115,315,1.32,408,1.12,675,45.51,449,5.90,"5,189",982,489,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003161,260,Glasgow City,Glasgow City - Crookston North,Glasgow,589,386,32.91,"1,362",21,125,"1,411",19,75,"1,608",1.01,791,0.87,"1,151",36.78,717,7.03,"4,947",417,"2,266",3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003162,260,Glasgow City,Glasgow City - Carmyle and Mount Vernon South,Glasgow,584,369,41.95,806,23,135,"1,120",29,105,469,1.12,646,0.74,"1,436",44.33,481,14.56,"3,494",308,"3,083",2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01003163,260,Glasgow City,Glasgow City - Maxwell Park,Glasgow,695,480,5.95,"5,682",6,45,"4,646",5,20,"5,545",-0.81,"5,335",-1.32,"6,066",17.25,"2,896",6.12,"5,150",392,"2,433",9,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
