lsoa01_code,IMD_rank,Income_rank,Employment_rank,Health_rank,Education_rank,Housing_and_Access_rank,Crime_rank,Environment_rank,IMD_decile,Income_decile,Employment_decile,Health_decile,Education_decile,Housing_and_Access_decile,Crime_decile,Environment_decile
E01015708,29344,29356,29252,26520,26159,9155,24319,30935,10,10,10,9,9,3,8,10
E01015709,23476,24696,26522,15880,22438,12123,10985,27409,8,8,9,5,7,4,4,9
E01015710,22630,21826,23524,21766,18761,9946,17668,22700,7,7,8,7,6,4,6,7
E01015711,12760,9122,12887,14919,11926,13746,16908,12518,4,3,4,5,4,5,6,4
E01015712,14099,12062,17533,20359,12437,9268,9392,11577,5,4,6,7,4,3,3,4
E01015713,10598,9751,12629,6500,11900,6165,13477,19100,4,4,4,3,4,2,5,6
E01015714,18461,15309,22676,20735,15289,9094,16681,16627,6,5,7,7,5,3,6,6
E01015715,8816,4983,13932,11319,7444,7334,16110,8395,3,2,5,4,3,3,5,3
E01015716,7664,5698,10872,1944,8840,7337,16220,27700,3,2,4,1,3,3,5,9
E01015717,10531,8418,12963,10373,10982,10139,7777,14933,4,3,4,4,4,4,3,5
E01015718,20844,23434,23166,15967,14376,6991,21635,25283,7,8,8,5,5,3,7,8
E01015719,20530,24103,21903,18877,14065,11037,8813,29893,7,8,7,6,5,4,3,10
E01015720,3544,3184,5000,4281,4702,3635,2138,19282,2,1,2,2,2,2,1,6
E01015721,15722,16758,15948,13999,12126,13874,9772,19788,5,6,5,5,4,5,4,7
E01015722,12622,12323,17327,12499,9919,5481,14106,13492,4,4,6,4,4,2,5,5
E01015723,9829,10431,14025,12467,8975,1655,9542,17017,4,4,5,4,3,1,3,6
E01015724,6678,5148,12833,11365,8727,6788,1458,6852,3,2,4,4,3,3,1,3
E01015725,2657,809,9319,8039,2919,8295,3882,1771,1,1,3,3,1,3,2,1
E01015726,4898,1712,7280,7707,5639,8289,13144,7990,2,1,3,3,2,3,5,3
E01015727,4472,2578,14098,6880,4977,5256,6474,1294,2,1,5,3,2,2,2,1
E01015728,9000,6437,13073,9451,8360,5124,15328,10811,3,2,5,3,3,2,5,4
E01015729,1766,1522,3676,1856,7172,8798,999,2978,1,1,2,1,3,3,1,1
E01015730,5717,4636,9148,4592,7041,8257,5802,5981,2,2,3,2,3,3,2,2
E01015731,8711,5358,15203,18999,6159,8137,6751,6757,3,2,5,6,2,3,3,3
E01015732,4860,2217,5773,9033,4498,8354,3710,28122,2,1,2,3,2,3,2,9
E01015733,6974,4207,8066,8725,3285,9501,14212,23547,3,2,3,3,2,3,5,8
E01015734,13488,14453,16974,12909,10727,11492,3609,26354,5,5,6,4,4,4,2,9
E01015735,6403,6864,8610,3661,10125,8553,3418,9391,2,3,3,2,4,3,2,3
E01015736,3176,2080,2964,3942,3118,14026,5640,15643,1,1,1,2,1,5,2,5
E01015737,8491,5355,13228,7207,5205,13633,8902,17934,3,2,5,3,2,5,3,6
E01015738,8529,13685,9206,15283,15943,9906,96,8877,3,5,3,5,5,4,1,3
E01015739,12929,14988,17934,14827,14580,8834,8266,4428,4,5,6,5,5,3,3,2
E01015740,16621,15713,20269,17448,26633,4945,9020,14428,6,5,7,6,9,2,3,5
E01015741,3111,3480,3097,2628,7580,13621,1902,5559,1,2,1,1,3,5,1,2
E01015742,11900,12360,15117,13730,12059,10649,6063,8519,4,4,5,5,4,4,2,3
E01015743,4836,5374,6462,6351,10107,4831,3220,2815,2,2,2,2,4,2,1,1
E01015744,7625,7891,7037,4091,11038,8852,7050,18342,3,3,3,2,4,3,3,6
E01015745,23885,26414,23894,18684,25258,8243,13939,26943,8,9,8,6,8,3,5,9
E01015746,15466,18186,12049,12256,16012,5962,19425,25934,5,6,4,4,5,2,6,8
E01015747,28535,28316,30274,23173,26787,5631,31877,31688,9,9,10,8,9,2,10,10
E01015748,14939,13690,14395,10313,13530,17255,11653,23799,5,5,5,4,5,6,4,8
E01015749,4613,2949,4451,5377,4174,9935,5911,23574,2,1,2,2,2,4,2,8
E01015750,14502,9480,17276,15269,12591,14549,11165,22057,5,3,6,5,4,5,4,7
E01015751,7899,5542,10428,12561,6878,10022,3673,14885,3,2,4,4,3,4,2,5
E01015752,11611,12130,17402,16988,4753,7899,5537,20311,4,4,6,6,2,3,2,7
E01015753,14606,17350,22297,15814,10097,2451,10459,22471,5,6,7,5,4,1,4,7
E01015754,5599,3457,4893,7499,4811,7579,17203,13970,2,2,2,3,2,3,6,5
E01015755,12947,14364,15753,8395,14315,9532,7244,17167,4,5,5,3,5,3,3,6
E01015756,13528,11668,17799,15402,8796,5203,11125,30363,5,4,6,5,3,2,4,10
E01015757,10433,7602,9049,12431,5724,13600,16006,28922,4,3,3,4,2,5,5,9
E01015758,9524,7523,13345,12529,8245,2795,6925,30380,3,3,5,4,3,1,3,10
E01015759,6584,3967,6948,5705,5411,14335,7158,28108,3,2,3,2,2,5,3,9
E01015760,3652,3251,2625,4810,3832,11370,4293,19073,2,2,1,2,2,4,2,6
E01015761,9900,7562,11517,12925,3533,15759,9860,25346,4,3,4,4,2,5,4,8
E01015762,14641,17689,18899,14439,14548,9458,5279,12153,5,6,6,5,5,3,2,4
E01015763,12250,12896,14765,13972,10949,7974,6135,15674,4,4,5,5,4,3,2,5
E01015764,21831,21253,20452,20676,13103,23182,13576,24907,7,7,7,7,5,8,5,8
E01015765,10081,9964,11240,12761,10440,13955,5395,7522,4,4,4,4,4,5,2,3
E01015766,17308,11506,22660,17960,14071,19260,10106,19562,6,4,7,6,5,6,4,7
E01015767,18224,17127,17151,19266,17183,18259,11556,15047,6,6,6,6,6,6,4,5
E01015768,17644,16101,17936,17078,13394,19074,8772,24595,6,5,6,6,5,6,3,8
E01015769,11448,10736,11254,12059,10551,8220,11197,17707,4,4,4,4,4,3,4,6
E01015770,21683,26164,20336,21628,17308,7045,16388,24291,7,9,7,7,6,3,6,8
E01015771,623,582,1415,2595,2519,2847,86,21318,1,1,1,1,1,1,1,7
E01015772,3368,1851,4548,4048,5054,7377,2675,21562,2,1,2,2,2,3,1,7
E01015773,3049,2021,4843,7650,2659,4057,1075,28937,1,1,2,3,1,2,1,9
E01015774,5198,3500,9495,7800,6352,1849,3413,18368,2,2,3,3,2,1,2,6
E01015775,21076,24148,26076,23368,21679,4198,16636,13067,7,8,9,8,7,2,6,5
E01015776,10837,7859,10661,12654,7474,18480,9631,20951,4,3,4,4,3,6,3,7
E01015777,15097,15163,15680,17534,12243,10295,11605,14841,5,5,5,6,4,4,4,5
E01015778,17544,17477,19610,17473,16143,7091,17557,15281,6,6,7,6,5,3,6,5
E01015779,3971,1648,5714,5770,3989,9986,6329,14246,2,1,2,2,2,4,2,5
E01015780,13043,14830,16717,17201,11283,8216,3601,16539,5,5,6,6,4,3,2,6
E01015781,7214,6460,10843,10365,3774,3181,6739,22077,3,2,4,4,2,1,3,7
E01015782,15416,8738,17631,19905,13051,13365,15452,22339,5,3,6,7,5,5,5,7
E01015783,7472,3656,8132,8279,8139,11867,9517,20749,3,2,3,3,3,4,3,7
E01015784,12653,6742,18735,12322,10400,11768,16312,18682,4,3,6,4,4,4,6,6
E01015785,10077,8937,11913,4302,11729,16242,15511,10134,4,3,4,2,4,6,5,4
E01015786,12166,6201,15558,13371,9672,14827,17473,18221,4,2,5,5,3,5,6,6
E01015787,8686,4830,10161,10826,11239,7680,12049,12853,3,2,4,4,4,3,4,4
E01015788,7180,3065,8268,13911,6002,8213,15476,13690,3,1,3,5,2,3,5,5
E01015789,1474,1002,1236,319,5815,10708,14593,13220,1,1,1,1,2,4,5,5
E01015790,18093,17156,22527,17335,17034,14783,6935,17278,6,6,7,6,6,5,3,6
E01015791,4058,5094,5324,5059,6771,12594,352,7171,2,2,2,2,3,4,1,3
E01015792,13363,14435,16753,12199,18777,16149,4283,7343,5,5,6,4,6,5,2,3
E01015793,10855,12679,11010,6774,19294,6286,8837,12301,4,4,4,3,6,2,3,4
E01015794,3779,7755,3602,3161,9055,3294,1512,7009,2,3,2,1,3,2,1,3
E01015795,3417,7360,4501,5605,6619,6639,119,3227,2,3,2,2,3,3,1,1
E01015796,15609,14620,17908,14484,14756,20398,5760,16089,5,5,6,5,5,7,2,5
E01015797,26292,30200,28560,29058,21728,8387,11881,23060,9,10,9,9,7,3,4,8
E01015798,15360,13459,17891,14191,15129,13792,9965,14699,5,5,6,5,5,5,4,5
E01015799,20247,23265,23002,15372,16424,9762,12083,22997,7,8,8,5,6,4,4,8
E01015800,19724,18843,24464,22327,12920,13777,9751,19227,7,6,8,7,4,5,4,6
E01015801,8239,5246,7791,9749,12728,11409,8247,12011,3,2,3,4,4,4,3,4
E01015802,4280,4254,4731,6340,3893,5132,2115,22822,2,2,2,2,2,2,1,8
E01015803,20318,23327,22590,22273,11942,9248,12983,22231,7,8,7,7,4,3,4,7
E01015804,17008,15592,21686,18729,8487,17853,8561,21825,6,5,7,6,3,6,3,7
E01015805,18891,28592,22078,17529,13236,11295,4276,23217,6,9,7,6,5,4,2,8
E01015806,23995,22569,29017,20528,21198,6812,17298,27870,8,7,9,7,7,3,6,9
E01015807,9140,8983,11528,13502,5107,9980,3717,18870,3,3,4,5,2,4,2,6
E01015808,22160,20544,26984,16761,18871,10589,12202,30629,7,7,9,6,6,4,4,10
E01015809,28094,31317,28851,26434,21768,9063,16979,30792,9,10,9,9,7,3,6,10
E01015810,15835,10779,23480,19615,14478,3437,13368,31678,5,4,8,7,5,2,5,10
E01015811,28159,28353,30376,21238,19735,13802,21839,29083,9,9,10,7,7,5,7,9
E01015812,24242,26970,30190,23197,14938,7120,13919,29668,8,9,10,8,5,3,5,10
E01015813,10839,10941,13306,8183,14246,8578,12118,7029,4,4,5,3,5,3,4,3
E01015814,13532,10540,10760,12104,12173,20122,21415,16030,5,4,4,4,4,7,7,5
E01015815,28887,22365,25680,24172,26165,27046,27286,23592,9,7,8,8,9,9,9,8
E01015816,17270,14613,12862,13309,13385,17944,31058,24452,6,5,4,5,5,6,10,8
E01015817,21673,19193,15144,17120,16726,29036,27199,22871,7,6,5,6,6,9,9,8
E01015818,15243,12150,11879,12900,15019,21340,20345,17303,5,4,4,4,5,7,7,6
E01015819,8383,5585,5373,9569,11040,23298,10125,14729,3,2,2,3,4,8,4,5
E01015820,4712,2939,3701,4461,2471,19496,17058,19670,2,1,2,2,1,7,6,7
E01015821,18240,17422,16579,10624,19978,28231,17685,12601,6,6,6,4,7,9,6,4
E01015822,21950,20497,19240,18671,20419,29653,20476,10428,7,7,6,6,7,10,7,4
E01015823,22144,20238,19935,18192,17513,28260,24105,12382,7,7,7,6,6,9,8,4
E01015824,4255,2586,3189,5360,3178,18504,12648,13902,2,1,1,2,1,6,4,5
E01015825,10774,7699,9653,10187,7385,21313,15211,20168,4,3,3,4,3,7,5,7
E01015826,18676,15398,15860,17113,14603,24214,18331,21181,6,5,5,6,5,8,6,7
E01015827,16876,16204,12062,13443,24583,14810,16428,16817,6,5,4,5,8,5,6,6
E01015828,4214,6559,1687,995,14017,10712,16994,7921,2,3,1,1,5,4,6,3
E01015829,24582,19965,20505,16071,26428,28825,29036,15987,8,7,7,5,9,9,9,5
E01015830,30574,29740,28742,23974,30717,23702,20195,24031,10,10,9,8,10,8,7,8
E01015831,10309,12007,7324,9127,16838,21073,12101,3924,4,4,3,3,6,7,4,2
E01015832,13883,14264,8756,7554,26607,20935,16818,12136,5,5,3,3,9,7,6,4
E01015833,26717,22705,19453,23319,19925,27788,26590,29404,9,7,6,8,7,9,9,10
E01015834,26135,22428,27345,22456,12301,25108,27517,24002,9,7,9,7,4,8,9,8
E01015835,12864,11064,11379,9852,8921,19626,22611,16559,4,4,4,4,3,7,7,6
E01015836,23804,23311,21002,23157,13243,19940,25186,20893,8,8,7,8,5,7,8,7
E01015837,20558,19833,21922,17804,11026,13238,26109,21324,7,7,7,6,4,5,9,7
E01015838,28662,27396,22385,22506,19084,28721,27965,29503,9,9,7,7,6,9,9,10
E01015839,5128,4055,4316,5107,8337,22151,4504,6595,2,2,2,2,3,7,2,3
E01015840,3635,4943,2914,3777,8020,21289,676,6655,2,2,1,2,3,7,1,3
E01015841,2209,3705,2041,4407,4357,17531,598,2731,1,2,1,2,2,6,1,1
E01015842,99,47,106,539,2011,15680,637,7859,1,1,1,1,1,5,1,3
E01015843,8119,7478,7443,9174,6815,22914,9373,5845,3,3,3,3,3,8,3,2
E01015844,5241,5121,3373,3417,10219,19029,8174,6731,2,2,2,2,4,6,3,3
E01015845,24547,21481,23698,20991,23736,28084,25674,8510,8,7,8,7,8,9,8,3
E01015846,23467,20165,19346,18546,27827,25157,24623,12103,8,7,6,6,9,8,8,4
E01015847,19746,18661,16986,13320,22428,27098,26570,8497,7,6,6,5,7,9,9,3
E01015848,19269,18309,18000,20451,23056,26576,11378,7804,6,6,6,7,8,9,4,3
