ward_code,Score,Proportion,Extent,Income_Score,Income_Proportion,Income_Extent,Employment_Score,Employment_Proportion,Employment_Extent,Education_Score,Education_Proportion,Education_Extent,Health_Score,Health_Proportion,Health_Extent,Crime_Score,Crime_Proportion,Crime_Extent,Housing_and_Access_Score,Housing_and_Access_Proportion,Housing_and_Access_Extent,Environment_Score,Environment_Proportion,Environment_Extent
E05010225,6.445523279698734,0,0,0.035224580623074285,0,0,0.041328312221841836,0,0,4.8022909962341664,0,0,-0.17775111263266005,0,0,-0.4585513522766176,0,0,5.497050838753852,0,0,20.1025936323177,0,0
E05010226,16.37428418230563,0,0,0.09272241699319447,0,0,0.08576077541761187,0,0.04465380816446144,15.879792534543204,0,0,0.15360218601773565,0,0.10946098490193311,0.14192039595792946,0,0.027931423733596722,4.045924314291606,0,0,29.145136729222518,0,0.21051926061803297
E05010227,5.230808849874597,0,0,0.04463292726621283,0,0,0.042100859906843424,0,0,4.8295157649587965,0,0,-0.36843264063059833,0,0,-1.2210089573629523,0,0,10.90000573271229,0,0,12.137167681834468,0,0
E05010228,14.434025701583773,0,0.02799644638130474,0.07577729924979161,0,0.048706146444187706,0.07811003056404557,0,0.048706146444187706,12.873122117254795,0,0.021093213027010414,0.05222131147540983,0,0.10564228367528991,-0.4054937482634065,0,0,14.640404973603777,0,0,28.153253542650738,0.2,0.33485324870943683
E05010229,22.255013585576435,0,0.10981596321937398,0.1423624936515998,0,0.14745328913955785,0.11141163026917218,0,0.20920117077864797,17.888269299136617,0,0.0710736815375157,0.4648228796343321,0,0.29044866483119935,0.3359681310309802,0,0.08535958675255939,8.018828720162519,0,0,26.161849796851193,0.16666666666666666,0.3708631819518323
E05010230,14.937847214133177,0,0.0801035057066078,0.100465734808775,0,0.15932675310874736,0.09129741797709183,0,0.23855000051088696,17.447720248495436,0,0.14348210362831945,0.08123548825470782,0,0.09594815518703569,-0.3987509221510387,0,0,18.26476897689769,0,0,4.701918074160357,0,0
E05010231,7.476309649323859,0,0,0.046707082282832914,0,0,0.048198028879211555,0,0,4.29777630071052,0,0,-0.25538345175338073,0,0,-0.5164515241806097,0,0,12.817604171441669,0,0,14.454410955764383,0,0
E05010232,20.381731276548177,0,0,0.10830315224681422,0,0,0.09168276324614352,0,0,18.856515090543258,0,0,0.23953073999552868,0,0,-0.04873999552872794,0,0,10.604773977196514,0,0,43.29383612787838,0.3333333333333333,0.6739177756598068
E05010233,17.78559186602871,0,0,0.07952894736842105,0,0,0.08228038277511962,0,0,10.078092583732058,0,0,0.09083612440191388,0,0.06742067489297404,-0.3282217703349283,0,0,18.233294019138754,0.3333333333333333,0.30526315789473685,43.60548708133971,0.3333333333333333,0.6439404432132965
E05010234,36.606361234567906,0.6666666666666666,0.6427160493827161,0.2306864197530864,0.6666666666666666,0.6427160493827161,0.17296024691358025,0.6666666666666666,0.6427160493827161,42.019165679012346,0.6666666666666666,0.6427160493827161,0.9897039506172839,0.6666666666666666,0.6427160493827161,0.3398661728395062,0,0.3314574398960363,13.699840987654321,0,0,15.124707901234567,0,0
E05010235,6.488457777777778,0,0,0.034635851851851855,0,0,0.03964148148148148,0,0,5.488057481481482,0,0,-0.2005594074074074,0,0,-0.28009422222222224,0,0,13.799060444444445,0,0,13.618788444444444,0,0
E05010236,10.444158583106267,0,0,0.058529700272479564,0,0,0.052555313351498635,0,0,7.721493188010898,0,0,-0.049201089918256155,0,0,-0.727675204359673,0,0,17.471158583106266,0,0.06501218987523301,22.421494822888285,0,0.19859744729671583
E05010237,24.8199578125,0,0.21391185705741628,0.09545269886363636,0,0.09160959928229663,0.08310710227272729,0,0.05516821172248802,31.159928693181815,0.2,0.35103693181818185,0.16600042613636365,0.2,0.19232954545454545,-0.80905625,0,0.06427855861244018,42.39362272727273,0.8,0.8430397727272727,32.906287642045456,0.4,0.5348441238038277
E05010238,21.853806438299625,0,0,0.10680726372265785,0,0,0.1120458109781263,0,0.07777439885309637,27.13937969459348,0,0.28140191585029434,0.33205571605447787,0,0.052320959228446665,-0.979809327280231,0,0,33.58354106479571,0,0.7492267089514955,15.627860090796533,0,0
E05010239,20.32453809971778,0,0,0.07529256820319849,0,0,0.07835183443085607,0,0,27.855339604891817,0,0.2102366688121998,-0.09358137347130763,0,0,-0.5854459078080902,0,0,37.0644148635936,0.5,0.49012229539040453,30.52850611476952,0,0.4191835421102144
E05010240,12.876614111054508,0,0,0.08246510443199184,0,0,0.066293683138054,0,0,33.40060239429445,0,0.3977739496474247,-0.3670784513499746,0,0,-1.1288458991339787,0,0,14.036341823739175,0,0,11.852424859908302,0,0
E05010241,13.91365992414665,0,0.010436156763590377,0.08226978508217446,0,0.04009681282853149,0.06988558786346397,0,0.030209927473551113,24.442347029077116,0,0.16862632244327633,-0.13276169405815424,0,0.05987058353849222,-0.9430756005056891,0,0,24.39827231352718,0,0.16575986426242598,6.3412510745891275,0,0
E05010242,22.097686957738595,0,0.017359361880772438,0.13198264763504056,0,0,0.12342527287993284,0,0.24230780561815957,24.257535684298908,0,0.09721964440909153,0.22466372795969772,0,0.0338050731362411,0.08773845507976491,0,0,23.570264343688777,0.25,0.27469913238175203,9.432385250489784,0,0
E05010243,13.39313405259609,0,0,0.08192636547538772,0,0,0.07670519217801754,0,0,30.172388267026296,0,0.24804876317563967,-0.13205367498314227,0,0,-0.8213948752528658,0,0,14.800928658125422,0,0,4.337908968307485,0,0
E05010244,26.607938354677664,0,0.29938080495356034,0.15027653570653352,0,0.2596106611220911,0.14094204471456478,0,0.39880616453223355,35.60193032342088,0,0.44301292084128263,0.408495333188626,0,0.23972558920635642,0.19425005426524852,0,0.33915094878502966,23.472236813544605,0,0.029010201866724514,7.477445626220967,0,0
E05010245,18.486569620253167,0,0,0.09035443037974683,0,0,0.073,0,0,38.127306962025315,0,0.5852931379080613,0.051629746835443045,0,0,-0.49624999999999997,0,0,24.49585759493671,0,0.34078114590273145,21.348433544303795,0,0
E05010246,17.22880126017327,0,0,0.08031373063796272,0,0,0.07456103964295091,0,0,14.80380651089525,0,0,-0.1547760567077973,0,0,-0.9797406143344711,0,0,26.80076923076923,0,0.14435063768636608,44.14676345497506,0.5,0.6790903815064046
E05010247,12.005087460484722,0,0,0.051394099051633294,0,0,0.045210748155953634,0,0,21.76418018967334,0,0,-0.5707934668071655,0,0,-1.172668071654373,0,0,20.87622233930453,0.5,0.422550052687039,28.560022128556376,0,0.36139149242970436
E05010248,21.122,0,0,0.082,0,0,0.074,0,0,21.932,0,0,-0.098,0,0,-0.589,0,0,45.751,1,1,31.892,0,0.3342105263157894
E05010249,20.035,0,0,0.108,0,0,0.083,0,0,17.071,0,0,-0.322,0,0,-1.178,0,0,33.232,0,0.713157894736842,43.243,0,0.95
E05010250,17.150556607834698,0,0.024906824206448085,0.07472643133878606,0,0,0.06698299612569952,0,0,18.277168209212224,0,0,-0.33637408523461043,0,0,-1.0178710718897979,0,0,37.96328669823504,0.4,0.7790385617509119,30.222130327163153,0.2,0.3856891610213653
E05010251,15.321930860327413,0,0,0.07504824103099965,0,0,0.05969592476489028,0,0,17.104625043538835,0,0,-0.3261861720654824,0,0,-1.1414853709508883,0,0,29.7623145245559,0.5,0.49553978991365555,33.04394932079415,0.25,0.44484454343800983
E05010252,20.081,0,0,0.116,0,0,0.106,0,0,28.298,0,0.09736842105263155,0.12099999999999998,0,0,-0.524,0,0,18.913,0,0,26.156,0,0
E05010253,15.67,0,0,0.098,0,0,0.103,0,0,32.09,0,0.3342105263157894,-0.06,0,0,-1.257,0,0,8.268,0,0,7.756,0,0
E05010254,17.67205480631277,0,0,0.07185308464849353,0,0,0.07409641319942611,0,0,26.410352367288375,0,0.10673110322434488,-0.12285337159253945,0,0,-0.8046180774748924,0,0,32.69528464849354,0.6666666666666666,0.6674318507890962,27.217394261119082,0,0.2927893981726195
E05010255,11.849139335476956,0,0,0.0795016077170418,0,0,0.06622936763129689,0,0,23.29366452304394,0,0,-0.31342336548767413,0,0,-0.9370664523043943,0,0,17.39135691318328,0,0,9.659816720257234,0,0
E05010256,26.710716916600894,0,0.29685920602611493,0.15137187582215206,0,0.30026135781442553,0.129167061299658,0,0.40073699441975097,45.31151881083925,0.6,0.6866188260707017,0.43831241778479346,0,0.17316287957462717,-0.16865627466456196,0,0,24.46810168376743,0.2,0.27045514338332016,9.08612865035517,0,0
E05010257,17.158202628968255,0,0,0.06899603174603175,0,0,0.05330927579365079,0,0,21.777210069444443,0,0,-0.681485367063492,0,0,-0.7667445436507937,0,0,34.26803323412699,0.5,0.5622519841269841,45.3334126984127,1,1
