dz11_code,Total_population,Working_age_population,Income_rate,Income_count,Employment_rate,Employment_count,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG,Attendance,Attainment,no_qualifications,not_participating,University,drive_petrol,drive_GP,drive_post,drive_primary,drive_retail,drive_secondary,PT_GP,PT_post,PT_retail,Broadband,crime_count,crime_rate,overcrowded_count,nocentralheat_count,overcrowded_rate,nocentralheat_rate
S01009118,605,439,0.04,26,0.03,15,55,36.77856715,84.52160993,68.55779199,0.14354067,0.111111111,89.52726591,0.90525999999999995,6,55.38626532999999,0.027586207,0.111801,3.606431962,4.453908228,1.727733386,2.586103896,4.973508703,6.615932836,12.22948576,7.315,12.071875,0,10.241605241605241,169.28273126620232,13,6,0.02056962,0.009493671
S01009119,733,492,0.16,115,0.11,56,155,65.27117583,79.43537827,135.7479704,0.258790436,0.12,129.6569264,0.65778000000000003,4.5806451612999997,176.1724059,0.093457944,0.021277,3.534853723,4.228267952,2.543786569,2.876199095,4.903523936,6.257537879,10.57317819,7.019986702,10.75730718,0,14.338247338247337,195.61046846176447,92,2,0.122340426,0.002659574
S01009120,504,341,0.14,70,0.1,35,125,78.59425853,53.56634292,129.6201136,0.219230769,0.111111111,119.7782596,0.71223000000000003,5.4074074074,154.4543308,0.061728395,0.042254,3.648495283,4.488669811,2.026603774,2.717304688,5.017216981,6.578846154,10.55648113,6.414283019,10.70026415,0,11.265765765765764,223.5270985270985,44,4,0.083018868,0.00754717
S01009121,764,504,0.11,81,0.09,46,115,13.53736387,35.66265985,96.47531529,0.17617237,0.052631579,94.2314343,0.81537999999999999,5.7857142857000001,128.0024939,0.081395349,0.060241,3.053110358,3.762463009,4.244876695,4.859816176,4.577956227,8.877037037,6.986590629,7.537102343,8.507848335,0.024390244,23.555692055692052,308.32057664518396,87,6,0.107274969,0.007398274
S01009122,1726,1094,0.05,93,0.05,54,70,52.91925292,32.65178588,106.94399,0.177206393,0.037037037,84.29033938,0.81694999999999995,5.6279069767000003,105.09581859999999,0.092198582,0.124324,4.570040497,5.860345572,4.231158207,3.048289474,8.237556695,8.80632107,15.51365821,10.69424406,19.42437365,0.327889447,28.676494676494674,166.14423335164935,80,10,0.087051143,0.010881393
S01009123,607,413,0.03,20,0.02,9,60,18.94716163,25.41352395,43.19136995,0.120954003,0.037037037,76.56786315,0.80864000000000003,5.44,57.343607320000004,0.012195122,0.103774,4.091694251,7.648554007,2.183763066,2.311910569,11.45968641,12.11764286,17.86035714,6.950357143,21.94527875,0.210084034,4.0966420966420962,67.489985117662215,36,0,0.06271777,0
S01009124,619,391,0.06,40,0.06,23,75,13.56973592,23.31031526,119.3696573,0.167197452,0.047619048,101.2864193,0.80357000000000001,5.44,92.99463137,0.019047619,0.078652,3.084049658,6.640556507,1.34140411,2.087052632,10.45244863,11.51285185,16.05960616,5.148433219,20.52357877,0.022522523,*,*,40,9,0.068493151,0.015410959
S01009125,738,390,0.11,80,0.09,35,105,82.75671702,25.65854287,118.9141172,0.258644537,0.052631579,91.74958631,0.77691999999999994,5.4166666667000003,157.4780875,0.083333333,0.064103,4.018842917,7.57545582,1.053727209,1.695578231,11.33926017,12.45396552,15.31686536,3.769340813,21.35912342,0.006430868,5.1208026208026203,69.387569387569386,82,5,0.124430956,0.007587253
S01009126,547,356,0.37,201,0.29,102,235,179.784653,340.8770873,203.0073124,0.314500942,0.108695652,182.1746613,0.63686999999999994,3.85,170.3201602,0.231343284,0,3.255688345,3.674391892,5.900016892,2.39783237,3.816735642,6.642944162,10.78550676,20.23890203,9.798310811,0,82.957002457002446,1516.5813977514158,88,9,0.151986183,0.015544041
S01009127,698,456,0.28,193,0.23,102,215,142.0993142,100.1123842,97.43525307,0.269340974,0.0625,155.2800913,0.71042000000000005,4.5555555555999998,151.1078071,0.112359551,0.010417,3.81850639,4.238043131,6.466325879,3.009349206,4.38350639,7.041061644,13.03350639,23.00841054,12.11259585,0,36.86977886977887,528.2203276472618,90,6,0.143769968,0.009584665
S01009128,874,566,0.33,287,0.27,151,225,379.1854492,306.7782683,134.9053678,0.316959064,0,178.0602157,0.63758000000000004,4.6190476189999998,176.1156434,0.195402299,0.022556,1.398290943,1.91866005,4.433247519,2.921269592,2.137825682,5.672761628,7.133579404,11.05919045,5.338691067,0,55.304668304668297,632.77652522503763,88,9,0.109181141,0.011166253
