lsoa_code,Education_decile,Children_and_young_people_decile,Adult_skills_decile,Housing_and_Access_decile,Geographical_barriers_decile,Wider_barriers_decile,Environment_decile,Indoors_decile,Outdoors_decile,Education_rank,Children_and_young_people_rank,Adult_skills_rank,Housing_and_Access_rank,Geographical_barriers_rank,Wider_barriers_rank,Environment_rank,Indoors_rank,Outdoors_rank
E01009710,6,7,5,3,3,4,3,3,3,17487,20865,13899,9581,7687,12980,7499,7212,8749
E01009711,4,5,3,8,8,5,3,2,5,10439,13971,7763,24479,23362,13609,6937,5270,13864
E01009712,4,4,4,7,8,4,1,1,3,12655,11981,12937,22400,23625,11561,1867,2228,6978
E01009713,5,7,4,10,10,5,2,2,4,15426,20823,10893,29630,30233,16282,5114,4579,10406
E01009714,4,5,4,9,10,4,1,1,4,12548,14893,10246,27424,30582,13068,2236,2126,10209
E01009715,6,7,5,4,5,3,6,6,4,17478,20598,14068,10895,13663,8337,17234,16738,12372
E01009716,5,6,4,9,9,6,2,2,3,14192,17298,11235,28733,26698,16892,3647,3598,8980
E01009717,7,9,6,7,5,5,6,6,3,22526,26868,17562,20285,14758,16019,16507,17823,9598
E01009718,2,3,2,2,5,2,6,5,5,6220,8153,4788,6149,15942,4051,16939,15256,14153
E01009719,3,4,3,7,3,9,1,1,5,9630,11792,7906,21271,9562,26402,2592,2099,13252
E01009720,8,7,7,6,3,10,9,9,7,23001,21634,22771,18728,6688,31253,28275,28075,20154
E01009721,5,4,5,9,6,9,6,4,7,14096,12436,15383,29073,17622,26414,17356,12971,21016
E01009722,5,6,4,7,3,9,4,3,5,15467,18468,12367,20698,8783,27479,11468,8578,15848
E01009723,8,8,7,9,4,10,10,10,7,23699,23269,22395,27417,12347,32306,30012,29616,22860
E01009724,7,8,7,7,3,10,9,8,8,22691,24298,19753,20810,7552,32030,27185,24513,23081
E01009725,2,1,2,5,4,5,9,9,6,3424,2766,4453,16388,11145,16046,27439,27294,19231
E01009726,5,5,4,5,2,10,6,5,6,13160,14602,11467,16279,5512,31436,17994,14242,19501
E01009727,6,7,5,9,5,10,8,7,6,18515,20199,16038,28028,13455,31252,23819,22892,17389
E01009728,4,5,4,9,4,10,5,4,6,13109,13608,12226,27176,13031,29967,15491,11677,18733
E01009729,3,3,3,6,4,7,4,3,6,6911,7354,6599,18790,10121,21029,11585,7942,18985
E01009730,8,9,7,4,2,9,8,6,8,25728,27490,22311,10103,3427,29284,23184,18741,23988
E01009731,7,7,7,5,2,9,2,1,6,21460,21570,19952,16289,6540,26755,4490,2999,18123
E01009732,3,4,3,8,5,8,2,2,7,8325,10618,6571,25729,14651,23862,5633,3331,22205
E01009733,1,1,1,8,8,5,7,6,7,2140,2016,2831,24770,24433,13294,22791,19184,21821
E01009734,4,5,4,8,5,8,2,2,6,12211,13959,10395,25142,14377,23244,5957,3988,17649
E01009735,8,8,7,5,2,9,9,8,7,23915,24863,21369,14239,5135,28764,26741,25192,20711
