ward_code,Children_and_young_people_Proportion,Children_and_young_people_Extent,Adult_skills_Proportion,Adult_skills_Extent,Geographical_barriers_Proportion,Geographical_barriers_Extent,Wider_barriers_Proportion,Wider_barriers_Extent,Indoors_Proportion,Indoors_Extent,Outdoors_Proportion,Outdoors_Extent
E05000051,0,0,0,0,0,0.053856406383502975,0.3333333333333333,0.6916692533912759,0,0.011183130502123245,0.3333333333333333,0.848433724915438
E05000052,0,0,0,0,0,0.11648866057127386,0.1,0.49390004157414535,0,0,0.3,0.8659894485463551
E05000053,0,0,0,0.016327482492951705,0,0.0386810274266263,0.6363636363636364,0.9210680923488678,0,0,0.6363636363636364,0.9505894580935182
E05000054,0,0,0,0.037176614673202324,0,0.11098587277196414,0.3,0.829209911093179,0,0.014101474531214669,0.1,0.6754647792209278
E05000055,0,0,0,0,0,0.1596305789528629,0.8,0.9853767286992928,0,0.05007664793050587,0.7,0.9484174537502541
E05000056,0,0,0,0,0.1111111111111111,0.13759967121443548,0,0.47986382582131665,0,0.00490654205607476,0,0.26753825044657875
E05000057,0,0,0,0,0,0.1750799023658762,0.4,0.7415400633746162,0,0,0.2,0.5707870656677047
E05000058,0,0,0,0,0,0.04981985357698736,0.1,0.5375114493059958,0,0.017978452886506145,0,0.5096097307891854
E05000059,0,0,0,0,0.1,0.18826867031894523,0.1,0.41262161509608486,0,0,0.1,0.4568407110041045
E05000060,0,0,0,0.08114231908977253,0,0.0642963088928568,0.4,0.7580770720554753,0,0,0,0.21258286174959923
E05000061,0,0,0,0,0,0.02267527466304224,0.2,0.8172979594756513,0,0.12965496479901759,0,0.6826787917806748
E05000062,0,0,0,0,0,0,0.9,0.9550718349928876,0,0,0.9,0.9861834992887625
E05000063,0,0,0,0.031502063790921554,0,0,0.3,0.8462949972361195,0,0.016486055732175767,0.1,0.7599132113484649
E05000085,0,0,0,0.4405074110572571,0,0,1,1,0,0.043271725358486,0.875,0.9726682487648238
E05000086,0,0,0,0.02712541945364052,0,0,1,1,0,0,0.3333333333333333,0.8860131715682016
E05000087,0,0,0,0,0,0,0.875,0.9938544927093671,0,0,1,1
E05000088,0,0,0,0.3165311716791979,0,0,1,1,0,0,0.8571428571428571,0.9875753837719298
E05000089,0,0.005868767400658053,0,0.16164611890394168,0,0,1,1,0,0.028123459750362997,0.7777777777777778,0.9893729435585927
E05000090,0,0,0,0,0,0,1,1,0,0,0.375,0.8692343760853961
E05000091,0,0.14162025868897837,0,0.3693187219198105,0,0,1,1,0,0.012840885652536516,0.875,0.9945107059692168
E05000092,0,0.06240247396456581,0,0.1450472843144629,0,0,1,1,0,0.17613031051058853,0.875,0.9864010585122023
E05000093,0,0,0,0,0,0,0.7142857142857143,0.9189198716818838,0,0,0.14285714285714285,0.7518683681742869
E05000094,0,0,0,0.06176029411304187,0,0,1,1,0,0.07186557606010026,0.7777777777777778,0.9891979532337717
E05000095,0,0,0,0,0,0,1,1,0,0.06261878822353557,0.8888888888888888,0.9904991917419488
E05000096,0,0,0,0,0.125,0.2231404958677686,0.625,0.9789234838128379,0,0,0,0.6447232492387994
E05000097,0,0,0,0,0,0,1,1,0,0.035444432422862424,0.5555555555555556,0.8609787644218001
E05000098,0,0,0,0,0,0,1,1,0,0.07713550738042797,1,1
E05000099,0,0,0,0,0,0,1,1,0,0,0.25,0.8323380368730043
E05000100,0,0.05751010759406219,0,0.5056197021488774,0.1,0.16431658846923264,1,1,0,0,1,1
E05000101,0,0,0,0,0,0,1,1,0,0,0.125,0.8620532876465529
E05000102,0,0,0,0.020792292945402985,0,0.05065439079793145,1,1,0,0,0.7777777777777778,0.9434328935285873
E05000103,0,0,0,0.1714845235657236,0,0,1,1,0,0,0.625,0.8978414543167257
E05000104,0,0,0,0.05329198114390309,0,0,1,1,0,0,0.7142857142857143,0.9513200208119154
E05000105,0,0,0,0.032119605215980056,0,0,1,1,0,0.0693998351921395,1,1
E05000106,0,0,0,0,0,0.33575908823086087,0,0.2696412666657531,0,0,0,0.28069136326888555
E05000107,0,0,0,0,0,0.11242810254028897,0,0.1751933975705254,0,0,0,0
E05000108,0,0.020815495042414003,0,0.06168955803479062,0,0.24083109194213229,0.1111111111111111,0.5249372145210318,0,0.04435408145401302,0,0.03082711314118376
E05000109,0,0,0,0,0,0.012616324239107619,0.1,0.6675512790704268,0,0.018668445437481196,0,0.49848161779300093
E05000110,0,0,0,0,0.1111111111111111,0.12329936836456203,0,0.1379094243961685,0,0,0,0.049781981619373444
E05000111,0,0,0,0,0.1,0.20772678486245824,0,0.263464316001484,0,0,0,0.31065468145439123
E05000112,0,0,0,0,0,0,0.09090909090909091,0.6311668834572598,0,0.06383123984805243,0,0.6459143062377448
