msoa_code,Score,Proportion,Extent,Income_Score,Income_Proportion,Income_Extent,Employment_Score,Employment_Proportion,Employment_Extent,Education_Score,Education_Proportion,Education_Extent,Health_Score,Health_Proportion,Health_Extent,Crime_Score,Crime_Proportion,Crime_Extent,Housing_Score,Housing_Proportion,Housing_Extent,Access_Score,Access_Proportion,Access_Extent,Environment_Score,Environment_Proportion,Environment_Extent
W02000165,30.108349905760726,0.25,0.26970461629805553,31.11678577495918,0.25,0.26970461629805553,30.493448986759095,0.25,0.26970461629805553,37.64794733927416,0.25,0.26970461629805553,29.198154833684132,0.25,0.26970461629805553,37.33451653367374,0,0.5397853956547892,27.70940268104379,0,0.40811543479449697,17.413003999231705,0,0.15401553088599484,27.119559822878138,0,0.32318305039725626
W02000166,26.841052564782608,0.2,0.3069080766968866,28.904951810277907,0.2,0.32304458457794005,28.823893176119043,0.2,0.2990578836736714,32.69872946388096,0.2,0.40292912001211123,34.2491861870406,0.4,0.39348583040741575,19.417534753144153,0,0.06748126539381975,16.84960914586348,0,0,13.141115701064278,0,0,19.220913339528707,0,0.21576036007709282
W02000167,44.69667729027353,0.42857142857142855,0.7708057368027986,42.72453942269884,0.2857142857142857,0.6100870641877285,48.89597696490291,0.5714285714285714,0.6685131775480524,59.51355727291635,0.7142857142857143,0.8376341338783853,40.0349102520267,0.14285714285714285,0.5970139243740419,49.31046443570575,0.42857142857142855,0.6331440882826933,38.01717615412061,0.2857142857142857,0.5836604791478321,31.864621442998505,0,0.41388801540819936,37.79682861949029,0,0.6109866947053968
W02000168,18.016851482678284,0,0.09665365177826409,19.782799774553546,0,0.16659398271328935,19.06756878852408,0,0.07916856904450775,14.978269422249625,0,0.08791111041138591,19.50857930703395,0,0.13162381724577668,11.930843360411307,0,0,14.984920529698325,0,0,8.647126572040682,0,0,38.72653038647323,0.5,0.503888722704158
W02000169,22.195996889877634,0,0.16059121463013182,24.631497192102003,0,0.2558643697079828,25.790194742871446,0,0.2912996890378953,22.24613430988645,0,0.16772456379694115,23.271534999281986,0,0.1773400864949655,13.477400934706685,0,0,18.258940536654844,0,0.06531170775085472,21.11780383789149,0.16666666666666666,0.19435407702801974,8.685186856690944,0,0
W02000170,16.896847341358527,0.16666666666666666,0.1612138989169675,18.67152079242171,0.16666666666666666,0.1612138989169675,20.591077202620262,0.16666666666666666,0.1612138989169675,13.53871286988459,0,0.1149709647539426,17.591810209655236,0.16666666666666666,0.1612138989169675,17.30943403510503,0,0.1154234158274748,9.784998031936823,0,0,13.491333100537455,0,0.030970038476154274,16.506591518461192,0,0.039443995819874594
W02000171,7.996031906253599,0,0.06301296538598786,7.4997369523918165,0,0.11868086118710598,8.225276420257524,0,0.07692993933626739,6.968766245978947,0,0.0351790174854288,9.002664453705009,0,0.09780540026168669,4.440266455702272,0,0,1.5823696740073747,0,0,15.631514059452838,0,0.028220530510289034,6.291428337135364,0,0
W02000172,19.913332934644234,0,0.1032969560851089,20.8732311332441,0,0.11015800851880618,23.554991690581822,0.16666666666666666,0.14484444026694238,17.94461526298994,0,0.0346864317481362,29.44502581091738,0,0.28409006584512786,15.978968164597049,0,0.013986276905724205,13.959621905232071,0,0,10.216174225436882,0,0,8.247690835312435,0,0
W02000173,15.997176428784874,0.25,0.21091134531928085,14.739531460951394,0.25,0.21091134531928085,17.356195932257283,0.25,0.21091134531928085,15.391019952231247,0.25,0.21091134531928085,17.239536625725357,0.25,0.21091134531928085,15.775311216342716,0,0.19479231246125234,7.751994681121885,0,0,15.134701777612648,0,0,27.011354982523248,0,0.26226939015238027
W02000174,10.313313232180562,0,0,10.059417555893905,0,0,13.568786903219312,0,0.012463343108504383,7.593013574942815,0,0,12.454447718350439,0,0,8.047887916723399,0,0,7.702035940936321,0,0,9.323704224237327,0,0,6.200237189220255,0,0
W02000175,32.343768750646134,0.2,0.5249309119621003,32.50457118387683,0.2,0.4484146113408274,36.730932004782204,0.2,0.5045535769942028,30.408422877212793,0,0.3987197068866402,38.33166112848533,0.2,0.5741610738255034,45.719906233354386,0.2,0.6312696961511556,34.64031540238057,0,0.43233424065493375,11.991239767208317,0,0,23.90176627380971,0,0.019758139921457803
