ward_code,Proportion,Extent,Income_Proportion,Income_Extent,Employment_Proportion,Employment_Extent,Education_Proportion,Education_Extent,Health_Proportion,Health_Extent,Crime_Proportion,Crime_Extent,Housing_Proportion,Housing_Extent,Access_Proportion,Access_Extent,Environment_Proportion,Environment_Extent
W05000158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0
W05000159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
W05000160,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.95,0,0
W05000161,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
W05000162,0,0,0,0,0,0,0,0,0,0,0,0.273394495412844,0.3333333333333333,0.2877836793819411,0.3333333333333333,0.8944687285572696,0,0
W05000163,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
W05000164,0,0.19226567120047308,0,0.3069877291543465,0,0.2496267001774098,0,0.2496267001774098,0,0.11578429923122407,0,0.17314532820816078,0,0.07754361324659961,0,0,0,0
W05000165,0,0.15981309059625068,0,0.2517775125924487,0,0.01774321117848666,0,0.013564460848932225,0.3333333333333333,0.4403166497842286,0.3333333333333333,0.5747915134527593,0,0.1934720468452967,0,0,0,0
W05000166,0,0,0,0.19210526315789467,0,0,0,0.09736842105263155,0,0,0,0,0,0,0,0,0,0
W05000167,0,0,0,0.025457330891817894,0,0.06608318073861881,0,0.025457330891817894,0,0.025457330891817894,0,0.07499592073535541,0,0,0,0,0,0
W05000168,0,0,0,0.12237354750512641,0,0,0,0.14258202323991795,0,0,0,0,0,0,0,0,0,0
W05000169,0,0,0,0,0,0,0,0,0,0,0,0.17580176556039775,0,0,0,0,0,0
W05000170,0.3333333333333333,0.5265874038149214,0,0.5406643070754136,0.3333333333333333,0.43519729841735644,0,0.38542411039302865,0.6666666666666666,0.6492870823579485,0,0.2958188192336555,0,0,0,0,0,0
W05000171,0,0,0,0.13294075393202934,0,0.286615386917678,0,0,0,0,0,0,0,0,0,0,0,0
W05000172,0,0.23676729389467985,0.2,0.23676729389467985,0,0.21371363633125046,0,0.1800677577251644,0.2,0.34215121871281695,0,0,0,0,0,0.09034541477560151,0,0
W05000173,0.6666666666666666,0.6851952770208901,0.6666666666666666,0.7158473158372771,0.6666666666666666,0.6851952770208901,0.3333333333333333,0.6675022706630336,0.6666666666666666,0.6851952770208901,0.6666666666666666,0.7456709211721402,0,0.7115918542951383,0,0.28337874659400547,0.3333333333333333,0.6172168841722835
W05000174,1,1,1,1,1,1,1,1,1,1,1,1,0.6666666666666666,0.9702093722100037,0,0.3794215316943579,0,0
W05000175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W05000176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W05000177,0,0,0,0,0,0,0,0.04999999999999993,0,0,0,0,0,0,0,0,0,0
W05000178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8078947368421052,0,0
W05000179,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
W05000180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W05000181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W05000182,0,0,0,0,0,0,0,0.23947368421052628,0,0,0,0,0,0,0,0,0,0
W05000183,0,0.04999999999999993,0,0.19210526315789467,0,0,0,0.47631578947368414,0,0.04999999999999993,0,0.2868421052631578,0,0,0,0,0,0.04999999999999993
W05000186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5236842105263158,0,0
W05000187,0,0,0,0,0,0,0,0,0,0,0,0.09488576998050678,0,0,0,0,0,0
W05000188,0,0.0931406972161513,0,0.23156999032639455,0,0.12390276235176095,0.3333333333333333,0.41790034992177516,0,0.14090979661543238,0,0,0,0,0,0,0,0
W05000189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W05000190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W05000191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W05000192,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377308510203247,0.5,0.5991913057702531,0,0
W05000193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8078947368421052,0,0
W05000194,0,0.47216605109264387,0,0.39783087103724224,0,0.4226092643890427,0,0.8778531855955678,0.5,0.5230994152046784,0.5,0.6824846106494306,0,0.3159972299168974,0,0,0,0
W05000195,0,0.24709476051004406,0,0.260061832490163,0,0.2211606165498062,0,0.24709476051004406,0.25,0.27374929735806636,0,0.052588680808260096,0,0,0,0,0,0
W05000196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W05000197,0,0,0,0,0,0,0,0,0,0,0,0.381578947368421,0,0,0,0,0,0
W05000198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W05000199,0,0.4289473684210525,0,0.09736842105263155,0,0.04999999999999993,0,0.47631578947368414,0,0.47631578947368414,0,0.713157894736842,0,0.6657894736842105,0,0.9026315789473683,0,0
W05000200,0,0.6657894736842105,0,0.5710526315789473,0,0.381578947368421,1,1,0,0.7605263157894736,1,1,0,0.09736842105263155,0,0,0,0
W05000201,0,0.27782357960801585,0,0.2340845903985906,0,0.27782357960801585,0,0.16118627504954855,0.3333333333333333,0.3077928870292887,0.3333333333333333,0.3077928870292887,0,0,0,0,0,0
W05000202,0,0.12335990144566147,0,0.18447398106094334,0,0,0,0.4370558375634518,0,0.28633078041974647,0,0.021503102086858406,0,0.5705583756345177,0,0.29846750972185115,0,0
W05000203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W05000204,0,0.47731429310376683,0,0.5037501616448984,0,0.31869908185697654,0.5,0.5580905580905581,0.5,0.5580905580905581,0,0.13364800206905467,0,0,0,0,0,0
W05000205,0,0.2868421052631578,0,0.3342105263157894,0,0.4289473684210525,0,0.04999999999999993,0,0.14473684210526305,0,0,0,0,0,0.8078947368421053,0,0
W05000206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8552631578947368,0,0
W05000207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4289473684210525,0,0
W05000209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W05000211,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0
W05000212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W05000213,0,0,0,0.3342105263157894,0,0.04999999999999993,0,0.09736842105263155,0,0,1,1,0,0,0,0,0,0
W05000216,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04999999999999994,0,0.5710526315789473,0,0
W05000217,0,0,0,0,0,0,0,0.07121904024767797,0,0,0,0,0,0.04791099071207429,0,0,0,0.42083978328173377
W05000218,0,0,0,0,0,0.08046438514422073,0,0.060623851820988194,0,0,0.5,0.4188557034904642,0,0,0,0,0,0
W05000220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W05000221,0,0.3318474167069048,0,0.3979719942056977,0,0.19959826170931913,0.5,0.4653211009174312,0,0.4420550458715596,0,0.2713713182037662,0,0,0,0,0,0
W05000222,0,0.3342105263157894,0,0.4289473684210525,0,0,0,0.9026315789473683,0,0.09736842105263155,0,0,0,0,0,0.5710526315789473,0,0
W05000223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W05000224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3513949704910089,0,0
