lad_code,Children_and_young_people_Proportion,Children_and_young_people_Extent,Adult_skills_Proportion,Adult_skills_Extent,Geographical_barriers_Proportion,Geographical_barriers_Extent,Wider_barriers_Proportion,Wider_barriers_Extent,Indoors_Proportion,Indoors_Extent,Outdoors_Proportion,Outdoors_Extent
E06000040,0,0.06670633874082751,0,0.015605483052168002,0.11235955056179775,0.27000120329553895,0,0.0060619296104055575,0.011235955056179775,0.05896135717538617,0,0.04786596068595654
E06000041,0.010101010101010102,0.03209652931957686,0,0.0023189728353140916,0.20202020202020202,0.42704459971268116,0,0.005876044795611856,0,0.0035355393757346212,0,0.001252742588481128
E06000042,0.06578947368421052,0.14407517263641698,0.05921052631578947,0.16065686945154445,0.07236842105263158,0.24177250601353853,0.17105263157894737,0.41834796100391447,0.013157894736842105,0.02378631852890784,0.006578947368421052,0.03449752609871734
E06000043,0.14545454545454545,0.22706921886460985,0.04242424242424243,0.11942973516629435,0.01818181818181818,0.0347998763105184,0.08484848484848485,0.5412240960301716,0.09696969696969697,0.29193537539553854,0.006060606060606061,0.07747811116749641
E06000044,0.224,0.38745122145720906,0.152,0.19185276467156073,0.016,0.023097080612026033,0.024,0.4394607974257428,0.28,0.5516439212623699,0.608,0.8545859704786384
E06000045,0.19594594594594594,0.33810693245342377,0.14864864864864866,0.25536494342491356,0.013513513513513514,0.05756977608252873,0,0.19707083981992823,0.033783783783783786,0.18274518687168798,0.3783783783783784,0.8379754679439215
E06000046,0.12359550561797752,0.3779754230658033,0,0.07105096215646887,0.11235955056179775,0.23302827166967288,0,0.0053871125137632475,0.24719101123595505,0.4121058171026262,0,0.01852006076697821
E06000047,0.08024691358024691,0.2295362317484954,0.1111111111111111,0.28301121471590984,0.09567901234567901,0.2064395475640988,0,0,0.018518518518518517,0.03549427134746485,0,0.004132434160579992
E06000049,0.06837606837606838,0.16601868908388553,0.017094017094017096,0.09416691910756336,0.20085470085470086,0.37916509606608534,0,0,0.09829059829059829,0.23256736387080837,0.004273504273504274,0.015222746791524095
E06000050,0.10849056603773585,0.20183341105819655,0.07547169811320754,0.17012793948524443,0.14150943396226415,0.2593614987854275,0,6.889722051791391e-4,0.05660377358490566,0.18308316381748174,0.014150943396226415,0.04607452666503914
E06000051,0.07772020725388601,0.15574834541797464,0.010362694300518135,0.08206324803332829,0.33678756476683935,0.44911680735055215,0,0.0017508863937857068,0.35751295336787564,0.5100046826119853,0,0
E06000052,0.0705521472392638,0.17069711116108005,0.009202453987730062,0.04856378206161288,0.25766871165644173,0.4432570963246949,0,0.006641716506253191,0.588957055214724,0.7059988415530114,0,1.8681296714599555e-4
E06000053,0,0,0,0,0,0.5710526315789473,0,0,1,1,0,0
E06000054,0.10877192982456141,0.1927293380218576,0.007017543859649123,0.049571880070554346,0.28771929824561404,0.46768219484194024,0,0.0018683312689374832,0.10526315789473684,0.2093213053740259,0.007017543859649123,0.013044610902274897
E06000055,0.009708737864077669,0.16583655748102002,0.07766990291262135,0.1645589305803719,0.1553398058252427,0.2888234243630626,0,0.21043726186981881,0.038834951456310676,0.16215719782065663,0.009708737864077669,0.12963394643592754
E06000056,0.05732484076433121,0.1451826207848958,0,0.06281068640082813,0.15286624203821655,0.34779416495250476,0,0.002529154275338924,0.012738853503184714,0.048664335136077104,0.006369426751592357,0.047154578275614034
E06000057,0.17258883248730963,0.28238378131382197,0.06598984771573604,0.18228290995018703,0.2893401015228426,0.4329410112880098,0,0,0.1218274111675127,0.1365323123098958,0,0
E06000058,0.09871244635193133,0.22170900313468986,0.02145922746781116,0.10066362896668335,0.060085836909871244,0.16176405443408284,0,0.13940229498453657,0.034334763948497854,0.12228913148180039,0.02145922746781116,0.07073829412603469
