iz_code,Proportion,Extent,Income_Proportion,Income_Extent,Employment_Proportion,Employment_Extent,Education_Proportion,Education_Extent,Health_Proportion,Health_Extent,Crime_Proportion,Crime_Extent,Housing_Proportion,Housing_Extent,Access_Proportion,Access_Extent
S02002181,0,0.03219333844278875,0,0.03219333844278875,0,0,0,0.06394567224937492,0,0.11879106934201102,0,0,0,0,0.4,0.4862735736452614
S02002182,0,0.10429961179763983,0,0.06956478030221011,0,0.0073023802527181795,0.2,0.2079225760551835,0,0.046115656464110595,0,0,0,0.14988632321326384,0,0.16981919977728627
S02002183,0.3333333333333333,0.8512007645573076,0.16666666666666666,0.7368332309372653,0,0.6213331968052426,0.8333333333333334,0.9747696088470204,0,0.7835162809748105,0,0.4862809748105672,0,0.5336261860877876,0,0.0829223837804628
S02002184,0.2,0.7193113510868805,0.4,0.8019562102467324,0.2,0.624318515412036,0.4,0.8025905151324525,0.2,0.7745430558467882,0,0.12721657230726216,0,0.4060660865310687,0,0
S02002185,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0.18349220103986136,0,0,0,0.2207168430174222
S02002186,0,0.21163464413875593,0,0.19977431593899517,0,0.1465226898923445,0.14285714285714285,0.2886209442284689,0,0.26997560930023917,0.2857142857142857,0.4138494318181818,0,0.11353356758373202,0,0.19209404904306215
S02002187,0.375,0.6110002613485586,0.375,0.5708601383136986,0.375,0.5353066824816051,0.5,0.69295414337984,0.5,0.6657326806320615,0.125,0.29314060552450644,0.25,0.463091049817056,0,0.1376608298821921
S02002188,0.6666666666666666,0.9659163579150383,0.6666666666666666,0.8817459270161905,0.5,0.890063949652337,0.8333333333333334,0.9848830127391768,0.5,0.9383408617976958,0,0.5295574278028726,0.16666666666666666,0.4985063188346952,0,0.03505506775617926
S02002189,0.16666666666666666,0.218776082933143,0.16666666666666666,0.22966287241892366,0,0.1777068792413117,0.16666666666666666,0.2832609563439742,0.16666666666666666,0.18611571447580108,0.3333333333333333,0.5614668134367174,0,0.1657858447543819,0,0
S02002190,0.25,0.570451343040207,0.25,0.4146644393438555,0.125,0.4837443836903253,0.25,0.4712839304862594,0.25,0.6268971384514493,0.125,0.34144991625384385,0.125,0.32752678547690994,0.25,0.5716556925231078
S02002191,0,0.03169150232172178,0,0,0,0.05049744875439184,0,0,0,0.01915420469994172,0,0.01915420469994172,0,0.14087951764685105,0.3333333333333333,0.8426455269337383
S02002192,0,0.06673333182677603,0,0.051994681852764145,0,0.03725603187875226,0,0.11831860673581764,0,0.13305725670982954,0,0.06090521494806143,0,0,0.2857142857142857,0.6532036940784766
S02002193,0,0,0,0,0,0.04856454495170828,0,0,0,0,0,0,0,0.04457462877079521,0.2,0.5634684933838233
S02002194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10922299431459254
S02002195,0,0.034225650332728355,0,0.051104053236539604,0,0.04134906231094976,0,0,0,0.18529189352692071,0,0.06676497277676949,0,0.051104053236539604,0,0.051104053236539604
S02002196,0,0.3113959985580389,0,0.2952956020187455,0,0.27151676279740444,0,0.29680966113914914,0.2,0.36881008171112706,0,0.24173801369863013,0.2,0.25561763999038695,0,0
S02002197,0,0.07619218841296237,0,0.05095060452155151,0,0.06777832711582542,0,0.12667535619578404,0,0.10143377230437321,0,0,0,0.025709020630140664,0,0.44092543485100444
S02002198,0,0.030203396279477563,0,0.05015426354665541,0,0.015240245829094176,0,0,0,0.045166546729860944,0,0,0,0,0,0.4697118208061407
S02002199,0,0.103995763966385,0,0.0625509576624382,0,0.11781069940103393,0.16666666666666666,0.14582431847684985,0,0.11781069940103393,0,0.041828554510464806,0,0.007291215923842482,0,0
S02002200,0,0,0,0,0,0.023410565209540077,0,0.009197677487463697,0,0,0,0.1486887249795113,0,0.09792126793626975,0,0
S02002201,0,0.36187901881400325,0,0.3701381281257442,0.2,0.3503707231880606,0,0.21837342224339124,0,0.4187068349607049,0,0.36930935937127884,0,0.1201031991744066,0,0
S02002202,0.16666666666666666,0.647957330124608,0.3333333333333333,0.6303669979521236,0,0.45622751096250186,0.3333333333333333,0.6800418831206395,0,0.6123190753317674,0.5,0.8336707894158346,0,0.32629669910101694,0,0
S02002203,0,0.16021005191998522,0,0.113659963629655,0,0.15985425506681072,0,0.17921553382705635,0,0.1592612603115199,0,0.32364006536119966,0,0.14159594655140603,0,0
S02002204,0,0.2730776756016435,0,0.2642605584593453,0,0.33772814936970674,0,0,0,0.38190178047348844,0.2,0.6060800234787713,0,0,0,0.007408390865639927
S02002205,0,0.0379580159902997,0,0.03442398292347138,0,0.03442398292347138,0,0.12717908883078824,0,0.16235269599484672,0,0.34653669811678217,0,0,0,0
S02002206,0,0.09619629539847992,0,0.09674813557871917,0,0.0643435668553665,0,0.059170956380384714,0,0.1948844272697457,0.2,0.2277702519642373,0,0.01159577350311567,0,0.12056210697429019
S02002207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48886552116645876
S02002208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2893359765140279
S02002209,0,0.04024738439421768,0,0.02707551313792827,0,0.05341925565050713,0,0.05341925565050713,0,0.09293486941937543,0,0,0,0,0,0.08220589409791547
S02002210,0,0.19081931900757812,0,0.19065419651199,0,0.19718837589535967,0,0.12988003477628982,0.125,0.27651010848126234,0,0.15953493200456761,0,0.028605769230769226,0.25,0.4060251868576767
S02002211,0,0.46301046042335875,0,0.2768725805123136,0,0.4958792521209126,0.25,0.4393361337616341,0.25,0.600088131125937,0.25,0.36228234906515117,0,0.31670702578041343,0,0
S02002212,0,0.18597936356542094,0,0.28034914303881614,0,0.22966704240006933,0,0.15912381860747415,0,0.14091303216855974,0,0.20813535073268014,0,0.11769921095985432,0,0
S02002213,0,0,0,0,0,0,0,0,0,0,0,0.04682793395511318,0,0.11402217974491644,0.25,0.40474738819497086
S02002214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.968020097268801
S02002215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.8501839984408854
S02002216,0,0.011058609205544958,0,0,0,0.011058609205544958,0,0,0,0.023644359682331834,0.2,0.23121317355042553,0.2,0.27285018929150895,0,0
S02002217,0,0,0,0,0,0,0,0,0,0,0,0.012830349531116777,0,0.013341858482523426,0,0
S02002218,0,0.006053008595988531,0,0,0,0,0,0.06913172975418487,0,0,0,0,0,0.03282184688081234,1,1
S02002219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.9297972250571026
S02002220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S02002221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5125252511465385
S02002222,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039369070379856416,0.4,0.6246449743275254
S02002223,0,0,0,0,0,0,0,0.009673123486682795,0,0,0,0,0,0,0,0
S02002224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5225960615452127
S02002225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S02002226,0,0,0,0.023119659216300128,0,0,0,0,0,0.04561446277810566,0,0,0,0.037418845749185234,0,0
S02002227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.9154466981286308
S02002228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.977221349393384
S02002229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.41534064244276026
S02002230,0,0.07542070339279014,0,0.04890701193879266,0,0,0,0.3051907231829882,0,0.12970211224793365,0.2,0.27230277709510936,0,0.02651369145399748,0,0.14088551435112723
S02002231,0,0,0,0,0,0,0,0,0,0,0,0.030983118172790453,0,0,0,0
S02002232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S02002233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2403806630327942
S02002234,0,0.3684608735346393,0,0.3812754343877779,0.125,0.31074047454861553,0.375,0.6496964870193568,0,0.19685414865822976,0,0.13201357795670202,0.125,0.5331484736939229,0,0.004604170511164416
S02002235,0.125,0.33653250773993804,0.125,0.31044046475214404,0,0.2727629799651258,0.25,0.6068707519305362,0,0.19463319810682891,0,0,0,0.317447777659158,0,0.38791101740151596
S02002236,0,0.00988853503184712,0,0,0,0.00988853503184712,0,0.4253821656050955,0,0.048525812939993265,0,0,0,0,0,0.028624706671136417
S02002237,0.25,0.320266707230504,0.25,0.3022295623451693,0.25,0.3816904979211033,0.25,0.3022295623451693,0.25,0.33781636171353235,0,0.17598403523259015,0,0.11442986077911538,0,0
S02002238,0,0,0,0,0,0,0,0.089630200668115,0,0.015623612960497094,0.6666666666666666,0.6524633821571239,0.6666666666666666,0.8344628215011564,0,0
S02002239,0,0.4369746519184075,0,0.28931474552215164,0,0.38224813203054436,0.16666666666666666,0.5343178539171641,0,0.3346281069287884,0.8333333333333334,0.9137121274324657,0.6666666666666666,0.8393100536051517,0,0
S02002240,0,0,0,0,0,0.12223003130071872,0,0,0,0,0.4,0.3397577092511013,0,0,0.2,0.6438688268026895
S02002241,0,0,0,0,0,0,0,0,0,0.023344918901026145,0,0,0,0,0,0
S02002242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9773378931911276
S02002243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.7189481142629838
S02002244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5264943878882798
S02002245,0,0.04895833333333332,0,0.04895833333333332,0,0.06512805810397553,0,0.13789181957186544,0,0,0,0.08129778287461772,0,0.15406154434250763,0.16666666666666666,0.4991404112345083
S02002246,0,0,0,0,0,0,0,0.024478273670355544,0,0,0,0,0,0,0,0.19600024246202868
S02002247,0,0,0,0,0,0,0,0,0,0,0,0.016903825122874045,0,0,0.8,0.9613528088192778
S02002248,0.25,0.3289924812030075,0.25,0.3289924812030075,0,0.28830340557275536,0.5,0.4747545333923043,0,0.22372313135780625,0,0,0,0.05296594427244582,0,0.04853869969040247
S02002249,0,0.040005589194224485,0,0.07303772706101536,0,0,0,0.05321844434094085,0,0.04661201676758267,0.14285714285714285,0.13946902654867258,0,0.09946343735444804,0,0.0801746623195156
S02002250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42857142857142855,0.6664832741501369
S02002251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0.5615708923889012
S02002252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.3310871016526561
S02002253,0,0,0,0,0,0,0,0,0,0,0,0.02606678827624023,0,0,0.6666666666666666,0.6149266425685732
S02002254,0,0,0,0,0,0,0,0,0,0.026197781449138532,0,0,0,0,0,0.09184564550389425
S02002255,0,0,0,0,0,0,0,0,0,0,0.2,0.38206235200230254,0,0,0.2,0.8829944921961876
S02002256,0,0,0,0,0,0,0,0,0,0,0,0.07535105055127937,0,0,0.2,0.8297059347974679
S02002257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09143265512022869
S02002258,0.16666666666666666,0.2410065207265952,0.16666666666666666,0.26213367489520256,0.16666666666666666,0.21437959944108054,0,0.2820456450861667,0.16666666666666666,0.24308150908244056,0,0.11858826269212853,0,0.19348672566371677,0,0.2772342803912436
S02002259,0.5,0.9040888955627299,0.5,0.8755732412343269,0.75,0.9873038516405136,0.25,0.737098130490277,0.5,0.8243374127186727,0,0.2574329904647496,0,0.049458668068173256,0,0
S02002260,0.4,0.431044267877412,0.2,0.420261066969353,0.4,0.44042281498297386,0,0.1538024971623155,0.4,0.44981405699265187,0.2,0.420261066969353,0,0.29499223370571714,0,0
S02002261,0,0.2559705869730047,0,0.2253787499463527,0,0.375427390166092,0,0.17274717099898423,0,0.29845924951002134,0,0.09394715383184789,0,0.26184389350653064,0,0
S02002262,0,0.08976427240989729,0,0.05881230343311382,0,0.15600311453551688,0,0.030686317417988978,0,0.2092341906787855,0,0.21697370965607793,0,0.09121823122881656,0,0.1019191035023257
S02002263,0.7142857142857143,0.8283505948484965,0.7142857142857143,0.8593635698610095,0.7142857142857143,0.7766623031609748,0.8571428571428571,0.8702755425505975,0.7142857142857143,0.7559869864859662,0.5714285714285714,0.7396501495142391,0.42857142857142855,0.7862645824510068,0,0
S02002264,0.75,0.7861687413554633,0.75,0.7861687413554633,0.75,0.7861687413554633,0,0.536984785615491,0.75,0.7861687413554633,0.75,0.7861687413554633,0.5,0.7434083133144064,0,0
S02002265,0.14285714285714285,0.3588971514877488,0.14285714285714285,0.35283648712349325,0,0.29472914602353073,0,0.30009716303187134,0,0.36318290700247235,0,0,0.14285714285714285,0.25624104127985836,0,0.34661661006839883
S02002266,0.42857142857142855,0.538756690454951,0.2857142857142857,0.509125223015165,0.42857142857142855,0.5779058876003569,0,0.24513492417484387,0.42857142857142855,0.5499765834076716,0,0.253414362176628,0.14285714285714285,0.4810660124888492,0.2857142857142857,0.6469692239072257
S02002267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37829567887694665
