msoa_code,Score,Proportion,Extent,Income_Score,Income_Proportion,Income_Extent,Employment_Score,Employment_Proportion,Employment_Extent,Education_Score,Education_Proportion,Education_Extent,Health_Score,Health_Proportion,Health_Extent,Crime_Score,Crime_Proportion,Crime_Extent,Housing_and_Access_Score,Housing_and_Access_Proportion,Housing_and_Access_Extent,Environment_Score,Environment_Proportion,Environment_Extent
E02005800,46.936821162820024,0.6,0.7563620553464631,0.23510051708916635,0.4,0.6629531168063936,0.20547509143649892,0.6,0.7340668166822656,49.63844557951822,0.6,0.7452144360143643,1.090509017530584,0.4,0.7285603812785842,0.7518706015891033,0.4,0.6887657566162854,17.563998108210367,0,0,48.16118123344684,0.8,0.8684575608525665
E02005801,42.77770964285714,0.25,0.6768895676691729,0.25409678571428573,0.25,0.6296987781954887,0.21702107142857144,0.5,0.7825625,50.396922321428576,0.5,0.7361076127819548,1.0489760714285714,0.25,0.7681992481203008,0.47467607142857143,0,0.19064943609022553,21.74089,0,0.06305921052631575,10.761207500000001,0,0
E02005802,28.10404208072629,0,0.21537880402146325,0.1468283646178383,0,0.11271945967236824,0.11688197767145136,0,0.19785011848723758,36.59257968347442,0,0.5502560228322001,0.3573846153846154,0,0.09803995635020564,0.31248730217151266,0.2,0.21972764078027235,9.179877561035456,0,0,48.807873389768126,0.8,0.9910869831922464
E02005803,26.409033562166286,0,0.3058048439175743,0.159282554211616,0,0.28845655328251973,0.129441647597254,0,0.3742895568440552,27.31595129127166,0.16666666666666666,0.20921869892121608,0.6842195706657949,0.16666666666666666,0.476033046001732,-0.29177683338781735,0,0,21.06549002942138,0,0.17086566530743333,20.768012422360247,0,0.2865711188726966
E02005804,36.030642236024846,0.2,0.5202576005230467,0.19637813664596274,0.2,0.40517260542661,0.17024062111801241,0.2,0.5607119973847663,26.175968819875777,0.2,0.18596894409937886,0.9752422360248447,0.4,0.6402726381170317,0.242660248447205,0.2,0.17813664596273293,16.53780298136646,0,0,46.77785304347826,0.6,0.6577760706113108
E02005805,15.746778705636743,0,0,0.09080250521920667,0,0,0.08947794015309674,0,0,17.74227000695894,0,0.05952422810680143,0.23719693806541406,0,0.059304838296157895,-1.1810734864300627,0,0,21.73853208072373,0,0.31107643848661315,11.016534864300626,0,0
E02005806,39.0870527700831,0.6,0.5905817174515235,0.2378894736842105,0.6,0.5905817174515235,0.1809680055401662,0.6,0.5905817174515235,54.32155692520776,0.6,0.5905817174515235,0.9024240997229916,0.4,0.5619150021869077,-0.2491084487534626,0,0.18690224522525148,22.691164265927977,0,0.10622211692666568,10.48392105263158,0,0
E02005807,10.910661570646926,0,0,0.06677856453170261,0,0,0.05805101383971677,0,0,16.15888719021564,0,0,-0.09871242355970389,0,0,-1.7078289346636628,0,0,17.528925973607983,0,0,19.545144512391374,0,0.16681940609489607
E02005808,24.136476119402985,0,0.1616293147266762,0.13662212467076382,0,0.1399256041772561,0.1262745390693591,0.14285714285714285,0.27014694330206546,30.436630904302017,0,0.26132480014786746,0.3677996488147498,0,0.10432997550944963,-0.5021886742756805,0,0,21.290618700614573,0.14285714285714285,0.27952151009657594,22.131531167690955,0.14285714285714285,0.2724238713552978
E02005809,11.175884201819686,0,0,0.06699834574028123,0,0,0.05825668596636339,0,0,17.563479183898536,0,0.11328160143949616,-0.4046337193272677,0,0,-1.0297059553349877,0,0,13.958433140336366,0,0.11543467850768357,22.784827129859387,0,0.11000355520729033
E02005810,9.027201666849434,0,0,0.03807040245640969,0,0,0.03887531527579779,0,0,6.214224147384582,0,0,-0.8883001425594912,0,0,-1.3725907445991885,0,0,31.45367156486457,0.2,0.5955382342246668,26.551969075556528,0,0.16417226034710636
E02005811,8.742232828498294,0,0,0.04985558873720136,0,0,0.05050117320819113,0,0,11.937699872013651,0,0.019743858900664615,-0.8438005546075086,0,0,-1.5412238694539249,0,0,23.980683447098976,0.16666666666666666,0.22645865142805816,13.409887798634811,0,0
E02005812,9.115144086472872,0,0,0.06972683387553784,0,0,0.061241893168223316,0,0,15.89888162451464,0,0.12376926943236985,-0.5591828103683493,0,0,-0.614193724420191,0,0,9.216683387553783,0,0,8.51609318921188,0,0
E02005813,27.56257979418491,0.16666666666666666,0.20588730892897056,0.18121586082979416,0.16666666666666666,0.2537672587217799,0.12977082652727867,0.16666666666666666,0.1976276242713939,43.633101764129364,0.3333333333333333,0.7028101841503464,0.3148364913426985,0,0.17372741106277614,0.28708134596537077,0,0.1825216217610344,10.693812642927147,0,0,18.54331435805292,0,0.03349761000017193
E02005814,14.748472440944882,0,0.021221715706589303,0.09674661417322834,0,0.06251802735184415,0.08878314960629921,0,0.030922503108164093,23.06405338582677,0.2,0.2179527559055118,-0.2736143307086614,0,0,-0.9689968503937008,0,0,17.42327748031496,0,0.07714297554910897,10.62732346456693,0,0
E02005815,6.646063811719034,0,0,0.049885842533058354,0,0,0.053633749848356185,0,0,10.4685740628412,0,0,-0.7407248574548102,0,0,-1.1888291884022808,0,0,13.073084313963362,0,0.02653128332173389,7.200413926968337,0,0
E02005816,10.908319348412046,0,0,0.06823121996953006,0,0,0.06330716043595454,0,0,15.729122700105473,0,0,-0.6171001992265324,0,0,-0.6539285128325325,0,0,20.945633188796435,0.2,0.35782380479500636,10.229059767959685,0,0
E02005817,9.408576748660163,0,0,0.06745210938573588,0,0,0.06418359213961798,0,0,15.357028858045899,0,0.10704526879931721,-0.8387112821217534,0,0,-0.8025419815858184,0,0,16.199095506389995,0,0,10.114439054555449,0,0
E02005818,14.21792738238842,0,0,0.06291013268998794,0,0,0.06920277442702051,0,0,17.984283474065137,0,0.0790314900641229,-0.659129794933655,0,0,-0.5999745476477684,0,0,35.32650904704463,0.25,0.7330071106596406,17.028533896260555,0,0
E02005819,30.736798576630253,0.25,0.4333477064060349,0.17092982456140351,0,0.40873621491663614,0.15057365110890433,0.25,0.4571651945155839,39.49855726580602,0.5,0.5054617676266137,0.6516545845746442,0.25,0.44525645046080947,0.5078560079443893,0,0.19282914336486692,20.60840201919894,0,0.15537291590445826,14.384755875537902,0,0
