ltla21_code,Proportion,Extent
E06000054,0.0035087719298245615,0.0361124977460277
E06000055,0.04854368932038835,0.14531772813137878
E06000056,0,0.04024318891462969
E06000057,0.07106598984771574,0.17839715455482102
E06000058,0.030042918454935622,0.11421480031643803
E06000059,0.0182648401826484,0.04002931938831877
E06000060,0,0.011125273924152516
E06000061,0.061855670103092786,0.1591494291335838
E06000062,0.07456140350877193,0.16546955534274072
E07000008,0,0.032481701637338115
E07000009,0,0
E07000010,0.07272727272727272,0.21240363858499714
E07000011,0,0.01702198259910905
E07000012,0,0
E07000026,0.11666666666666667,0.1926372757630562
E07000027,0.22448979591836735,0.38123149713104604
E07000028,0.07352941176470588,0.1799379890087602
E07000029,0.12244897959183673,0.2385836767708473
E07000030,0,0
E07000031,0,0
E07000032,0.02564102564102564,0.10349538670785283
E07000033,0.041666666666666664,0.20210865043755802
E07000034,0.08695652173913043,0.2713884316213439
E07000035,0.023255813953488372,0.02254460186741627
E07000036,0.0547945205479452,0.17088105605609105
E07000037,0.03389830508474576,0.0707253232072697
E07000038,0.015873015873015872,0.08746883569356312
E07000039,0,0.047192438434933405
E07000040,0,0.009564340782217004
E07000041,0.02702702702702703,0.11259181158972274
E07000042,0,0.02664380041186133
E07000043,0.034482758620689655,0.11984890860992667
E07000044,0,0.003657711212250753
E07000045,0,0.054810879726208475
E07000046,0,0.10693612883977702
E07000047,0,0.004390652090037228
E07000061,0.03278688524590164,0.15050662017716582
E07000062,0.3018867924528302,0.4029894468863508
E07000063,0,0.028409913503223753
E07000064,0.017241379310344827,0.08911792644706795
E07000065,0,0.021103528043237424
E07000066,0.10909090909090909,0.2529178742895181
E07000067,0,0.028519389237596896
E07000068,0,0.0011767089975682232
E07000069,0.017543859649122806,0.06948304499260802
E07000070,0.009345794392523364,0.03807524061671085
E07000071,0.0380952380952381,0.09124965013552015
E07000072,0,0.02769173290141597
E07000073,0,0.12441856097741084
E07000074,0,0.019211401837064632
E07000075,0,0.01741473397427633
E07000076,0.15730337078651685,0.27753090014329673
E07000077,0,0
E07000078,0.04,0.11557102179984764
E07000079,0,0
E07000080,0,0.0349701219360909
E07000081,0.1282051282051282,0.22668303617356514
E07000082,0,0.010191457623089682
E07000083,0,0.023318128542217393
E07000084,0,0.011313650154290304
E07000085,0,0.0013158120817507685
E07000086,0,0.009669979356583055
E07000087,0,0.007305978150816658
E07000088,0.03773584905660377,0.1593452400514712
E07000089,0,0
E07000090,0.07692307692307693,0.23468773069797136
E07000091,0.008771929824561403,0.02324292383550458
E07000092,0,0.040759071971062884
E07000093,0,0.008924909426481643
E07000094,0,0.0028430833336695167
E07000095,0,0.07072304718111351
E07000096,0,0.017318466156558014
E07000098,0.016129032258064516,0.016912918280210507
E07000099,0,0.02439712277860378
E07000102,0.018867924528301886,0.021436458456193297
E07000103,0,0.03138103101253766
E07000105,0,0.09147479804609929
E07000106,0,0.09137698574625143
E07000107,0.05172413793103448,0.09128626599853179
E07000108,0.05970149253731343,0.16938378694017284
E07000109,0.09375,0.18332861292813987
E07000110,0.021052631578947368,0.071591550535643
E07000111,0,0.030956479471875558
E07000112,0.05970149253731343,0.17099569069868784
E07000113,0.16470588235294117,0.23020655959039957
E07000114,0.21428571428571427,0.3503370048949413
E07000115,0,0.019271040198106656
E07000116,0,0.015066018609970368
E07000117,0.3333333333333333,0.48433813797523634
E07000118,0.06060606060606061,0.1288375209659706
E07000119,0.0196078431372549,0.049965658669510755
E07000120,0.25,0.42509654701662497
E07000121,0.11235955056179775,0.21230046618355297
E07000122,0.2807017543859649,0.3972382120310317
E07000123,0.16279069767441862,0.34589489301332743
E07000124,0,0
E07000125,0.06976744186046512,0.1964541084595759
E07000126,0.02857142857142857,0.04203877999409789
E07000127,0.0821917808219178,0.1774836008208486
E07000128,0.13043478260869565,0.14253506649865771
E07000129,0,0
E07000130,0.020202020202020204,0.048939472701923184
E07000131,0,0.003387297274390026
E07000132,0,0.025918543789834995
E07000133,0,0.014751977442128068
E07000134,0.034482758620689655,0.045131839255864774
E07000135,0,0.043913685073600515
E07000136,0.027777777777777776,0.19663406968676989
E07000137,0.14814814814814814,0.29951125562742836
E07000138,0.17543859649122806,0.3193512449204731
E07000139,0,0.002604531702117101
E07000140,0,0.02107873391198459
E07000141,0.024691358024691357,0.04578081693091005
E07000142,0.07692307692307693,0.13076554173756044
E07000143,0.01282051282051282,0.09184107632921383
E07000144,0,0
E07000145,0.26229508196721313,0.3506661074640069
E07000146,0.07865168539325842,0.1530734628170933
E07000147,0,0.04371196111800286
E07000148,0.20481927710843373,0.3872373609372936
E07000149,0,0.0018761630059049561
E07000163,0,0.024453939182847207
E07000164,0,0.011675436735312801
E07000165,0.009615384615384616,0.01402689151477142
E07000166,0,0.02308382897542363
E07000167,0,0
E07000168,0.1267605633802817,0.23352765590055852
E07000169,0.02,0.03394265845017564
E07000170,0.12162162162162163,0.24148072564643247
E07000171,0.08571428571428572,0.2008147607365645
E07000172,0,0.04989185226877301
E07000173,0.012987012987012988,0.0397227857283935
E07000174,0.08955223880597014,0.3329049503945471
E07000175,0.04285714285714286,0.14188550541535241
E07000176,0,0
E07000177,0,0.03395621997785258
E07000178,0.024096385542168676,0.11338479157960987
E07000179,0,0.00181087040160999
E07000180,0,0.006693694705631172
E07000181,0,0
E07000187,0.015151515151515152,0.04552572835669876
E07000188,0.04285714285714286,0.14699779944126756
E07000189,0.019417475728155338,0.06244898664224913
E07000192,0.03333333333333333,0.14577990821448145
E07000193,0.013888888888888888,0.16500308822874776
E07000194,0,0.035132565155109284
E07000195,0.0375,0.11249651935577247
E07000196,0,0.016217789738880183
E07000197,0,0.06122978287148256
E07000198,0,0.05074388081437083
E07000199,0.0784313725490196,0.16161971879047965
E07000200,0,0.04354911899560769
E07000202,0.1411764705882353,0.3087894650731509
E07000203,0,0.014072346246567332
E07000207,0,0.003520231093580412
E07000208,0,0.012228198434865892
E07000209,0,0.011917611047185877
E07000210,0,0.004577689301650323
E07000211,0,0.008356578067292321
E07000212,0,0.0034779913562514113
E07000213,0,0.006781127957448407
E07000214,0,0.006581880238686756
E07000215,0,0
E07000216,0,0.004479993056383204
E07000217,0,0.013670324013339948
E07000218,0.02631578947368421,0.05003012354036216
E07000219,0.07407407407407407,0.19500739448478116
E07000220,0,0.02368441948336414
E07000221,0,0
E07000222,0.011627906976744186,0.020367783278160776
E07000223,0,0.09086279619020422
E07000224,0.0425531914893617,0.10472570371892335
E07000225,0,0.0048354036653355656
E07000226,0,0.030717078656272073
E07000227,0,0
E07000228,0,0.0031130339982655226
E07000229,0,0.08004120924964096
E07000234,0,0.014084270771105205
E07000235,0.022222222222222223,0.0461330038887563
E07000236,0.07272727272727272,0.22031127938896267
E07000237,0.07936507936507936,0.17687114658257225
E07000238,0.01282051282051282,0.04069185171799826
E07000239,0.07692307692307693,0.19504085529401535
E07000240,0,0
E07000241,0,0.012788802907076695
E07000242,0,9.662407319766512e-4
E07000243,0,0.03536155892455259
E07000244,0.06164383561643835,0.1113083103014453
E07000245,0,0.02263333123264046
E07000246,0.03409090909090909,0.07243993203616321
E08000001,0.2033898305084746,0.37753748752993943
E08000002,0.1,0.1984558258411134
E08000003,0.4078014184397163,0.5940545621734906
E08000004,0.22695035460992907,0.406955943261585
E08000005,0.2835820895522388,0.44765332211704323
E08000006,0.2866666666666667,0.43386821207881987
E08000007,0.08947368421052632,0.1485913071141628
E08000008,0.1702127659574468,0.3634752982319129
