ltla21_code,Score,Proportion,Extent
E06000043,25.675795851875396,0.08484848484848485,0.21705716532271555
E06000044,25.067804495556718,0.112,0.21573210994029768
E06000045,24.068928017718715,0.05333333333333334,0.20953838083581044
E06000046,21.22513169709668,0,0.08680685738590713
E06000047,28.150640691615347,0.16615384615384615,0.3270206915322413
E06000049,12.548453634296303,0.01282051282051282,0.05429922823566961
E06000050,17.82908725868726,0.03773584905660377,0.13257150985572036
E06000051,15.4445494665879,0,0.02017080526663289
E06000052,22.91330399984072,0.021341463414634148,0.1066973309595489
E06000053,15.72,0,0
E06000054,10.558270063980245,0,0.008775454744167634
E06000055,17.445110888443555,0.038834951456310676,0.10323963716907499
E06000056,9.845178712933228,0,0.01007544510857993
E06000057,21.828899180619878,0.07,0.17544936360397706
E06000058,18.734123528417733,0.02575107296137339,0.11363594588905655
E06000059,13.061747413646899,0.004524886877828055,0.02659302093778173
E06000060,8.334132147866985,0,0.003580122122287317
E06000061,16.863567061967597,0.030927835051546393,0.09774572978295078
E06000062,15.126164183300533,0.021834061135371178,0.09548799254250329
E07000008,14.577816895179124,0,0.01525640727205009
E07000009,10.582917354322712,0,0
E07000010,20.000175356558334,0.01818181818181818,0.08129160872721902
E07000011,10.182350051046452,0,0.011780983853201147
E07000012,6.590069324090122,0,0
E07000026,22.92200149684593,0.08333333333333333,0.1914536287259365
E07000027,32.977815453029464,0.24,0.408430121997601
E07000028,22.194374193548388,0.058823529411764705,0.17684158286535195
E07000029,25.668559161694077,0.061224489795918366,0.2246780902189982
E07000030,15.696598516736822,0,0
E07000031,12.010431429965836,0,0.003806478127969997
E07000032,18.893455667981478,0.01282051282051282,0.08901131881323956
E07000033,30.494219315335375,0.14583333333333334,0.35878242782017666
E07000034,27.318018905472634,0.08695652173913043,0.31385100811730815
E07000035,12.474028160836117,0,0.012010757042119014
E07000036,19.279109576594582,0.0136986301369863,0.12205878133458303
E07000037,15.114376607402438,0.01694915254237288,0.05019068133265064
E07000038,18.92468888659581,0.015873015873015872,0.11367628130278228
E07000039,14.600521669341894,0,0.03786160827429729
E07000040,12.712350087482106,0,0.00708479485655446
E07000041,21.17889905060535,0.02666666666666667,0.1333411265294147
E07000042,17.073998569384834,0,0.02008583690987124
E07000043,20.591035465845593,0.034482758620689655,0.11038886988254075
E07000044,14.218080302660484,0,0.0024147964492632597
E07000045,17.036655612667882,0,0.03979875904318913
E07000046,21.39746659901911,0,0.05125771048626131
