msoa11_code,Score,Proportion,Extent
E02001383,49.03149242618742,0.6,0.8711158029862848
E02001384,30.17355908016724,0.16666666666666666,0.3251188779073661
E02001385,67.91926897709557,1,1
E02001386,52.79571218348137,0.6666666666666666,0.9355899858355952
E02001387,9.604391744933267,0,0
E02001388,20.975008942721303,0,0.0809855462745612
E02001389,53.42097747819191,0.75,0.9740711214992278
E02001390,62.99399334311182,1,1
E02001391,51.77103974615899,0.5,0.9243407868368315
E02001392,12.218146571279009,0,0
E02001393,7.521549157303371,0,0
E02001394,25.479639479435725,0.16666666666666666,0.28894480638313447
E02001395,13.219655638852673,0,0
E02001396,39.76600323101777,0.3333333333333333,0.5205993734180112
E02001397,24.647833770319874,0,0.22764192862859822
E02001398,28.228029583495523,0,0.18812357870152216
E02001399,11.617811320754717,0,0
E02001400,31.689418881759856,0,0.3418962162509849
E02001401,19.32684106045082,0,0.008516905737704908
E02001402,15.437890272282987,0,0
E02001403,41.41244674651991,0.25,0.7600462592220272
E02001404,46.66157921682579,0.75,0.8152523795998922
E02001405,58.78869363449692,1,1
E02001406,11.928901392111369,0,0
E02001407,12.392838983050849,0,0
E02001408,14.58805080027836,0,0
E02001409,31.197998884381335,0.2857142857142857,0.3796060638411444
E02001410,30.19975739948674,0,0.3227094682814821
E02001411,22.78833789491468,0,0.1470287477436622
E02001412,21.458135692550435,0.16666666666666666,0.21142674108917056
E02001413,26.091953329891584,0.14285714285714285,0.2921723772518544
E02001414,6.332973566641846,0,0
E02001415,31.002780428873454,0,0.5179783496796961
E02001416,52.90261866931479,0.75,0.9050789212355617
E02001417,54.88755587668593,0.8,0.9115635910585712
E02001418,37.51510180654874,0.6666666666666666,0.6467820850583365
E02001419,57.61985166277713,0.6,0.918994119633974
E02001420,26.52816558598665,0.14285714285714285,0.3696628583944134
E02001421,28.07489682160924,0,0.18645253010353502
E02001422,52.599073011936134,0.75,0.8926547495696301
E02001423,15.917132415757001,0,0.1818499737716384
E02001424,36.74248109014064,0.4444444444444444,0.5864727675780576
E02001425,30.71200719355458,0.2857142857142857,0.320928448110493
E02001426,20.466944454595286,0,0
E02001427,36.73697195074276,0.3333333333333333,0.501980885560265
E02001428,11.63470011148272,0,0
E02001429,16.540657968865826,0,0
E02001430,11.688164571267126,0,0
E02001431,20.968860142739498,0,0.18081937963217126
E02001432,45.83468299643282,0.5,0.8151968208273359
E02001433,23.672764560582422,0.2,0.1939677587103484
E02001434,21.14175058758468,0,0.08757376643599872
