lsoa_code,IMD_rank,Income_rank,Employment_rank,Health_rank,Education_rank,Housing_rank,Access_rank,Environment_rank,Crime_rank,IMD_decile,Income_decile,Employment_decile,Health_decile,Education_decile,Housing_decile,Access_decile,Environment_decile,Crime_decile
W01000312,633,668,821,1083,526,433,742,62,802,4,4,5,6,3,3,4,1,5
W01000313,1125,996,981,1622,1011,670,1457,107,1339,6,6,5,9,6,4,8,1,8
W01000314,1046,892,981,1410,1136,893,1839,42,875,6,5,5,8,6,5,10,1,5
W01000315,1158,1190,981,1128,1234,987,1245,117,1007,7,7,5,6,7,6,7,1,6
W01000316,1708,1693,1802.5,1366,1675,1396,817,276,1749,10,9,10,8,9,8,5,2,10
W01000317,1874,1894,1858.5,1872,1890,1874,729,603,1884,10,10,10,10,10,10,4,4,10
W01000318,184,181,273.5,266,170,250,1715,25,503,1,1,2,2,1,2,10,1,3
W01000319,806,935,681,945,760,1125,1260,77,835,5,5,4,5,5,6,7,1,5
W01000320,514,587,744.5,800,433,540,369,123,697,3,4,4,5,3,3,2,1,4
W01000321,1803,1740,1616,1756,1544,1647,804,1134,1703,10,10,9,10,9,9,5,6,9
W01000322,1561,1454,1386.5,845,1516,1498,1017,1093,1566,9,8,7,5,8,8,6,6,9
W01000323,1610,1489,1616,1625,1546,1520,293,1496,1462,9,8,9,9,9,9,2,8,8
W01000324,1782,1805,1716.5,1708,1765,1840,481,786,1778,10,10,9,10,10,10,3,5,10
W01000325,1702,1685,1616,1605,1719,1317,446,1447,1184,9,9,9,9,10,7,3,8,7
W01000326,1718,1602,1616,1637,1623,1602,580,959,1511,10,9,9,9,9,9,4,6,8
W01000327,1798,1735,1716.5,1862,1483,1497,772,908,1565,10,10,9,10,8,8,5,5,9
W01000328,498,610,900.5,521,428,94,1222,29,652,3,4,5,3,3,1,7,1,4
W01000329,680,633,981,1399,397,154,903,358,470,4,4,5,8,3,1,5,2,3
W01000330,547,479,821,1081,405,103,1309,165,421,3,3,5,6,3,1,7,1,3
W01000331,1281,1255,1503,1719,884,778,790,138,1011,7,7,8,10,5,5,5,1,6
W01000332,667,944,1165.5,624,490,261,335,179,1031,4,5,6,4,3,2,2,1,6
W01000333,330,199,427.5,413,399,361,1514,294,498,2,2,3,3,3,2,8,2,3
W01000334,707,757,744.5,570,673,239,1736,715,453,4,4,4,4,4,2,10,4,3
W01000335,297,307,488.5,216,262,79,1566,1111,321,2,2,3,2,2,1,9,6,2
W01000336,83,82,237.5,105,49,3,1638,687,159,1,1,2,1,1,1,9,4,1
W01000337,1089,1040,981,1314,928,386,1752,529,458,6,6,5,7,5,3,10,3,3
W01000338,1374,1333,1503,1416,1212,1355,212,1602,1385,8,8,8,8,7,8,2,9,8
W01000339,1444,1278,1503,1724,1426,1186,226,1270,1406,8,7,8,10,8,7,2,7,8
W01000340,1524,1676,1716.5,1131,1467,1525,179,1687,1480,9,9,9,6,8,9,1,9,8
W01000341,964,911,981,1475,852,147,657,1713,738,6,5,5,8,5,1,4,10,4
W01000342,543,457,488.5,719,658,164,909,1716,706,3,3,3,4,4,1,5,10,4
W01000343,1867,1874,1716.5,1392,1839,1779,853,1756,1728,10,10,9,8,10,10,5,10,10
W01000344,1724,1758,1503,1659,1720,1688,345,1726,1848,10,10,8,9,10,9,2,10,10
W01000345,1539,1791,1716.5,1864,1714,1297,130,556,1364,9,10,9,10,10,7,1,3,8
W01000346,1484,1736,1858.5,1804,1586,812,54,1188,1754,8,10,10,10,9,5,1,7,10
W01000347,969,1243,1273.5,485,691,508,516,1884,955,6,7,7,3,4,3,3,10,6
W01000348,401,361,427.5,633,175,174,1594,1889,404,3,2,3,4,1,1,9,10,3
W01000349,985,967,981,638,1187,237,1068,1084,1095,6,6,5,4,7,2,6,6,6
W01000350,755,1042,1386.5,823,509,30,1453,223,179,4,6,7,5,3,1,8,2,1
W01000351,896,968,1066,532,699,634,687,1868,721,5,6,6,3,4,4,4,10,4
W01000352,502,539,488.5,437,643,91,1163,1686,396,3,3,3,3,4,1,7,9,3
W01000353,123,133,136,602,70,11,1235,1800,66,1,1,1,4,1,1,7,10,1
W01000354,913,1091,900.5,1322,913,476,518,346,594,5,6,5,7,5,3,3,2,4
W01000355,429,424,619.5,232,585,132,1450,230,677,3,3,4,2,4,1,8,2,4
W01000356,426,601,619.5,247,370,47,1129,395,811,3,4,4,2,2,1,6,3,5
W01000357,1509,1696,1616,1369,1626,1225,190,978,1318,8,9,9,8,9,7,1,6,7
W01000358,1132,950,1386.5,1654,1287,548,158,1377,1297,6,6,7,9,7,3,1,8,7
W01000359,1153,989,1273.5,1359,1344,625,344,641,1287,7,6,7,8,8,4,2,4,7
W01000360,569,588,681,457,529,485,744,301,1226,3,4,4,3,3,3,4,2,7
W01000361,1080,1065,1273.5,1257,914,756,674,204,1059,6,6,7,7,5,4,4,2,6
W01000362,431,440,619.5,471,303,12,1340,1871,395,3,3,4,3,2,1,8,10,3
W01000363,1580,1038,1273.5,1325,1555,1021,1487,1841,1449,9,6,7,7,9,6,8,10,8
W01000364,1533,1336,1386.5,827,1454,1201,1441,1764,795,9,8,7,5,8,7,8,10,5
W01000365,1375,1416,1386.5,654,1618,482,849,1825,1013,8,8,7,4,9,3,5,10,6
W01000366,664,825,900.5,263,646,95,1304,1139,782,4,5,5,2,4,1,7,7,5
W01000367,1550,1546,1386.5,1278,1513,889,806,1187,829,9,9,7,7,8,5,5,7,5
W01000368,1809,1823,1616,1599,1727,1645,798,1144,1522,10,10,9,9,10,9,5,7,9
W01000369,1776,1473,1616,1694,1571,622,1387,1539,1646,10,8,9,9,9,4,8,9,9
W01000370,1575,1488,1386.5,586,1753,1366,1117,1728,1642,9,8,7,4,10,8,6,10,9
W01000371,1313,1125,1066,962,1365,507,1656,1712,585,7,6,6,6,8,3,9,10,4
W01000372,537,646,553,238,979,58,1632,1484,391,3,4,3,2,6,1,9,8,3
W01000373,333,320,427.5,593,255,80,1208,1463,92,2,2,3,4,2,1,7,8,1
W01000374,869,620,744.5,966,723,907,1357,1824,611,5,4,4,6,4,5,8,10,4
W01000375,1308,1406,1616,1101,1031,715,514,567,915,7,8,9,6,6,4,3,3,5
W01000376,1557,1627,1386.5,1587,1050,967,591,1717,1213,9,9,7,9,6,6,4,10,7
W01000377,1002,1282,1273.5,704,633,319,625,1232,966,6,7,7,4,4,2,4,7,6
W01000378,360,348,488.5,461,278,4,1786,1718,249,2,2,3,3,2,1,10,10,2
W01000379,313,340,488.5,165,316,114,1630,1778,165,2,2,3,1,2,1,9,10,1
W01000380,1275,1475,1273.5,276,1552,1378,731,1849,1718,7,8,7,2,9,8,4,10,10
W01000381,897,884,744.5,678,1006,499,1139,1724,577,5,5,4,4,6,3,7,10,4
W01000382,229,329,237.5,123,353,240,1127,895,122,2,2,2,1,2,2,6,5,1
W01000383,1353,1568,1616,1180,1510,1081,143,656,1757,8,9,9,7,8,6,1,4,10
W01000384,1808,1580,1858.5,1554,1528,1124,902,1651,1641,10,9,10,9,9,6,5,9,9
W01000385,1659,1643,1386.5,1809,1385,916,1278,488,1114,9,9,7,10,8,5,7,3,6
W01000386,546,517,681,709,440,213,1281,411,403,3,3,4,4,3,2,7,3,3
W01000387,1694,1709,1616,1840,1628,1397,394,1115,1246,9,10,9,10,9,8,3,6,7
W01000388,1531,1369,1273.5,1203,1645,873,843,1678,1080,9,8,7,7,9,5,5,9,6
W01000389,1305,1335,1503,1265,1224,977,306,615,1214,7,8,8,7,7,6,2,4,7
W01000390,1278,1477,1616,569,1240,1117,533,344,1782,7,8,9,3,7,6,3,2,10
W01000391,1341,1445,1386.5,1232,899,1011,701,439,1445,8,8,7,7,5,6,4,3,8
W01000392,359,332,681,683,164,38,994,352,530,2,2,4,4,1,1,6,2,3
W01000393,872,999,900.5,380,1051,419,1378,1656,311,5,6,5,2,6,3,8,9,2
W01000394,1518,1637,1716.5,1873,1706,1236,90,992,1699,9,9,9,10,9,7,1,6,9
W01000395,1309,1403,1386.5,1126,1174,558,472,1059,1062,7,8,7,6,7,3,3,6,6
W01000396,1870,1786,1858.5,1875,1853,1880,496,1857,1572,10,10,10,10,10,10,3,10,9
W01000397,1872,1895,1883.5,1879,1885,1838,396,1742,1829,10,10,10,10,10,10,3,10,10
W01000398,1164,1108,1273.5,860,1004,1060,454,1041,1468,7,6,7,5,6,6,3,6,8
W01000399,1680,1605,1616,1629,1681,1576,408,1523,1051,9,9,9,9,9,9,3,9,6
W01000400,1155,1048,1386.5,1261,705,297,983,1069,796,7,6,7,7,4,2,6,6,5
W01000401,781,596,821,938,589,738,1390,1816,221,5,4,5,5,4,4,8,10,2
W01000402,1064,1122,1165.5,1023,1178,101,1711,1616,111,6,6,6,6,7,1,10,9,1
W01000403,1475,1567,1716.5,1858,1707,955,58,1667,1715,8,9,9,10,9,6,1,9,10
W01000404,1551,1419,1716.5,1702,1651,991,248,1229,1244,9,8,9,9,9,6,2,7,7
W01000405,397,355,619.5,302,445,129,1428,911,144,3,2,4,2,3,1,8,5,1
W01000406,315,377,619.5,294,325,36,647,848,227,2,2,4,2,2,1,4,5,2
W01000407,1547,1589,1616,1837,1666,1521,225,673,1105,9,9,9,10,9,9,2,4,6
W01000408,670,723,553,1184,863,449,265,1013,806,4,4,3,7,5,3,2,6,5
W01000409,24,29,44,75,53,7,1392,362,59,1,1,1,1,1,1,8,2,1
W01000410,1346,1228,1273.5,975,1377,1086,1207,586,669,8,7,7,6,8,6,7,4,4
W01000411,483,397,553,613,693,76,1700,1042,121,3,3,3,4,4,1,9,6,1
W01000412,939,1100,900.5,886,1180,588,449,840,601,5,6,5,5,7,4,3,5,4
W01000413,9,2,24,175,26,56,1311,199,3,1,1,1,1,1,1,7,2,1
W01000414,88,109,320.5,77,124,19,782,288,35,1,1,2,1,1,1,5,2,1
W01000415,1520,1293,1165.5,1199,1268,1519,1292,1610,990,9,7,6,7,7,9,7,9,6
W01000416,1857,1878,1802.5,1807,1726,1825,570,1634,1400,10,10,10,10,10,10,4,9,8
W01000417,1777,1880,1858.5,1861,1811,1594,297,960,1570,10,10,10,10,10,9,2,6,9
W01000418,1314,1418,1386.5,1383,1358,698,246,824,1381,7,8,7,8,8,4,2,5,8
W01000419,508,558,821,730,623,212,264,142,898,3,3,5,4,4,2,2,1,5
W01000420,944,1105,900.5,780,959,637,1766,335,244,5,6,5,5,6,4,10,2,2
W01000421,353,453,488.5,700,225,42,1440,337,84,2,3,3,4,2,1,8,2,1
W01000422,1181,1126,1066,943,1168,904,795,1010,816,7,6,6,5,7,5,5,6,5
W01000423,412,506,821,370,320,40,567,874,247,3,3,5,2,2,1,3,5,2
W01000424,762,965,981,600,564,128,1047,558,765,5,6,5,4,3,1,6,3,5
W01000425,26,36,53.5,153,11,13,1325,1274,14,1,1,1,1,1,1,7,7,1
W01000426,808,1005,553,733,925,1468,476,796,1271,5,6,3,4,5,8,3,5,7
W01000427,1088,1146,1616,1627,1034,371,74,1324,1667,6,7,9,9,6,2,1,7,9
W01000428,1326,1482,1716.5,1677,1334,598,76,1300,1609,7,8,9,9,8,4,1,7,9
W01000429,1256,1583,1716.5,1836,1280,915,19,1091,1836,7,9,9,10,7,5,1,6,10
W01000430,1359,1640,1503,1789,1285,1051,82,1085,1831,8,9,8,10,7,6,1,6,10
W01000431,1199,953,1066,1281,702,766,1377,1435,1086,7,6,6,7,4,5,8,8,6
W01000432,1876,1810,1883.5,1548,1551,1695,1385,804,1729,10,10,10,9,9,9,8,5,10
W01000433,1123,1239,1273.5,1491,1014,1204,147,675,1455,6,7,7,8,6,7,1,4,8
W01000434,1376,1479,1503,1564,1576,972,92,1591,1849,8,8,8,9,9,6,1,9,10
W01000435,1837,1684,1616,1738,1751,1399,1142,1184,1307,10,9,9,10,10,8,7,7,7
W01000436,1414,1386,1503,1696,1440,1458,119,1441,1721,8,8,8,9,8,8,1,8,10
W01000437,668,895,681,434,799,1296,393,275,1135,4,5,4,3,5,7,3,2,6
W01000438,730,808,681,970,958,1358,107,1356,1260,4,5,4,6,6,8,1,8,7
W01000439,1399,1629,1802.5,1685,1540,1655,41,868,1645,8,9,10,9,9,9,1,5,9
W01000440,1489,1821,1858.5,1852,1665,1242,25,1383,1835,8,10,10,10,9,7,1,8,10
W01000441,1605,1723,1802.5,1847,1630,1276,112,1341,1664,9,10,10,10,9,7,1,8,9
W01000442,1151,1461,1503,1680,1163,330,64,907,1840,7,8,8,9,7,2,1,5,10
W01000443,1397,1812,1802.5,1806,1605,1062,36,807,1404,8,10,10,10,9,6,1,5,8
W01000444,1519,1557,1716.5,1727,1581,1147,115,1334,1816,9,9,9,10,9,7,1,8,10
W01000445,1296,1437,1616,1499,1271,1019,110,667,1674,7,8,9,8,7,6,1,4,9
W01000446,1190,971,1165.5,1181,860,516,1062,1406,1090,7,6,6,7,5,3,6,8,6
W01000447,1401,1421,1616,1810,1322,937,127,1169,1680,8,8,9,10,7,5,1,7,9
W01000448,1227,1055,1386.5,1502,674,1254,442,1131,1581,7,6,7,8,4,7,3,6,9
W01000449,1267,1315.5,1503,1433,917,541,616,355,1003,7,7,8,8,5,3,4,2,6
W01000450,1285,1747,1802.5,1287,1251,899,38,1060,1852,7,10,10,7,7,5,1,6,10
W01000451,1334,1318,1616,1669,1156,582,171,1256,1737,8,7,9,9,7,4,1,7,10
W01000452,983,1355,1386.5,1632,1242,718,10,730,1713,6,8,7,9,7,4,1,4,10
W01000453,1293,1582,1616,1596,1266,1219,51,942,1731,7,9,9,9,7,7,1,5,10
W01000454,567,368,273.5,946,1027,332,1778,1865,673,3,2,2,5,6,2,10,10,4
W01000455,713,507,619.5,1004,625,1042,845,1878,801,4,3,4,6,4,6,5,10,5
W01000456,1065,893,619.5,1602,992,1312,800,1880,1176,6,5,4,9,6,7,5,10,7
W01000457,1591,1632,1802.5,1755,1583,999,163,1063,1807,9,9,10,10,9,6,1,6,10
W01000458,1494,1472,1503,1743,1465,961,238,1047,1554,8,8,8,10,8,6,2,6,9
W01000459,1245,1573,1503,1818,1330,1307,20,1330,1637,7,9,8,10,8,7,1,8,9
W01000460,1241,1401,1503,1649,1409,942,83,646,1436,7,8,8,9,8,5,1,4,8
W01000461,959,1137,1273.5,1116,1277,221,170,551,1315,6,6,7,6,7,2,1,3,7
W01000462,1197,1578,1165.5,885,1638,1614,136,655,1531,7,9,6,5,9,9,1,4,9
W01000463,1358,1720,1716.5,1626,1693,1442,15,1583,1710,8,10,9,9,9,8,1,9,10
W01000464,1276,1533,1616,1833,1201,1439,31,1097,1753,7,9,9,10,7,8,1,6,10
W01000465,1679,1782,1802.5,1508,1801,1548,195,1404,1626,9,10,10,8,10,9,2,8,9
W01000466,1504,1106.5,1273.5,1600,1138,800,1556,929,1408,8,6,7,9,6,5,9,5,8
W01000467,1521,1506,1386.5,1219,1160,553,1531,914,882,9,8,7,7,7,3,9,5,5
W01000468,1244,1541,1802.5,1796,1442,207,52,853,1783,7,9,10,10,8,2,1,5,10
W01000469,1317,1392,1716.5,1815,1439,594,62,1167,1871,7,8,9,10,8,4,1,7,10
W01000470,1382,1378,1716.5,1428,1499,965,152,788,1722,8,8,9,8,8,6,1,5,10
W01000471,1077,1258,1273.5,1263,1134,679,125,1179,1219,6,7,7,7,6,4,1,7,7
W01000472,1537,1565,1503,1528,1511,1479,188,1665,1874,9,9,8,9,8,8,1,9,10
W01000473,938,888,900.5,980,607,731,1135,894,935,5,5,5,6,4,4,6,5,5
W01000474,1322,1715,1716.5,1539,1028,1022,63,1296,1569,7,10,9,9,6,6,1,7,9
W01000475,1149,1598,1616,1860,1453,463,22,443,1866,7,9,9,10,8,3,1,3,10
W01000476,1532,1444,1616,1583,1620,922,236,1322,1818,9,8,9,9,9,5,2,7,10
W01000477,1150,1400,1616,1831,1083,563,35,1095,1691,7,8,9,10,6,3,1,6,9
W01000478,599,443,553,1301,661,1132,805,481,283,4,3,3,7,4,6,5,3,2
W01000479,528,418,821,328,359,1459,1221,1108,266,3,3,5,2,2,8,7,6,2
W01000480,576,570,744.5,523,681,692,1510,75,261,4,4,4,3,4,4,8,1,2
W01000481,1412,1441,1616,1672,1536,1687,332,115,1288,8,8,9,9,9,9,2,1,7
W01000482,1564,1528,1386.5,1573,1427,1169,661,1053,832,9,9,7,9,8,7,4,6,5
W01000483,456,388,488.5,447,319,962,1270,475,704,3,3,3,3,2,6,7,3,4
