lsoa_code,IMD_decile,Income_decile,Employment_decile,Education_decile,Health_decile,Crime_decile,Housing_and_Access_decile,Environment_decile,IMD_rank,Income_rank,Employment_rank,Education_rank,Health_rank,Crime_rank,Housing_and_Access_rank,Environment_rank
E01020878,2,2,1,2,1,6,8,10,4114,3635,1663,4902,2362,17357,25231,32751
E01020879,7,6,6,8,5,8,4,10,20778,16704,17634,24090,13463,25874,9913,32821
E01020880,1,1,1,2,1,1,8,6,1737,1216,1170,5867,2344,942,24077,18064
E01020881,3,3,2,4,3,4,5,9,8488,6866,4945,12120,7127,11204,15765,28343
E01020882,5,4,3,5,3,5,7,8,13481,12523,9780,14555,8224,13257,20118,25667
E01020883,9,9,8,9,6,10,3,10,27461,28336,23773,27843,18831,30682,8032,32839
E01020884,2,2,2,4,1,3,9,8,6014,5163,4082,11134,2230,7330,28065,25918
E01020885,1,2,1,3,1,2,8,10,3180,3672,1837,6831,856,4670,23430,31123
E01020886,3,3,3,4,2,1,10,8,7920,7748,6781,11447,3670,3123,32070,25723
E01020887,4,4,3,5,3,5,8,7,11610,9987,7369,14764,7952,13966,25196,19919
E01020888,6,6,5,7,5,7,7,5,18942,17054,13486,22157,13471,22190,22864,15085
E01020889,4,6,4,6,4,7,3,1,11861,17994,12523,19171,11906,22293,7379,1025
E01020890,5,4,3,5,4,7,7,5,13618,12006,9168,14868,9985,22630,21658,14558
E01020891,4,5,4,6,4,8,1,2,11475,15814,10854,19455,12466,23083,2078,5431
E01020892,2,2,2,3,2,2,10,5,6236,5362,4016,8612,5629,6095,31778,14358
E01020893,3,3,2,5,2,6,6,5,9325,9508,5870,15094,4700,16983,16522,15452
E01020894,2,2,2,2,2,3,10,10,6408,5174,3768,5834,6102,6878,30801,31763
E01020895,2,2,1,2,1,3,10,10,4345,3946,2932,3384,2727,7004,31347,32405
E01020896,4,3,2,3,2,7,9,10,10323,9031,6560,6706,5830,22272,29434,30222
E01020897,3,2,2,3,2,2,10,10,7195,6383,5751,8813,3645,4543,30398,31813
E01020898,1,1,1,1,1,4,3,10,906,600,271,3099,632,12657,9688,32835
E01020899,4,3,3,5,3,5,8,9,11400,8323,7640,13179,8278,14442,24923,26401
E01020900,4,3,3,6,3,4,3,10,10438,9167,7104,17790,7113,10988,9162,32529
E01020901,1,1,1,2,1,1,10,9,794,839,232,4145,242,2052,31550,28648
E01020902,1,1,1,1,1,3,7,10,988,341,243,2978,1619,8397,20855,32760
E01020903,4,4,3,7,3,3,4,8,11996,11856,9801,20707,6820,8459,11785,23419
E01020904,4,4,3,7,2,2,10,10,11291,11700,7251,20081,5781,3544,32455,32018
E01020905,6,5,5,7,3,7,10,9,19086,14717,14027,22158,9012,21200,32384,27392
E01020906,7,7,6,9,5,6,7,5,22552,22435,19446,27502,14828,16826,21878,13625
E01020907,1,1,1,1,2,1,9,9,3254,2835,2167,2558,4436,3061,29081,29036
E01020908,2,2,1,2,1,3,3,10,3966,3790,2970,5180,3197,6645,8503,32745
E01020909,1,1,1,1,1,2,7,10,150,31,65,161,442,3611,22071,32293
E01020910,2,2,1,4,2,1,7,3,3944,4345,2406,10056,4594,2893,20150,8148
E01020911,2,2,2,2,4,1,5,2,4750,6131,5702,3303,10510,2123,14951,4932
E01020912,1,2,1,1,2,1,6,4,2852,3331,2283,3075,4949,2181,16586,11392
E01020913,3,3,2,4,4,2,6,6,8377,7486,5540,9911,12201,5411,18579,17063
E01020914,4,4,4,4,6,3,8,4,12239,10422,10319,10722,16740,9686,24705,9999
E01020915,4,3,4,4,4,4,7,4,11339,9192,10240,10875,11011,12214,21861,11594
E01020916,5,4,6,5,6,5,6,3,15023,10455,17014,14264,18101,13570,18931,8594
E01020917,2,2,2,2,3,4,2,9,6142,6087,5184,4624,7758,10801,4981,29271
E01020918,4,4,4,2,6,6,4,9,12138,10053,10962,5854,17149,17775,10083,26628
E01020919,3,3,3,2,4,3,7,6,8945,7166,9495,3814,12949,8900,20717,17370
E01020920,1,1,1,1,1,5,5,5,2352,1880,1142,2940,2551,15776,15296,16335
E01020921,4,4,3,4,3,3,7,7,11585,10737,9186,11854,9812,7977,22015,19730
E01020922,2,2,2,3,3,5,8,5,6431,4471,3916,6835,7662,15524,23723,14237
E01020923,1,1,1,2,2,6,1,10,3058,3011,2004,3561,4286,18833,1783,31144
E01020924,4,4,4,2,5,6,3,10,12438,12709,10758,5876,14665,16483,8741,30523
E01020925,2,2,1,1,2,4,6,10,3885,4336,2976,1225,3652,10401,18858,30889
E01020926,6,5,5,4,8,7,2,10,16789,14444,15954,10762,23424,21965,4675,30983
E01020927,3,4,3,2,5,1,2,9,8134,10624,9078,5805,14250,2205,4602,27494
E01020928,3,3,3,2,5,4,4,9,8709,8138,7010,4207,13694,11096,9997,28553
E01020929,1,1,1,1,2,3,4,7,3004,2039,2307,2778,5049,9334,10023,20942
E01020930,2,2,2,1,4,7,2,10,4936,4027,3835,1960,12075,20296,3736,31254
E01020931,8,6,7,6,8,10,4,8,24065,19438,20484,19567,24275,30577,11910,25797
E01020932,5,7,4,5,2,9,3,9,15796,22117,10700,14840,6485,28090,9359,26346
E01020933,9,9,8,9,5,9,7,9,28615,28567,26062,28303,13349,26444,22149,27555
E01020934,8,8,8,7,6,9,7,5,26169,23830,25174,22118,19298,27241,20191,16378
E01020935,4,4,3,5,6,2,6,5,11536,10189,9223,15904,16505,3942,18133,15728
E01020936,5,6,4,6,6,2,7,6,15759,17065,11472,19021,17343,4488,21102,19098
E01020937,3,3,3,2,3,7,3,6,8826,8005,6870,6259,9762,22593,9546,16781
E01020938,6,5,4,6,7,6,9,8,18824,15025,11260,18321,20250,16837,26722,24415
E01020939,9,8,8,10,8,5,9,5,27519,24635,25478,30950,24450,14750,28870,13752
E01020940,10,9,9,9,9,7,8,9,31653,28443,29408,29041,28209,21046,26137,29030
E01020941,3,3,2,3,4,5,6,7,8716,6977,5303,8043,10402,13156,18249,22113
E01020942,9,8,8,9,8,6,7,10,28795,24692,23842,26962,25897,19515,20686,31211
E01020943,6,5,5,7,6,6,7,4,19302,15142,15196,22633,19452,19315,21587,12285
E01020944,9,8,8,9,8,8,6,9,28872,24132,23810,28139,25270,25165,18402,29336
E01020945,9,8,8,8,9,8,4,9,26957,24059,23693,23174,26977,25245,11634,26588
E01020946,10,10,9,9,8,10,4,10,30522,31056,27908,29275,23638,30928,11242,30716
E01020947,4,4,3,5,4,5,4,8,12960,10748,8700,15564,12408,15471,13032,24012
E01020948,8,6,6,7,8,8,6,9,23571,19059,16863,21650,23739,25883,16823,26555
E01020949,5,5,4,3,5,6,4,10,15433,15505,12083,8953,15137,17730,11814,30133
E01020950,6,6,5,3,6,10,5,8,18312,18848,14158,8626,16824,31146,13804,25483
E01020951,4,4,4,4,4,5,6,3,11850,10759,10588,10267,11469,15838,19207,9607
